OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETIC_ACID
1.0;-10.0;-15.0;-43.0;-4.0;-12.0;17.0;14.0;19.0;-31.0;-10.0;-7.0;-12.0;15.0;0.0;-4.0;ACETIC_ACID
12.0;17.0;8.0;-10.0;-4.0;-8.0;14.0;12.0;33.0;14.0;-4.0;1.0;-12.0;14.0;-3.0;-4.0;ACETIC_ACID
21.0;23.0;40.0;42.0;3.0;2.0;31.0;29.0;47.0;28.0;-3.0;2.0;-6.0;9.0;-3.0;-7.0;ACETIC_ACID
33.0;38.0;35.0;84.0;9.0;3.0;31.0;29.0;28.0;51.0;1.0;7.0;-10.0;9.0;0.0;-7.0;ACETIC_ACID
36.0;48.0;69.0;97.0;13.0;6.0;33.0;47.0;40.0;50.0;4.0;11.0;-10.0;5.0;0.0;-8.0;ACETIC_ACID
38.0;47.0;76.0;88.0;10.0;6.0;32.0;46.0;49.0;52.0;4.0;11.0;-6.0;12.0;2.0;-8.0;ACETIC_ACID
81.0;115.0;170.0;208.0;28.0;19.0;49.0;72.0;93.0;94.0;7.0;18.0;-8.0;7.0;2.0;-8.0;ACETIC_ACID
52.0;74.0;105.0;133.0;14.0;15.0;40.0;43.0;53.0;87.0;11.0;18.0;-8.0;12.0;2.0;-8.0;ACETIC_ACID
62.0;80.0;121.0;155.0;17.0;11.0;38.0;43.0;56.0;92.0;6.0;18.0;-8.0;20.0;-2.0;-3.0;ACETIC_ACID
58.0;82.0;140.0;191.0;23.0;16.0;28.0;39.0;67.0;92.0;9.0;27.0;-8.0;12.0;-2.0;-3.0;ACETIC_ACID
85.0;118.0;200.0;282.0;38.0;35.0;46.0;70.0;121.0;209.0;28.0;35.0;-12.0;18.0;-3.0;-3.0;ACETIC_ACID
94.0;138.0;205.0;322.0;41.0;45.0;68.0;107.0;161.0;189.0;23.0;40.0;-12.0;13.0;-3.0;-3.0;ACETIC_ACID
84.0;129.0;202.0;261.0;38.0;34.0;56.0;82.0;127.0;196.0;25.0;39.0;-12.0;18.0;-3.0;-3.0;ACETIC_ACID
96.0;138.0;218.0;306.0;37.0;35.0;54.0;80.0;133.0;178.0;15.0;37.0;-12.0;14.0;1.0;-7.0;ACETIC_ACID
79.0;107.0;175.0;201.0;29.0;28.0;55.0;78.0;114.0;133.0;21.0;25.0;-12.0;17.0;1.0;-8.0;ACETIC_ACID
81.0;117.0;167.0;237.0;33.0;28.0;61.0;92.0;133.0;152.0;17.0;24.0;-5.0;15.0;1.0;-11.0;ACETIC_ACID
57.0;85.0;125.0;151.0;20.0;20.0;56.0;83.0;113.0;123.0;11.0;18.0;-14.0;20.0;1.0;-11.0;ACETIC_ACID
89.0;118.0;164.0;219.0;27.0;19.0;54.0;81.0;125.0;120.0;13.0;21.0;-15.0;15.0;2.0;-11.0;ACETIC_ACID
69.0;91.0;137.0;181.0;25.0;17.0;53.0;61.0;91.0;80.0;5.0;20.0;-15.0;14.0;2.0;-11.0;ACETIC_ACID
69.0;88.0;137.0;164.0;13.0;2.0;45.0;47.0;33.0;26.0;0.0;3.0;-14.0;14.0;1.0;-8.0;ACETIC_ACID
51.0;65.0;81.0;103.0;14.0;2.0;45.0;47.0;46.0;36.0;-1.0;-1.0;-14.0;11.0;1.0;-8.0;ACETIC_ACID
71.0;88.0;151.0;164.0;19.0;-1.0;35.0;37.0;39.0;21.0;-3.0;-1.0;-11.0;17.0;1.0;-9.0;ACETIC_ACID
54.0;60.0;97.0;99.0;10.0;-2.0;35.0;37.0;39.0;2.0;-3.0;-2.0;-10.0;8.0;1.0;-8.0;ACETIC_ACID
42.0;53.0;75.0;76.0;7.0;-4.0;43.0;44.0;44.0;-33.0;-7.0;-7.0;-3.0;11.0;-1.0;-8.0;ACETIC_ACID
34.0;53.0;48.0;76.0;6.0;-13.0;33.0;24.0;20.0;-53.0;-8.0;-10.0;-2.0;8.0;7.0;-9.0;ACETIC_ACID
40.0;48.0;53.0;59.0;1.0;-18.0;33.0;-5.0;-1.0;-60.0;-14.0;-18.0;-2.0;17.0;2.0;-7.0;ACETIC_ACID
21.0;36.0;61.0;97.0;13.0;19.0;30.0;45.0;86.0;112.0;12.0;13.0;-5.0;4.0;6.0;-3.0;ACETIC_ACID
102.0;150.0;216.0;289.0;38.0;60.0;54.0;93.0;175.0;283.0;40.0;56.0;-5.0;5.0;7.0;-2.0;ACETIC_ACID
96.0;154.0;244.0;354.0;51.0;73.0;67.0;109.0;171.0;312.0;48.0;59.0;1.0;1.0;10.0;0.0;ACETIC_ACID
90.0;144.0;226.0;382.0;54.0;73.0;46.0;85.0;151.0;298.0;46.0;68.0;1.0;2.0;12.0;1.0;ACETIC_ACID
101.0;164.0;278.0;438.0;63.0;84.0;115.0;193.0;319.0;473.0;58.0;77.0;3.0;2.0;10.0;2.0;ACETIC_ACID
240.0;385.0;582.0;840.0;127.0;210.0;174.0;303.0;533.0;894.0;136.0;194.0;3.0;2.0;2.0;4.0;ACETIC_ACID
282.0;462.0;734.0;1133.0;174.0;268.0;239.0;418.0;711.0;1134.0;169.0;242.0;2.0;2.0;2.0;2.0;ACETIC_ACID
