OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETIC_ACID
30.0;16.0;80.0;164.0;23.0;24.0;-2.0;7.0;35.0;88.0;14.0;24.0;-11.0;8.0;4.0;3.0;ACETIC_ACID
26.0;38.0;79.0;161.0;23.0;23.0;1.0;10.0;63.0;119.0;16.0;22.0;-11.0;10.0;8.0;3.0;ACETIC_ACID
163.0;302.0;562.0;1004.0;163.0;238.0;106.0;220.0;435.0;794.0;139.0;214.0;-13.0;-15.0;-9.0;-43.0;ACETIC_ACID
148.0;293.0;526.0;954.0;164.0;244.0;119.0;238.0;479.0;881.0;149.0;227.0;-13.0;-12.0;-9.0;-34.0;ACETIC_ACID
158.0;315.0;578.0;1045.0;174.0;250.0;113.0;227.0;473.0;874.0;157.0;240.0;-13.0;-11.0;-9.0;-34.0;ACETIC_ACID
171.0;336.0;601.0;1077.0;178.0;254.0;138.0;275.0;523.0;932.0;158.0;246.0;-5.0;-11.0;-6.0;-34.0;ACETIC_ACID
169.0;328.0;599.0;1077.0;185.0;272.0;142.0;283.0;549.0;1011.0;173.0;256.0;-5.0;-11.0;-6.0;-50.0;ACETIC_ACID
200.0;385.0;698.0;1293.0;216.0;322.0;140.0;290.0;595.0;1126.0;197.0;306.0;-4.0;-12.0;-1.0;-85.0;ACETIC_ACID
244.0;463.0;857.0;1536.0;251.0;361.0;177.0;355.0;690.0;1251.0;220.0;343.0;-2.0;-17.0;0.0;-85.0;ACETIC_ACID
