OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
29.0;40.0;57.0;89.0;8.0;4.0;-27.0;-26.0;120.0;30.0;11.0;-5.0;-1.0;-3.0;14.0;11.0;ACETONE
151.0;292.0;527.0;917.0;151.0;365.0;223.0;487.0;1086.0;2133.0;408.0;690.0;-6.0;-11.0;3.0;11.0;ACETONE
372.0;732.0;1515.0;2980.0;487.0;691.0;443.0;820.0;1555.0;2750.0;424.0;602.0;-6.0;-11.0;3.0;7.0;ACETONE
348.0;659.0;1308.0;2534.0;428.0;645.0;389.0;738.0;1412.0;2535.0;415.0;603.0;-6.0;-5.0;-4.0;1.0;ACETONE
365.0;662.0;1238.0;2309.0;366.0;514.0;300.0;573.0;1148.0;2146.0;370.0;593.0;2.0;-4.0;-4.0;0.0;ACETONE
297.0;610.0;1304.0;2757.0;559.0;1021.0;764.0;1412.0;2586.0;4620.0;777.0;1167.0;2.0;-5.0;-4.0;-1.0;ACETONE
723.0;1402.0;2740.0;5024.0;829.0;1218.0;825.0;1546.0;2850.0;4993.0;805.0;1172.0;11.0;0.0;-2.0;-6.0;ACETONE
704.0;1340.0;2596.0;4869.0;838.0;1283.0;927.0;1676.0;3044.0;5351.0;877.0;1272.0;2.0;0.0;19.0;-9.0;ACETONE
808.0;1553.0;3017.0;5463.0;888.0;1249.0;854.0;1568.0;2841.0;4945.0;769.0;1095.0;2.0;-12.0;27.0;-17.0;ACETONE
800.0;1437.0;2629.0;4508.0;707.0;950.0;724.0;1282.0;2255.0;3821.0;582.0;813.0;2.0;-12.0;15.0;-19.0;ACETONE
532.0;956.0;1793.0;3191.0;515.0;816.0;607.0;1133.0;2074.0;3640.0;586.0;878.0;2.0;-13.0;18.0;-19.0;ACETONE
645.0;1196.0;2241.0;4068.0;657.0;969.0;726.0;1343.0;2436.0;4240.0;684.0;1015.0;2.0;-13.0;22.0;-17.0;ACETONE
751.0;1385.0;2557.0;4540.0;732.0;1030.0;780.0;1405.0;2534.0;4312.0;658.0;945.0;2.0;-13.0;18.0;-13.0;ACETONE
577.0;1051.0;1954.0;3523.0;565.0;797.0;587.0;1054.0;1912.0;3324.0;503.0;714.0;5.0;-12.0;32.0;-11.0;ACETONE
514.0;966.0;1862.0;3391.0;578.0;863.0;634.0;1151.0;2105.0;3776.0;679.0;1230.0;10.0;-5.0;17.0;-10.0;ACETONE
931.0;1831.0;3607.0;6583.0;1086.0;1637.0;1228.0;2250.0;4053.0;7091.0;1156.0;1716.0;6.0;-5.0;13.0;-6.0;ACETONE
1165.0;2220.0;4269.0;7660.0;1350.0;2137.0;1734.0;3125.0;5485.0;9493.0;1557.0;2335.0;-7.0;-5.0;11.0;-6.0;ACETONE
1739.0;3371.0;6458.0;10177.0;1957.0;3141.0;2636.0;4732.0;8374.0;14427.0;2347.0;3480.0;-7.0;-5.0;11.0;-10.0;ACETONE
2796.0;5336.0;10052.0;12477.0;2824.0;4258.0;3674.0;6556.0;11502.0;18143.0;3066.0;4367.0;-7.0;-5.0;10.0;-15.0;ACETONE
3740.0;6945.0;12596.0;13574.0;3228.0;4382.0;3755.0;6515.0;11178.0;17760.0;2857.0;3845.0;-6.0;-8.0;26.0;-15.0;ACETONE
3136.0;5693.0;10208.0;12475.0;2580.0;3375.0;2944.0;5005.0;8488.0;14090.0;2144.0;2862.0;0.0;-16.0;25.0;-16.0;ACETONE
2355.0;4204.0;7528.0;10744.0;1919.0;2537.0;2191.0;3813.0;6590.0;10817.0;1632.0;2213.0;1.0;-8.0;40.0;-19.0;ACETONE
1911.0;3360.0;5983.0;9313.0;1543.0;2096.0;1853.0;3239.0;5544.0;9153.0;1371.0;1906.0;1.0;-8.0;26.0;-16.0;ACETONE
1604.0;2829.0;5114.0;8320.0;1334.0;1823.0;1674.0;2890.0;4981.0;8250.0;1278.0;1902.0;0.0;-11.0;16.0;-15.0;ACETONE
1706.0;3083.0;5597.0;8999.0;1523.0;2195.0;1918.0;3364.0;5831.0;9749.0;1499.0;2099.0;0.0;-8.0;10.0;-15.0;ACETONE
1658.0;3036.0;5613.0;9107.0;1615.0;2520.0;2277.0;3977.0;6906.0;11713.0;1895.0;2871.0;-1.0;-8.0;10.0;-12.0;ACETONE
2366.0;4444.0;8228.0;11455.0;2262.0;3255.0;2880.0;5022.0;8491.0;14093.0;2177.0;3035.0;-1.0;-7.0;0.0;-12.0;ACETONE
2441.0;4397.0;7883.0;11133.0;2064.0;2780.0;2308.0;4109.0;7222.0;12288.0;1964.0;2833.0;-1.0;-7.0;0.0;-12.0;ACETONE
2413.0;4358.0;7869.0;11135.0;2063.0;2851.0;2588.0;4482.0;7715.0;12967.0;2076.0;3042.0;3.0;-7.0;0.0;-12.0;ACETONE
2533.0;4640.0;8360.0;11458.0;2174.0;2960.0;2595.0;4478.0;7591.0;12710.0;1967.0;2739.0;3.0;-2.0;4.0;-15.0;ACETONE
2151.0;3851.0;6915.0;10332.0;1855.0;2705.0;2362.0;4163.0;7209.0;11996.0;1862.0;2630.0;3.0;-2.0;2.0;-15.0;ACETONE
2051.0;3689.0;6639.0;10061.0;1760.0;2385.0;2012.0;3507.0;6048.0;10034.0;1531.0;2120.0;-1.0;-2.0;4.0;-14.0;ACETONE
1763.0;3119.0;5558.0;8840.0;1454.0;2065.0;1897.0;3221.0;5398.0;8948.0;1391.0;1953.0;-1.0;-5.0;7.0;-9.0;ACETONE
1536.0;2799.0;5145.0;8514.0;1475.0;2308.0;2086.0;3696.0;6458.0;10889.0;1736.0;2563.0;3.0;-5.0;7.0;-9.0;ACETONE
2061.0;3794.0;6904.0;10267.0;1837.0;2550.0;2232.0;3865.0;6709.0;11186.0;1708.0;2397.0;-1.0;-8.0;11.0;-6.0;ACETONE
1958.0;3535.0;6431.0;9913.0;1771.0;2527.0;2222.0;3923.0;6799.0;11202.0;1691.0;2332.0;1.0;-8.0;10.0;-4.0;ACETONE
