OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
55.0;116.0;274.0;656.0;142.0;269.0;78.0;169.0;366.0;800.0;160.0;289.0;6.0;11.0;11.0;4.0;ACETONE
88.0;178.0;377.0;827.0;177.0;331.0;96.0;207.0;446.0;953.0;192.0;350.0;9.0;11.0;20.0;4.0;ACETONE
110.0;227.0;490.0;1088.0;228.0;424.0;125.0;269.0;575.0;1220.0;243.0;440.0;12.0;16.0;18.0;4.0;ACETONE
144.0;294.0;644.0;1434.0;304.0;577.0;191.0;400.0;840.0;1753.0;345.0;616.0;16.0;11.0;14.0;2.0;ACETONE
214.0;433.0;923.0;2000.0;408.0;756.0;253.0;531.0;1114.0;2314.0;452.0;808.0;12.0;15.0;14.0;2.0;ACETONE
293.0;601.0;1297.0;2826.0;574.0;1069.0;393.0;814.0;1689.0;3466.0;663.0;1167.0;13.0;8.0;7.0;2.0;ACETONE
458.0;927.0;1922.0;3995.0;760.0;1314.0;489.0;1000.0;2050.0;4140.0;783.0;1372.0;13.0;8.0;7.0;1.0;ACETONE
529.0;1061.0;2189.0;4510.0;872.0;1543.0;606.0;1239.0;2528.0;5089.0;953.0;1645.0;14.0;8.0;7.0;1.0;ACETONE
712.0;1447.0;2998.0;6208.0;1184.0;2114.0;934.0;1887.0;3741.0;7328.0;1321.0;2186.0;10.0;3.0;15.0;-1.0;ACETONE
1040.0;2047.0;4081.0;8034.0;1447.0;2397.0;1035.0;2073.0;4062.0;7813.0;1378.0;2230.0;16.0;18.0;7.0;-1.0;ACETONE
