OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
-3.0;-5.0;-3.0;-10.0;2.0;-3.0;-1.0;-2.0;2.0;20.0;5.0;8.0;-3.0;-1.0;11.0;2.0;ACETONE
-3.0;-4.0;-3.0;-9.0;2.0;5.0;2.0;3.0;13.0;20.0;8.0;18.0;-6.0;-5.0;2.0;2.0;ACETONE
6.0;14.0;27.0;51.0;11.0;17.0;5.0;11.0;29.0;69.0;17.0;27.0;-10.0;-7.0;2.0;2.0;ACETONE
10.0;21.0;42.0;78.0;14.0;22.0;6.0;14.0;34.0;65.0;15.0;25.0;-10.0;-7.0;-3.0;3.0;ACETONE
9.0;18.0;37.0;72.0;12.0;18.0;5.0;11.0;25.0;49.0;14.0;23.0;-10.0;-7.0;3.0;3.0;ACETONE
6.0;14.0;26.0;72.0;12.0;17.0;5.0;10.0;27.0;61.0;14.0;25.0;-10.0;-3.0;3.0;4.0;ACETONE
12.0;26.0;53.0;89.0;15.0;18.0;6.0;13.0;31.0;58.0;12.0;23.0;-10.0;-3.0;6.0;7.0;ACETONE
8.0;18.0;36.0;64.0;13.0;18.0;5.0;11.0;31.0;60.0;14.0;23.0;-2.0;-3.0;5.0;4.0;ACETONE
8.0;20.0;38.0;86.0;17.0;26.0;6.0;15.0;40.0;79.0;18.0;29.0;-2.0;-3.0;5.0;3.0;ACETONE
8.0;17.0;36.0;70.0;15.0;22.0;4.0;10.0;29.0;68.0;16.0;29.0;-11.0;-1.0;-1.0;2.0;ACETONE
6.0;13.0;28.0;58.0;12.0;19.0;7.0;16.0;37.0;82.0;17.0;30.0;-13.0;-3.0;-4.0;1.0;ACETONE
12.0;26.0;55.0;111.0;18.0;26.0;4.0;11.0;23.0;53.0;10.0;18.0;-2.0;1.0;-1.0;-3.0;ACETONE
2.0;8.0;10.0;29.0;6.0;7.0;2.0;5.0;6.0;25.0;6.0;15.0;-5.0;1.0;-1.0;2.0;ACETONE
6.0;15.0;28.0;62.0;9.0;13.0;3.0;5.0;7.0;25.0;6.0;15.0;-2.0;-1.0;3.0;1.0;ACETONE
6.0;15.0;28.0;62.0;9.0;13.0;3.0;5.0;7.0;25.0;6.0;15.0;-5.0;-1.0;-1.0;-5.0;ACETONE
7.0;16.0;33.0;75.0;12.0;19.0;5.0;11.0;25.0;50.0;12.0;22.0;-7.0;2.0;0.0;-5.0;ACETONE
14.0;31.0;65.0;127.0;24.0;40.0;9.0;21.0;50.0;105.0;18.0;31.0;12.0;-2.0;4.0;0.0;ACETONE
18.0;38.0;75.0;148.0;28.0;47.0;10.0;26.0;58.0;130.0;26.0;50.0;8.0;-2.0;8.0;-2.0;ACETONE
28.0;60.0;120.0;238.0;43.0;74.0;16.0;36.0;82.0;180.0;35.0;68.0;14.0;-4.0;8.0;-2.0;ACETONE
29.0;62.0;118.0;242.0;43.0;72.0;18.0;39.0;89.0;183.0;33.0;64.0;7.0;-5.0;8.0;-2.0;ACETONE
36.0;73.0;155.0;314.0;60.0;101.0;26.0;57.0;123.0;271.0;55.0;93.0;21.0;-2.0;5.0;-4.0;ACETONE
48.0;92.0;190.0;338.0;58.0;94.0;25.0;56.0;115.0;238.0;42.0;61.0;18.0;-3.0;5.0;-5.0;ACETONE
35.0;67.0;132.0;235.0;35.0;43.0;11.0;22.0;107.0;217.0;42.0;61.0;12.0;-4.0;3.0;-11.0;ACETONE
29.0;56.0;106.0;192.0;30.0;46.0;11.0;24.0;56.0;117.0;26.0;43.0;18.0;-5.0;1.0;-11.0;ACETONE
38.0;76.0;147.0;262.0;46.0;73.0;22.0;49.0;107.0;217.0;43.0;74.0;14.0;-5.0;3.0;-11.0;ACETONE
48.0;91.0;179.0;318.0;48.0;75.0;17.0;38.0;82.0;174.0;35.0;56.0;12.0;-6.0;5.0;-11.0;ACETONE
42.0;83.0;168.0;303.0;51.0;85.0;27.0;58.0;124.0;242.0;49.0;82.0;16.0;-5.0;5.0;-11.0;ACETONE
55.0;111.0;226.0;419.0;74.0;133.0;41.0;91.0;189.0;404.0;81.0;144.0;16.0;-7.0;6.0;-11.0;ACETONE
71.0;142.0;288.0;553.0;105.0;184.0;59.0;130.0;269.0;553.0;108.0;192.0;16.0;-5.0;4.0;-12.0;ACETONE
88.0;180.0;361.0;690.0;124.0;207.0;66.0;140.0;294.0;600.0;118.0;216.0;16.0;-7.0;12.0;-14.0;ACETONE
96.0;197.0;394.0;772.0;140.0;233.0;78.0;163.0;340.0;673.0;124.0;214.0;15.0;-7.0;16.0;-14.0;ACETONE
91.0;184.0;368.0;709.0;127.0;210.0;70.0;145.0;306.0;605.0;113.0;194.0;27.0;-7.0;22.0;-14.0;ACETONE
91.0;180.0;361.0;659.0;117.0;195.0;61.0;132.0;274.0;548.0;104.0;174.0;25.0;-7.0;10.0;-14.0;ACETONE
91.0;177.0;342.0;604.0;101.0;151.0;46.0;101.0;212.0;416.0;74.0;172.0;22.0;-7.0;15.0;-14.0;ACETONE
64.0;126.0;248.0;444.0;83.0;144.0;49.0;107.0;226.0;461.0;88.0;154.0;22.0;-7.0;10.0;-14.0;ACETONE
80.0;160.0;319.0;593.0;107.0;183.0;61.0;131.0;280.0;558.0;102.0;172.0;11.0;-6.0;15.0;-14.0;ACETONE
84.0;167.0;331.0;624.0;109.0;175.0;55.0;115.0;237.0;466.0;86.0;147.0;25.0;-6.0;15.0;-15.0;ACETONE
77.0;152.0;298.0;531.0;88.0;140.0;45.0;97.0;207.0;409.0;78.0;130.0;15.0;-6.0;15.0;-15.0;ACETONE
71.0;141.0;274.0;520.0;94.0;161.0;52.0;113.0;228.0;484.0;93.0;160.0;19.0;-5.0;9.0;-16.0;ACETONE
86.0;176.0;348.0;655.0;120.0;206.0;72.0;151.0;316.0;637.0;118.0;202.0;20.0;-6.0;9.0;-16.0;ACETONE
101.0;200.0;391.0;723.0;121.0;198.0;67.0;142.0;296.0;572.0;108.0;187.0;19.0;-6.0;6.0;-16.0;ACETONE
101.0;200.0;396.0;734.0;128.0;210.0;69.0;148.0;308.0;617.0;118.0;199.0;19.0;-6.0;8.0;-20.0;ACETONE
103.0;202.0;402.0;771.0;137.0;241.0;82.0;173.0;370.0;759.0;144.0;249.0;21.0;-6.0;8.0;-20.0;ACETONE
119.0;237.0;474.0;883.0;157.0;270.0;90.0;194.0;402.0;831.0;161.0;286.0;19.0;-6.0;13.0;-18.0;ACETONE
135.0;268.0;532.0;994.0;182.0;306.0;101.0;216.0;452.0;927.0;180.0;323.0;19.0;-6.0;13.0;-14.0;ACETONE
151.0;302.0;589.0;1097.0;194.0;317.0;108.0;223.0;467.0;931.0;174.0;297.0;23.0;-6.0;23.0;-14.0;ACETONE
137.0;270.0;533.0;982.0;171.0;285.0;95.0;203.0;424.0;836.0;154.0;266.0;23.0;-6.0;14.0;-14.0;ACETONE
