OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
-40.0;-36.0;-66.0;-15.0;-18.0;0.0;-19.0;-28.0;-50.0;-91.0;-12.0;-21.0;-25.0;6.0;-14.0;15.0;AIR
10.0;-26.0;-48.0;-37.0;9.0;-15.0;-1.0;-13.0;-5.0;-53.0;2.0;-10.0;9.0;-3.0;12.0;12.0;AIR
10.0;-26.0;-48.0;-37.0;5.0;-1.0;-1.0;-13.0;-5.0;-51.0;2.0;-10.0;19.0;-3.0;7.0;16.0;AIR
8.0;-27.0;-62.0;-37.0;0.0;0.0;-3.0;-13.0;-12.0;-53.0;1.0;-13.0;9.0;-3.0;-11.0;15.0;AIR
8.0;-32.0;-64.0;-47.0;0.0;0.0;-9.0;-18.0;-13.0;-60.0;0.0;-13.0;9.0;-3.0;-15.0;30.0;AIR
33.0;-32.0;-70.0;-98.0;0.0;-2.0;-9.0;-18.0;-19.0;-61.0;0.0;-14.0;10.0;-2.0;-20.0;15.0;AIR
86.0;-36.0;-78.0;-98.0;0.0;-6.0;-9.0;-26.0;-36.0;-90.0;-2.0;-19.0;18.0;1.0;-24.0;9.0;AIR
57.0;-1.0;-27.0;0.0;-6.0;-22.0;-19.0;-10.0;-30.0;-58.0;-4.0;-20.0;14.0;2.0;-2.0;1.0;AIR
76.0;-1.0;-27.0;0.0;-6.0;-22.0;-20.0;-10.0;-28.0;-58.0;-4.0;-13.0;8.0;8.0;-2.0;1.0;AIR
-27.0;8.0;-30.0;35.0;0.0;-7.0;-3.0;-2.0;-5.0;-19.0;2.0;6.0;7.0;8.0;0.0;-14.0;AIR
26.0;16.0;-18.0;49.0;0.0;-7.0;-3.0;-2.0;-3.0;-6.0;2.0;0.0;-2.0;8.0;-9.0;-6.0;AIR
57.0;33.0;33.0;55.0;-10.0;-7.0;0.0;-2.0;-3.0;-6.0;2.0;-4.0;-2.0;28.0;-21.0;3.0;AIR
