OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
30.0;66.0;155.0;363.0;90.0;180.0;76.0;155.0;321.0;649.0;127.0;228.0;1.0;-10.0;-1.0;2.0;AIR
108.0;213.0;434.0;915.0;188.0;335.0;148.0;285.0;558.0;1072.0;199.0;342.0;1.0;-10.0;-5.0;0.0;AIR
143.0;273.0;539.0;1115.0;224.0;400.0;171.0;330.0;646.0;1238.0;226.0;384.0;1.0;-12.0;-5.0;2.0;AIR
186.0;345.0;664.0;1303.0;248.0;426.0;182.0;353.0;689.0;1312.0;236.0;390.0;1.0;-12.0;-8.0;2.0;AIR
167.0;297.0;550.0;1032.0;188.0;326.0;132.0;251.0;485.0;909.0;161.0;269.0;1.0;-14.0;-8.0;2.0;AIR
114.0;202.0;389.0;739.0;138.0;242.0;99.0;195.0;379.0;720.0;130.0;224.0;0.0;-14.0;-8.0;3.0;AIR
110.0;205.0;400.0;781.0;150.0;266.0;111.0;216.0;422.0;812.0;149.0;256.0;0.0;-16.0;-8.0;3.0;AIR
111.0;201.0;384.0;743.0;140.0;247.0;105.0;199.0;383.0;718.0;128.0;216.0;-6.0;-14.0;-6.0;1.0;AIR
91.0;164.0;311.0;595.0;110.0;197.0;87.0;161.0;311.0;579.0;103.0;176.0;-9.0;-7.0;-5.0;3.0;AIR
76.0;136.0;261.0;501.0;94.0;168.0;65.0;128.0;244.0;452.0;79.0;135.0;-9.0;-7.0;-5.0;1.0;AIR
51.0;93.0;179.0;342.0;64.0;118.0;49.0;93.0;177.0;326.0;57.0;98.0;-9.0;-10.0;-5.0;-2.0;AIR
37.0;69.0;133.0;256.0;48.0;90.0;35.0;69.0;134.0;251.0;45.0;78.0;-9.0;-7.0;-5.0;-2.0;AIR
32.0;57.0;109.0;214.0;42.0;80.0;40.0;71.0;140.0;246.0;44.0;76.0;-8.0;-7.0;-2.0;-2.0;AIR
29.0;54.0;109.0;217.0;43.0;83.0;38.0;71.0;143.0;254.0;47.0;85.0;3.0;-8.0;-5.0;-2.0;AIR
43.0;77.0;149.0;278.0;53.0;94.0;38.0;72.0;145.0;261.0;47.0;83.0;3.0;-8.0;-5.0;-1.0;AIR
33.0;62.0;120.0;235.0;46.0;84.0;30.0;59.0;120.0;220.0;39.0;69.0;3.0;-8.0;-4.0;-1.0;AIR
27.0;48.0;91.0;182.0;36.0;67.0;27.0;54.0;101.0;193.0;33.0;58.0;4.0;-10.0;-4.0;-1.0;AIR
23.0;41.0;82.0;165.0;32.0;61.0;27.0;49.0;94.0;169.0;32.0;56.0;-7.0;-11.0;-4.0;3.0;AIR
26.0;50.0;107.0;225.0;47.0;86.0;36.0;68.0;138.0;252.0;50.0;84.0;4.0;-11.0;-2.0;3.0;AIR
35.0;67.0;136.0;283.0;58.0;104.0;38.0;75.0;152.0;291.0;55.0;94.0;-7.0;-10.0;-2.0;3.0;AIR
36.0;70.0;146.0;293.0;58.0;106.0;42.0;81.0;163.0;312.0;58.0;100.0;-7.0;-9.0;-8.0;0.0;AIR
47.0;86.0;168.0;331.0;66.0;116.0;42.0;83.0;173.0;329.0;60.0;107.0;-5.0;-9.0;-8.0;0.0;AIR
44.0;83.0;163.0;320.0;63.0;107.0;44.0;82.0;162.0;311.0;57.0;98.0;-5.0;-9.0;-10.0;0.0;AIR
39.0;71.0;141.0;282.0;55.0;97.0;34.0;65.0;135.0;268.0;48.0;87.0;-5.0;-7.0;-10.0;4.0;AIR
38.0;68.0;132.0;248.0;47.0;81.0;27.0;53.0;104.0;208.0;39.0;69.0;-1.0;-7.0;-10.0;3.0;AIR
25.0;48.0;94.0;186.0;37.0;67.0;27.0;49.0;99.0;182.0;33.0;60.0;-1.0;-6.0;-10.0;5.0;AIR
-3.0;-4.0;-7.0;-10.0;0.0;4.0;2.0;3.0;7.0;7.0;1.0;1.0;1.0;1.0;-5.0;5.0;AIR
-3.0;-4.0;-8.0;-10.0;0.0;3.0;2.0;6.0;11.0;33.0;4.0;5.0;5.0;1.0;17.0;5.0;AIR
-3.0;-7.0;-8.0;-20.0;-2.0;-1.0;2.0;2.0;2.0;0.0;1.0;1.0;6.0;9.0;14.0;13.0;AIR
