OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIA
27.0;54.0;117.0;221.0;40.0;80.0;40.0;84.0;170.0;320.0;55.0;91.0;0.0;8.0;4.0;16.0;AMMONIA
50.0;96.0;179.0;308.0;52.0;100.0;53.0;112.0;221.0;403.0;68.0;113.0;16.0;12.0;3.0;10.0;AMMONIA
78.0;147.0;276.0;460.0;77.0;148.0;82.0;166.0;321.0;591.0;101.0;175.0;16.0;12.0;6.0;8.0;AMMONIA
119.0;221.0;406.0;694.0;114.0;205.0;101.0;204.0;403.0;753.0;129.0;218.0;20.0;6.0;5.0;3.0;AMMONIA
147.0;278.0;516.0;889.0;146.0;260.0;132.0;263.0;515.0;969.0;163.0;277.0;21.0;6.0;9.0;-5.0;AMMONIA
198.0;370.0;670.0;1145.0;187.0;342.0;180.0;364.0;709.0;1309.0;221.0;373.0;20.0;6.0;16.0;-8.0;AMMONIA
274.0;510.0;917.0;1561.0;254.0;452.0;237.0;461.0;884.0;1611.0;275.0;453.0;20.0;3.0;16.0;-10.0;AMMONIA
285.0;521.0;928.0;1588.0;257.0;458.0;259.0;502.0;951.0;1706.0;286.0;475.0;9.0;-1.0;9.0;-10.0;AMMONIA
299.0;536.0;937.0;1556.0;250.0;424.0;216.0;417.0;791.0;1435.0;243.0;412.0;9.0;-1.0;9.0;-10.0;AMMONIA
352.0;661.0;1194.0;2021.0;340.0;635.0;380.0;728.0;1337.0;2379.0;388.0;634.0;6.0;-4.0;29.0;-34.0;AMMONIA
389.0;719.0;1288.0;2188.0;353.0;620.0;355.0;685.0;1288.0;2335.0;387.0;645.0;15.0;-4.0;35.0;-34.0;AMMONIA
532.0;975.0;1720.0;2865.0;468.0;900.0;584.0;1120.0;2067.0;3684.0;605.0;995.0;19.0;-4.0;50.0;-37.0;AMMONIA
853.0;1519.0;2613.0;4205.0;649.0;1114.0;691.0;1304.0;2401.0;4190.0;677.0;1085.0;20.0;-11.0;41.0;-53.0;AMMONIA
792.0;1420.0;2461.0;4054.0;641.0;1088.0;687.0;1305.0;2415.0;4263.0;700.0;1141.0;25.0;-12.0;56.0;-64.0;AMMONIA
1035.0;1865.0;3219.0;5193.0;813.0;1420.0;952.0;1780.0;3198.0;5546.0;886.0;1404.0;26.0;-12.0;41.0;-69.0;AMMONIA
1089.0;1930.0;3292.0;5301.0;827.0;1394.0;903.0;1695.0;3069.0;5365.0;862.0;1386.0;25.0;-12.0;50.0;-73.0;AMMONIA
1169.0;2074.0;3565.0;5698.0;886.0;1503.0;1020.0;1897.0;3429.0;5969.0;952.0;1515.0;26.0;-16.0;43.0;-73.0;AMMONIA
1347.0;2376.0;4047.0;6461.0;1000.0;1697.0;1215.0;2240.0;4001.0;6858.0;1092.0;1708.0;32.0;-16.0;74.0;-98.0;AMMONIA
1563.0;2765.0;4708.0;7497.0;1181.0;2046.0;1513.0;2789.0;5005.0;8561.0;1350.0;2135.0;40.0;-32.0;100.0;-168.0;AMMONIA
2111.0;3695.0;6193.0;9791.0;1528.0;2597.0;1980.0;3635.0;6447.0;10943.0;1703.0;2641.0;31.0;-32.0;114.0;-168.0;AMMONIA
2712.0;4713.0;7747.0;12075.0;1831.0;2972.0;2322.0;4193.0;7331.0;12257.0;1881.0;2882.0;24.0;-32.0;104.0;-168.0;AMMONIA
2829.0;4875.0;8017.0;12440.0;1873.0;3069.0;2435.0;4380.0;7617.0;12603.0;1935.0;2932.0;36.0;-28.0;77.0;-175.0;AMMONIA
2733.0;4629.0;7488.0;11503.0;1694.0;2660.0;2022.0;3625.0;6260.0;10421.0;1604.0;2446.0;23.0;-28.0;104.0;-175.0;AMMONIA
2191.0;3780.0;6291.0;9917.0;1517.0;2543.0;2059.0;3725.0;6528.0;10901.0;1683.0;2596.0;32.0;-28.0;110.0;-175.0;AMMONIA
2622.0;4513.0;7447.0;11527.0;1766.0;3011.0;2502.0;4511.0;7816.0;12959.0;1989.0;3033.0;34.0;-35.0;114.0;-195.0;AMMONIA
3220.0;5495.0;8898.0;13682.0;2068.0;3392.0;2924.0;5206.0;8972.0;14646.0;2218.0;3359.0;39.0;-39.0;110.0;-200.0;AMMONIA
3600.0;6102.0;9745.0;14823.0;2209.0;3569.0;3090.0;5473.0;9355.0;15229.0;2286.0;3457.0;34.0;-43.0;106.0;-200.0;AMMONIA
3622.0;6110.0;9870.0;15014.0;2228.0;3584.0;3118.0;5515.0;9454.0;15371.0;2317.0;3487.0;29.0;-45.0;112.0;-212.0;AMMONIA
3825.0;6426.0;10354.0;15797.0;2348.0;3819.0;3432.0;6059.0;10271.0;16668.0;2502.0;3760.0;36.0;-49.0;136.0;-224.0;AMMONIA
4177.0;7015.0;11257.0;17027.0;2539.0;4076.0;3737.0;6558.0;11077.0;17848.0;2684.0;3998.0;36.0;-49.0;131.0;-227.0;AMMONIA
4539.0;7597.0;12144.0;18182.0;2678.0;4236.0;3925.0;6843.0;11557.0;18494.0;2773.0;4109.0;53.0;-49.0;136.0;-227.0;AMMONIA
4701.0;7813.0;12372.0;18481.0;2724.0;4302.0;4079.0;7096.0;11882.0;18988.0;2811.0;4173.0;42.0;-49.0;130.0;-224.0;AMMONIA
4841.0;8049.0;12715.0;18837.0;2762.0;4350.0;4112.0;7143.0;11941.0;19062.0;2832.0;4172.0;34.0;-49.0;115.0;-224.0;AMMONIA
4758.0;7936.0;12552.0;18708.0;2726.0;4298.0;4158.0;7160.0;11903.0;19006.0;2817.0;4181.0;43.0;-50.0;127.0;-232.0;AMMONIA
4866.0;8091.0;12774.0;19093.0;2802.0;4429.0;4273.0;7410.0;12350.0;19679.0;2925.0;4327.0;36.0;-57.0;130.0;-242.0;AMMONIA
5188.0;8607.0;13495.0;19955.0;2948.0;4663.0;4611.0;7953.0;13210.0;20891.0;3087.0;4549.0;47.0;-57.0;141.0;-242.0;AMMONIA
5481.0;9029.0;14178.0;20650.0;3072.0;4814.0;4845.0;8337.0;13747.0;21628.0;3179.0;4688.0;39.0;-57.0;143.0;-242.0;AMMONIA
5725.0;9439.0;14797.0;21182.0;3170.0;4935.0;4936.0;8474.0;14048.0;22086.0;3254.0;4756.0;46.0;-57.0;138.0;-241.0;AMMONIA
5617.0;9226.0;14405.0;20878.0;3097.0;4865.0;4891.0;8366.0;13803.0;21719.0;3214.0;4684.0;32.0;-51.0;114.0;-227.0;AMMONIA
5622.0;9220.0;14387.0;20728.0;3060.0;4773.0;4854.0;8273.0;13633.0;21424.0;3147.0;4593.0;31.0;-51.0;111.0;-227.0;AMMONIA
5538.0;9069.0;14200.0;20576.0;3044.0;4772.0;4918.0;8407.0;13838.0;21742.0;3185.0;4642.0;40.0;-51.0;110.0;-227.0;AMMONIA
5722.0;9353.0;14543.0;20931.0;3114.0;4866.0;5109.0;8707.0;14224.0;22230.0;3251.0;4754.0;43.0;-55.0;124.0;-231.0;AMMONIA
6066.0;9888.0;15349.0;21726.0;3290.0;5113.0;5349.0;9132.0;14956.0;23311.0;3408.0;4994.0;52.0;-60.0;143.0;-254.0;AMMONIA
6370.0;10408.0;16130.0;22399.0;3434.0;5328.0;5647.0;9645.0;15722.0;24437.0;3559.0;5186.0;54.0;-62.0;155.0;-270.0;AMMONIA
6535.0;10659.0;16493.0;22610.0;3525.0;5464.0;5888.0;9960.0;16172.0;25138.0;3649.0;5309.0;48.0;-62.0;143.0;-279.0;AMMONIA
6946.0;11284.0;17368.0;23170.0;3656.0;5595.0;5995.0;10081.0;16364.0;25436.0;3689.0;5305.0;41.0;-62.0;144.0;-279.0;AMMONIA
6601.0;10730.0;16628.0;22697.0;3526.0;5485.0;5952.0;10065.0;16369.0;25416.0;3668.0;5308.0;55.0;-60.0;161.0;-279.0;AMMONIA
6790.0;10936.0;16694.0;22678.0;3497.0;5405.0;5845.0;9827.0;15784.0;24392.0;3524.0;5101.0;39.0;-56.0;109.0;-235.0;AMMONIA
6215.0;9954.0;15228.0;21489.0;3213.0;5004.0;5412.0;9097.0;14734.0;22689.0;3304.0;4779.0;35.0;-49.0;119.0;-220.0;AMMONIA
5627.0;9044.0;13867.0;20060.0;2933.0;4708.0;5054.0;8526.0;13762.0;21344.0;3076.0;4502.0;35.0;-45.0;123.0;-215.0;AMMONIA
5269.0;8493.0;13146.0;19099.0;2794.0;4468.0;4754.0;8040.0;13101.0;20467.0;2955.0;4338.0;35.0;-44.0;110.0;-215.0;AMMONIA
4979.0;8005.0;12331.0;18048.0;2651.0;4262.0;4537.0;7671.0;12503.0;19403.0;2812.0;4135.0;35.0;-43.0;102.0;-212.0;AMMONIA
4715.0;7607.0;11804.0;17330.0;2527.0;4081.0;4315.0;7285.0;11857.0;18553.0;2699.0;3988.0;35.0;-43.0;114.0;-207.0;AMMONIA
4643.0;7538.0;11683.0;17046.0;2471.0;3951.0;4060.0;6881.0;11196.0;17566.0;2574.0;3787.0;36.0;-43.0;104.0;-215.0;AMMONIA
4135.0;6660.0;10311.0;15216.0;2205.0;3581.0;3685.0;6248.0;10207.0;15921.0;2330.0;3452.0;34.0;-43.0;93.0;-206.0;AMMONIA
3625.0;5920.0;9259.0;13888.0;2065.0;3463.0;3575.0;6095.0;10004.0;15668.0;2311.0;3400.0;47.0;-44.0;119.0;-198.0;AMMONIA
3820.0;6204.0;9624.0;14088.0;2063.0;3369.0;3436.0;5842.0;9578.0;14987.0;2218.0;3282.0;25.0;-46.0;89.0;-198.0;AMMONIA
3543.0;5791.0;9041.0;13520.0;1987.0;3317.0;3416.0;5804.0;9574.0;15038.0;2215.0;3300.0;40.0;-44.0;114.0;-198.0;AMMONIA
3570.0;5821.0;9093.0;13564.0;1997.0;3282.0;3363.0;5723.0;9433.0;14917.0;2195.0;3263.0;31.0;-44.0;106.0;-198.0;AMMONIA
3516.0;5749.0;9018.0;13429.0;1989.0;3291.0;3404.0;5774.0;9452.0;14743.0;2150.0;3192.0;31.0;-44.0;80.0;-202.0;AMMONIA
3281.0;5390.0;8453.0;12711.0;1891.0;3168.0;3252.0;5547.0;9186.0;14460.0;2128.0;3195.0;27.0;-46.0;94.0;-210.0;AMMONIA
3380.0;5554.0;8781.0;13038.0;1937.0;3222.0;3300.0;5665.0;9396.0;14804.0;2180.0;3259.0;51.0;-48.0;129.0;-222.0;AMMONIA
3712.0;6084.0;9523.0;14175.0;2104.0;3489.0;3641.0;6210.0;10162.0;15927.0;2335.0;3446.0;40.0;-48.0;131.0;-222.0;AMMONIA
3857.0;6281.0;9718.0;14350.0;2095.0;3416.0;3508.0;5996.0;9815.0;15371.0;2258.0;3356.0;38.0;-53.0;127.0;-222.0;AMMONIA
