OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
-8.0;-14.0;-30.0;-54.0;-9.0;-12.0;-3.0;-2.0;-8.0;-30.0;-7.0;-10.0;-17.0;2.0;-28.0;24.0;AMMONIUM_CHLORIDE
-6.0;-14.0;-25.0;-48.0;-8.0;-12.0;-2.0;-1.0;-7.0;-13.0;-4.0;-6.0;-17.0;2.0;-30.0;24.0;AMMONIUM_CHLORIDE
-6.0;-14.0;-25.0;-48.0;-8.0;-12.0;0.0;-1.0;-4.0;5.0;0.0;7.0;-13.0;8.0;-38.0;33.0;AMMONIUM_CHLORIDE
12.0;27.0;58.0;128.0;25.0;41.0;14.0;30.0;66.0;134.0;27.0;50.0;-13.0;10.0;-38.0;33.0;AMMONIUM_CHLORIDE
28.0;58.0;124.0;248.0;46.0;72.0;22.0;47.0;101.0;206.0;37.0;70.0;-18.0;8.0;-41.0;44.0;AMMONIUM_CHLORIDE
29.0;57.0;116.0;225.0;42.0;68.0;19.0;42.0;90.0;193.0;38.0;69.0;-18.0;10.0;-48.0;43.0;AMMONIUM_CHLORIDE
29.0;60.0;123.0;248.0;46.0;76.0;23.0;49.0;106.0;223.0;42.0;79.0;-20.0;14.0;-62.0;42.0;AMMONIUM_CHLORIDE
2.0;5.0;10.0;16.0;3.0;3.0;3.0;8.0;10.0;15.0;4.0;4.0;-22.0;31.0;-88.0;139.0;AMMONIUM_CHLORIDE
3.0;8.0;14.0;25.0;4.0;5.0;5.0;10.0;14.0;18.0;4.0;5.0;-24.0;31.0;-104.0;94.0;AMMONIUM_CHLORIDE
4.0;8.0;18.0;34.0;5.0;8.0;4.0;8.0;10.0;22.0;7.0;10.0;-24.0;41.0;-121.0;142.0;AMMONIUM_CHLORIDE
7.0;15.0;28.0;51.0;8.0;15.0;6.0;11.0;20.0;43.0;9.0;16.0;-22.0;49.0;-121.0;158.0;AMMONIUM_CHLORIDE
10.0;21.0;39.0;72.0;12.0;21.0;9.0;19.0;35.0;67.0;12.0;23.0;-25.0;50.0;-128.0;176.0;AMMONIUM_CHLORIDE
14.0;28.0;52.0;98.0;18.0;31.0;11.0;24.0;48.0;94.0;19.0;34.0;-33.0;50.0;-138.0;151.0;AMMONIUM_CHLORIDE
19.0;37.0;75.0;139.0;25.0;44.0;15.0;30.0;60.0;122.0;24.0;44.0;-37.0;50.0;-153.0;225.0;AMMONIUM_CHLORIDE
23.0;46.0;91.0;169.0;31.0;54.0;18.0;35.0;69.0;146.0;28.0;53.0;-40.0;58.0;-158.0;236.0;AMMONIUM_CHLORIDE
28.0;55.0;107.0;202.0;36.0;64.0;19.0;37.0;74.0;163.0;33.0;61.0;-40.0;51.0;-158.0;208.0;AMMONIUM_CHLORIDE
31.0;61.0;121.0;220.0;40.0;71.0;23.0;45.0;90.0;183.0;37.0;68.0;-40.0;43.0;-153.0;197.0;AMMONIUM_CHLORIDE
31.0;60.0;117.0;214.0;39.0;71.0;21.0;41.0;83.0;179.0;36.0;68.0;-41.0;37.0;-153.0;163.0;AMMONIUM_CHLORIDE
31.0;59.0;116.0;217.0;40.0;71.0;24.0;46.0;93.0;193.0;37.0;70.0;-44.0;49.0;-153.0;188.0;AMMONIUM_CHLORIDE
32.0;64.0;126.0;230.0;42.0;75.0;24.0;53.0;100.0;205.0;39.0;72.0;-43.0;50.0;-153.0;185.0;AMMONIUM_CHLORIDE
34.0;67.0;131.0;249.0;44.0;79.0;25.0;50.0;98.0;207.0;41.0;79.0;-43.0;54.0;-164.0;222.0;AMMONIUM_CHLORIDE
39.0;79.0;151.0;289.0;51.0;90.0;30.0;58.0;121.0;247.0;48.0;89.0;-43.0;57.0;-164.0;234.0;AMMONIUM_CHLORIDE
45.0;84.0;164.0;306.0;54.0;97.0;31.0;66.0;131.0;268.0;52.0;95.0;-32.0;50.0;-164.0;216.0;AMMONIUM_CHLORIDE
45.0;88.0;168.0;312.0;56.0;99.0;28.0;60.0;115.0;241.0;47.0;87.0;-29.0;36.0;-121.0;144.0;AMMONIUM_CHLORIDE
31.0;61.0;116.0;217.0;40.0;74.0;25.0;51.0;97.0;192.0;37.0;67.0;-18.0;12.0;-58.0;46.0;AMMONIUM_CHLORIDE
25.0;50.0;99.0;182.0;32.0;62.0;23.0;43.0;85.0;169.0;32.0;59.0;-18.0;12.0;-58.0;60.0;AMMONIUM_CHLORIDE
22.0;46.0;90.0;167.0;30.0;56.0;19.0;37.0;70.0;144.0;28.0;54.0;-22.0;16.0;-83.0;88.0;AMMONIUM_CHLORIDE
22.0;42.0;78.0;149.0;25.0;50.0;17.0;34.0;67.0;140.0;29.0;51.0;-28.0;49.0;-118.0;197.0;AMMONIUM_CHLORIDE
24.0;50.0;98.0;178.0;30.0;53.0;19.0;39.0;70.0;140.0;25.0;48.0;-22.0;16.0;-83.0;88.0;AMMONIUM_CHLORIDE
