OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
0.0;-1.0;-3.0;-5.0;-1.0;-2.0;1.0;1.0;1.0;-1.0;0.0;-1.0;23.0;-31.0;139.0;-122.0;AMMONIUM_CHLORIDE
0.0;0.0;0.0;-1.0;0.0;0.0;2.0;2.0;3.0;5.0;2.0;2.0;18.0;-31.0;144.0;-114.0;AMMONIUM_CHLORIDE
1.0;4.0;6.0;11.0;2.0;4.0;2.0;4.0;8.0;19.0;4.0;7.0;19.0;-26.0;87.0;-114.0;AMMONIUM_CHLORIDE
3.0;5.0;10.0;17.0;4.0;8.0;3.0;5.0;12.0;24.0;5.0;9.0;5.0;-15.0;20.0;-32.0;AMMONIUM_CHLORIDE
4.0;8.0;16.0;29.0;6.0;10.0;3.0;7.0;15.0;26.0;6.0;10.0;5.0;-15.0;20.0;-32.0;AMMONIUM_CHLORIDE
4.0;8.0;14.0;29.0;5.0;9.0;3.0;7.0;11.0;24.0;5.0;10.0;5.0;-15.0;20.0;-32.0;AMMONIUM_CHLORIDE
5.0;9.0;17.0;32.0;6.0;10.0;4.0;7.0;15.0;28.0;5.0;11.0;16.0;-29.0;72.0;-90.0;AMMONIUM_CHLORIDE
4.0;10.0;18.0;34.0;7.0;12.0;6.0;7.0;16.0;31.0;6.0;12.0;39.0;-29.0;72.0;-90.0;AMMONIUM_CHLORIDE
6.0;13.0;23.0;43.0;8.0;16.0;5.0;12.0;22.0;45.0;10.0;17.0;32.0;-29.0;124.0;-90.0;AMMONIUM_CHLORIDE
7.0;15.0;29.0;53.0;10.0;19.0;6.0;10.0;21.0;43.0;9.0;16.0;11.0;-29.0;77.0;35.0;AMMONIUM_CHLORIDE
8.0;14.0;25.0;49.0;10.0;18.0;6.0;10.0;25.0;46.0;10.0;17.0;11.0;-29.0;77.0;37.0;AMMONIUM_CHLORIDE
7.0;15.0;27.0;53.0;10.0;19.0;7.0;10.0;23.0;49.0;10.0;19.0;11.0;-29.0;77.0;-108.0;AMMONIUM_CHLORIDE
8.0;16.0;30.0;54.0;10.0;20.0;5.0;12.0;28.0;53.0;10.0;21.0;25.0;-29.0;158.0;-108.0;AMMONIUM_CHLORIDE
