OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
5.0;13.0;16.0;33.0;6.0;-7.0;-15.0;-22.0;-15.0;-46.0;-5.0;0.0;12.0;5.0;22.0;-4.0;AMMONIUM_CHLORIDE
45.0;65.0;90.0;146.0;19.0;13.0;59.0;73.0;87.0;65.0;16.0;9.0;7.0;5.0;8.0;-4.0;AMMONIUM_CHLORIDE
94.0;152.0;212.0;334.0;43.0;45.0;48.0;63.0;97.0;110.0;32.0;40.0;7.0;3.0;11.0;-4.0;AMMONIUM_CHLORIDE
83.0;136.0;207.0;316.0;41.0;40.0;48.0;74.0;125.0;160.0;20.0;24.0;9.0;3.0;9.0;-10.0;AMMONIUM_CHLORIDE
126.0;196.0;292.0;441.0;54.0;45.0;54.0;81.0;139.0;169.0;35.0;38.0;3.0;-5.0;9.0;-10.0;AMMONIUM_CHLORIDE
80.0;132.0;212.0;293.0;40.0;26.0;103.0;157.0;187.0;181.0;22.0;26.0;3.0;5.0;8.0;-10.0;AMMONIUM_CHLORIDE
100.0;165.0;221.0;297.0;41.0;20.0;94.0;127.0;173.0;150.0;15.0;12.0;2.0;2.0;16.0;-10.0;AMMONIUM_CHLORIDE
77.0;109.0;167.0;217.0;37.0;13.0;94.0;127.0;173.0;150.0;13.0;3.0;2.0;2.0;16.0;-10.0;AMMONIUM_CHLORIDE
111.0;160.0;210.0;301.0;37.0;4.0;96.0;133.0;182.0;149.0;14.0;-2.0;1.0;0.0;7.0;-10.0;AMMONIUM_CHLORIDE
