OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;APPLE_VINEGAR
105.0;205.0;383.0;654.0;203.0;308.0;88.0;194.0;473.0;1195.0;270.0;499.0;5.0;1.0;12.0;-43.0;APPLE_VINEGAR
355.0;746.0;1738.0;4048.0;796.0;1207.0;579.0;1179.0;2405.0;4910.0;935.0;1478.0;5.0;1.0;20.0;-43.0;APPLE_VINEGAR
782.0;1554.0;3223.0;6584.0;1148.0;1581.0;736.0;1469.0;2918.0;5659.0;1029.0;1595.0;6.0;-3.0;12.0;-49.0;APPLE_VINEGAR
793.0;1550.0;3133.0;6263.0;1100.0;1568.0;771.0;1523.0;2962.0;5764.0;1035.0;1606.0;10.0;-3.0;12.0;-43.0;APPLE_VINEGAR
852.0;1635.0;3279.0;6534.0;1118.0;1603.0;811.0;1591.0;3106.0;5916.0;1046.0;1619.0;10.0;-5.0;17.0;-43.0;APPLE_VINEGAR
863.0;1656.0;3311.0;6579.0;1134.0;1622.0;823.0;1617.0;3141.0;5973.0;1058.0;1649.0;10.0;-5.0;9.0;-49.0;APPLE_VINEGAR
924.0;1795.0;3623.0;7338.0;1311.0;1944.0;1073.0;2085.0;4021.0;7694.0;1382.0;2147.0;9.0;-11.0;10.0;-53.0;APPLE_VINEGAR
1207.0;2337.0;4658.0;9276.0;1607.0;2302.0;1275.0;2459.0;4721.0;8904.0;1575.0;2425.0;10.0;-10.0;20.0;-64.0;APPLE_VINEGAR
1414.0;2736.0;5414.0;10822.0;1920.0;2724.0;1581.0;3042.0;5770.0;10750.0;1885.0;2871.0;11.0;-10.0;20.0;-64.0;APPLE_VINEGAR
1730.0;3290.0;6458.0;12890.0;2262.0;3163.0;1898.0;3620.0;6785.0;12597.0;2191.0;3309.0;15.0;-10.0;18.0;-64.0;APPLE_VINEGAR
1910.0;3641.0;7123.0;14146.0;2500.0;3519.0;2179.0;4123.0;7642.0;14057.0;2412.0;3634.0;11.0;-10.0;24.0;-57.0;APPLE_VINEGAR
2146.0;4017.0;7767.0;14988.0;2559.0;3533.0;2205.0;4144.0;7659.0;13886.0;2356.0;3535.0;11.0;-10.0;15.0;-57.0;APPLE_VINEGAR
2111.0;3904.0;7423.0;13984.0;2343.0;3249.0;2033.0;3808.0;6972.0;12430.0;2084.0;3112.0;19.0;-10.0;24.0;-57.0;APPLE_VINEGAR
1783.0;3291.0;6164.0;11375.0;1889.0;2693.0;1652.0;3133.0;5793.0;10497.0;1800.0;2758.0;10.0;-10.0;14.0;-54.0;APPLE_VINEGAR
1684.0;3150.0;5994.0;11536.0;1978.0;2828.0;1765.0;3327.0;6119.0;10971.0;1845.0;2796.0;17.0;-5.0;14.0;-57.0;APPLE_VINEGAR
1821.0;3432.0;6674.0;12834.0;2181.0;3052.0;1907.0;3582.0;6587.0;11880.0;1979.0;2907.0;17.0;-5.0;14.0;-57.0;APPLE_VINEGAR
1734.0;3210.0;6053.0;11337.0;1890.0;2698.0;1641.0;3100.0;5733.0;10394.0;1745.0;2646.0;18.0;-4.0;14.0;-61.0;APPLE_VINEGAR
1699.0;3194.0;6220.0;12374.0;2199.0;3272.0;2174.0;4090.0;7610.0;14018.0;2403.0;3612.0;17.0;-5.0;16.0;-61.0;APPLE_VINEGAR
2378.0;4423.0;8352.0;15797.0;2631.0;3559.0;2273.0;4229.0;7730.0;13751.0;2290.0;3397.0;10.0;-5.0;14.0;-64.0;APPLE_VINEGAR
2236.0;4185.0;8126.0;16016.0;2847.0;4091.0;2828.0;5229.0;9621.0;17385.0;2945.0;4385.0;17.0;-18.0;22.0;-67.0;APPLE_VINEGAR
2933.0;5373.0;10117.0;18763.0;3121.0;4238.0;2869.0;5310.0;9607.0;17061.0;2856.0;4241.0;10.0;-21.0;20.0;-68.0;APPLE_VINEGAR
2805.0;5139.0;9705.0;18131.0;3080.0;4293.0;2971.0;5508.0;10006.0;17909.0;3002.0;4456.0;9.0;-21.0;20.0;-68.0;APPLE_VINEGAR
3128.0;5763.0;10931.0;20089.0;3496.0;4815.0;3409.0;6218.0;11235.0;19848.0;3298.0;4856.0;11.0;-15.0;17.0;-72.0;APPLE_VINEGAR
3285.0;5995.0;11163.0;20266.0;3515.0;4841.0;3434.0;6255.0;11285.0;19857.0;3290.0;4779.0;16.0;-21.0;25.0;-74.0;APPLE_VINEGAR
3263.0;5984.0;11158.0;20158.0;3496.0;4772.0;3449.0;6269.0;11239.0;19756.0;3270.0;4833.0;11.0;-16.0;29.0;-74.0;APPLE_VINEGAR
3429.0;6246.0;11667.0;21021.0;3797.0;5290.0;3998.0;7269.0;12943.0;22812.0;3786.0;5570.0;7.0;-16.0;7.0;-81.0;APPLE_VINEGAR
4030.0;7308.0;13707.0;22789.0;4343.0;5913.0;4553.0;8213.0;14552.0;25306.0;4180.0;6076.0;7.0;-18.0;7.0;-82.0;APPLE_VINEGAR
4484.0;8117.0;14961.0;23490.0;4659.0;6279.0;4949.0;8853.0;15565.0;26897.0;4415.0;6308.0;6.0;-21.0;7.0;-82.0;APPLE_VINEGAR
4646.0;8362.0;15322.0;23595.0;4683.0;6345.0;4907.0;8827.0;15527.0;26726.0;4367.0;6326.0;6.0;-18.0;7.0;-81.0;APPLE_VINEGAR
4660.0;8326.0;15142.0;23446.0;4542.0;6088.0;4719.0;8493.0;14868.0;25429.0;4109.0;5908.0;10.0;-19.0;7.0;-76.0;APPLE_VINEGAR
4325.0;7697.0;14021.0;22689.0;4227.0;5796.0;4568.0;8192.0;14338.0;24673.0;4009.0;5771.0;10.0;-19.0;14.0;-76.0;APPLE_VINEGAR
4300.0;7688.0;14061.0;22868.0;4281.0;5848.0;4610.0;8241.0;14471.0;24984.0;4079.0;5920.0;13.0;-19.0;7.0;-76.0;APPLE_VINEGAR
4486.0;8034.0;14804.0;23348.0;4497.0;6134.0;4982.0;8858.0;15512.0;26609.0;4365.0;6249.0;13.0;-15.0;10.0;-82.0;APPLE_VINEGAR
4818.0;8612.0;15878.0;23937.0;4866.0;6588.0;5430.0;9630.0;16842.0;28771.0;4737.0;6804.0;20.0;-15.0;4.0;-82.0;APPLE_VINEGAR
5368.0;9500.0;17340.0;24656.0;5246.0;7024.0;5872.0;10393.0;17978.0;29758.0;4918.0;7053.0;15.0;-15.0;5.0;-91.0;APPLE_VINEGAR
5556.0;9808.0;17730.0;24742.0;5256.0;6969.0;5769.0;10225.0;17720.0;29508.0;4859.0;6961.0;8.0;-15.0;4.0;-84.0;APPLE_VINEGAR
