OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;APPLE_VINEGAR
10.0;17.0;19.0;29.0;5.0;9.0;11.0;15.0;23.0;39.0;6.0;10.0;16.0;-24.0;147.0;-149.0;APPLE_VINEGAR
14.0;25.0;34.0;51.0;9.0;13.0;13.0;20.0;35.0;62.0;9.0;15.0;45.0;-50.0;105.0;-211.0;APPLE_VINEGAR
22.0;35.0;49.0;69.0;13.0;17.0;18.0;26.0;45.0;78.0;12.0;20.0;45.0;-50.0;189.0;-211.0;APPLE_VINEGAR
25.0;43.0;60.0;92.0;15.0;21.0;27.0;39.0;64.0;105.0;16.0;24.0;8.0;-19.0;105.0;-149.0;APPLE_VINEGAR
31.0;50.0;72.0;115.0;18.0;25.0;23.0;35.0;65.0;118.0;17.0;28.0;25.0;-22.0;72.0;-104.0;APPLE_VINEGAR
29.0;48.0;71.0;114.0;18.0;26.0;27.0;41.0;70.0;121.0;18.0;27.0;25.0;-22.0;51.0;-88.0;APPLE_VINEGAR
32.0;52.0;76.0;121.0;19.0;29.0;30.0;46.0;76.0;125.0;20.0;30.0;25.0;-22.0;72.0;-88.0;APPLE_VINEGAR
35.0;57.0;86.0;136.0;21.0;31.0;34.0;53.0;87.0;145.0;23.0;34.0;44.0;-56.0;51.0;-104.0;APPLE_VINEGAR
36.0;61.0;92.0;144.0;23.0;33.0;41.0;59.0;93.0;155.0;24.0;36.0;84.0;-56.0;273.0;-104.0;APPLE_VINEGAR
45.0;71.0;102.0;162.0;25.0;37.0;41.0;60.0;98.0;167.0;26.0;38.0;52.0;-56.0;229.0;-88.0;APPLE_VINEGAR
43.0;73.0;110.0;172.0;27.0;38.0;42.0;64.0;105.0;177.0;27.0;38.0;4.0;-25.0;28.0;-59.0;APPLE_VINEGAR
48.0;80.0;119.0;181.0;28.0;40.0;39.0;63.0;105.0;173.0;25.0;38.0;4.0;-4.0;6.0;-21.0;APPLE_VINEGAR
42.0;68.0;99.0;165.0;26.0;37.0;43.0;62.0;99.0;164.0;25.0;40.0;-31.0;98.0;-137.0;388.0;APPLE_VINEGAR
43.0;72.0;109.0;170.0;27.0;39.0;40.0;64.0;102.0;175.0;27.0;39.0;-31.0;53.0;-162.0;256.0;APPLE_VINEGAR
41.0;71.0;107.0;166.0;27.0;40.0;38.0;58.0;97.0;176.0;25.0;37.0;-29.0;52.0;-137.0;202.0;APPLE_VINEGAR
42.0;73.0;108.0;172.0;27.0;40.0;35.0;61.0;99.0;165.0;26.0;41.0;8.0;53.0;-71.0;108.0;APPLE_VINEGAR
40.0;71.0;108.0;178.0;28.0;41.0;36.0;61.0;103.0;178.0;28.0;43.0;1.0;11.0;-71.0;108.0;APPLE_VINEGAR
41.0;70.0;114.0;185.0;29.0;42.0;42.0;65.0;108.0;179.0;29.0;42.0;13.0;4.0;-24.0;35.0;APPLE_VINEGAR
42.0;70.0;113.0;180.0;30.0;43.0;42.0;65.0;109.0;184.0;28.0;44.0;13.0;2.0;-7.0;-9.0;APPLE_VINEGAR
46.0;78.0;122.0;190.0;30.0;45.0;44.0;71.0;118.0;199.0;32.0;47.0;17.0;-32.0;42.0;-61.0;APPLE_VINEGAR
52.0;84.0;132.0;202.0;32.0;47.0;46.0;70.0;118.0;201.0;31.0;49.0;29.0;-35.0;38.0;-61.0;APPLE_VINEGAR
52.0;86.0;132.0;206.0;33.0;47.0;48.0;75.0;125.0;208.0;33.0;49.0;29.0;-37.0;42.0;-76.0;APPLE_VINEGAR
52.0;89.0;137.0;217.0;34.0;51.0;51.0;79.0;134.0;218.0;34.0;53.0;21.0;-37.0;38.0;-61.0;APPLE_VINEGAR
58.0;97.0;148.0;232.0;36.0;53.0;47.0;76.0;133.0;229.0;37.0;54.0;31.0;-37.0;9.0;-37.0;APPLE_VINEGAR
55.0;93.0;146.0;236.0;37.0;54.0;52.0;83.0;134.0;227.0;36.0;55.0;-12.0;27.0;-86.0;161.0;APPLE_VINEGAR
56.0;94.0;144.0;233.0;37.0;53.0;51.0;79.0;138.0;225.0;35.0;54.0;-12.0;43.0;-86.0;128.0;APPLE_VINEGAR
52.0;90.0;143.0;226.0;34.0;52.0;49.0;74.0;127.0;215.0;34.0;53.0;-12.0;32.0;-86.0;128.0;APPLE_VINEGAR
53.0;90.0;138.0;225.0;37.0;53.0;50.0;80.0;132.0;227.0;36.0;55.0;19.0;-13.0;48.0;-74.0;APPLE_VINEGAR
