OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BALSAMIC_VINEGAR
-13.0;-7.0;-17.0;-42.0;-4.0;-7.0;-46.0;-64.0;-45.0;-23.0;-4.0;3.0;1.0;-1.0;-21.0;-9.0;BALSAMIC_VINEGAR
-10.0;-6.0;-3.0;-20.0;1.0;2.0;-28.0;-48.0;-31.0;25.0;-1.0;6.0;-2.0;-3.0;-21.0;-9.0;BALSAMIC_VINEGAR
16.0;13.0;16.0;42.0;7.0;2.0;-28.0;-48.0;-31.0;27.0;-1.0;6.0;1.0;-1.0;-21.0;-9.0;BALSAMIC_VINEGAR
28.0;50.0;110.0;170.0;31.0;32.0;-13.0;-27.0;-26.0;60.0;21.0;41.0;-7.0;-5.0;-19.0;-9.0;BALSAMIC_VINEGAR
41.0;69.0;109.0;168.0;32.0;43.0;-10.0;-18.0;7.0;142.0;35.0;52.0;-7.0;-3.0;-15.0;-6.0;BALSAMIC_VINEGAR
46.0;82.0;137.0;259.0;50.0;70.0;2.0;18.0;71.0;272.0;52.0;87.0;-7.0;-4.0;-15.0;-6.0;BALSAMIC_VINEGAR
81.0;139.0;233.0;419.0;74.0;103.0;20.0;39.0;153.0;357.0;68.0;108.0;-9.0;-3.0;-15.0;-9.0;BALSAMIC_VINEGAR
74.0;134.0;231.0;436.0;85.0;116.0;28.0;67.0;212.0;492.0;83.0;143.0;-9.0;-3.0;-29.0;-9.0;BALSAMIC_VINEGAR
143.0;260.0;447.0;774.0;131.0;178.0;54.0;125.0;287.0;621.0;119.0;184.0;-10.0;-3.0;-29.0;-3.0;BALSAMIC_VINEGAR
213.0;378.0;658.0;1158.0;183.0;254.0;128.0;254.0;482.0;982.0;163.0;253.0;-6.0;-3.0;-29.0;-6.0;BALSAMIC_VINEGAR
232.0;411.0;731.0;1259.0;203.0;291.0;117.0;246.0;535.0;1083.0;182.0;281.0;-7.0;3.0;-29.0;-6.0;BALSAMIC_VINEGAR
218.0;393.0;677.0;1185.0;190.0;277.0;131.0;254.0;524.0;986.0;164.0;255.0;-6.0;3.0;-21.0;-6.0;BALSAMIC_VINEGAR
164.0;297.0;503.0;885.0;108.0;174.0;117.0;235.0;479.0;585.0;117.0;179.0;-7.0;3.0;-21.0;-6.0;BALSAMIC_VINEGAR
122.0;226.0;400.0;717.0;127.0;190.0;114.0;233.0;339.0;696.0;118.0;181.0;-6.0;3.0;-24.0;-6.0;BALSAMIC_VINEGAR
164.0;297.0;503.0;885.0;149.0;205.0;118.0;235.0;479.0;918.0;153.0;233.0;-4.0;5.0;-30.0;-6.0;BALSAMIC_VINEGAR
