OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BALSAMIC_VINEGAR
77.0;112.0;178.0;306.0;44.0;63.0;55.0;72.0;150.0;210.0;28.0;54.0;-3.0;1.0;11.0;-4.0;BALSAMIC_VINEGAR
126.0;201.0;320.0;508.0;73.0;105.0;55.0;102.0;208.0;361.0;63.0;89.0;1.0;-1.0;14.0;-4.0;BALSAMIC_VINEGAR
153.0;227.0;361.0;609.0;93.0;122.0;138.0;230.0;358.0;497.0;70.0;113.0;13.0;-1.0;11.0;-4.0;BALSAMIC_VINEGAR
133.0;197.0;352.0;573.0;87.0;120.0;86.0;154.0;277.0;438.0;74.0;110.0;4.0;1.0;8.0;-2.0;BALSAMIC_VINEGAR
181.0;285.0;459.0;738.0;104.0;141.0;157.0;239.0;375.0;509.0;69.0;110.0;5.0;-1.0;8.0;-2.0;BALSAMIC_VINEGAR
145.0;229.0;408.0;648.0;88.0;121.0;113.0;164.0;299.0;365.0;54.0;90.0;4.0;4.0;8.0;-1.0;BALSAMIC_VINEGAR
106.0;178.0;283.0;509.0;73.0;103.0;117.0;185.0;246.0;341.0;47.0;79.0;5.0;11.0;16.0;-7.0;BALSAMIC_VINEGAR
55.0;90.0;164.0;298.0;50.0;73.0;87.0;136.0;211.0;283.0;40.0;64.0;5.0;13.0;22.0;6.0;BALSAMIC_VINEGAR
53.0;97.0;165.0;311.0;46.0;67.0;58.0;87.0;157.0;234.0;41.0;61.0;5.0;11.0;16.0;1.0;BALSAMIC_VINEGAR
