OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BIOETHANOL
1175.0;2270.0;4181.0;6480.0;846.0;924.0;753.0;1734.0;3639.0;6622.0;1029.0;1344.0;-9.0;0.0;6.0;-2.0;BIOETHANOL
1629.0;3431.0;6056.0;9186.0;1103.0;1082.0;708.0;1562.0;3017.0;5142.0;730.0;829.0;-11.0;-7.0;6.0;-2.0;BIOETHANOL
750.0;1546.0;2891.0;4886.0;660.0;739.0;476.0;1082.0;2249.0;4061.0;610.0;754.0;-9.0;-7.0;6.0;-3.0;BIOETHANOL
613.0;1619.0;3205.0;5143.0;690.0;798.0;514.0;1154.0;2314.0;4168.0;641.0;826.0;-10.0;-2.0;5.0;-8.0;BIOETHANOL
772.0;1802.0;3177.0;4735.0;570.0;529.0;238.0;525.0;1042.0;1887.0;285.0;342.0;-10.0;-12.0;6.0;-8.0;BIOETHANOL
231.0;421.0;782.0;1330.0;194.0;228.0;81.0;182.0;378.0;723.0;124.0;159.0;-10.0;-12.0;8.0;-8.0;BIOETHANOL
82.0;218.0;389.0;670.0;108.0;137.0;46.0;99.0;214.0;403.0;70.0;97.0;-10.0;-2.0;8.0;-8.0;BIOETHANOL
53.0;130.0;248.0;452.0;63.0;80.0;34.0;73.0;168.0;322.0;54.0;84.0;-10.0;-1.0;9.0;-8.0;BIOETHANOL
58.0;115.0;231.0;462.0;75.0;96.0;40.0;86.0;196.0;389.0;66.0;96.0;-13.0;-8.0;20.0;-8.0;BIOETHANOL
82.0;164.0;333.0;592.0;114.0;139.0;54.0;141.0;300.0;628.0;106.0;157.0;-10.0;-8.0;26.0;-12.0;BIOETHANOL
82.0;254.0;494.0;920.0;158.0;162.0;78.0;168.0;390.0;744.0;139.0;165.0;-11.0;-8.0;20.0;-14.0;BIOETHANOL
90.0;245.0;494.0;938.0;150.0;194.0;81.0;206.0;423.0;870.0;142.0;208.0;-11.0;-8.0;41.0;-14.0;BIOETHANOL
169.0;368.0;733.0;1386.0;223.0;245.0;132.0;309.0;680.0;1360.0;237.0;326.0;-11.0;-8.0;30.0;-14.0;BIOETHANOL
257.0;714.0;1494.0;2849.0;479.0;615.0;474.0;1166.0;2474.0;4764.0;779.0;1026.0;2.0;-8.0;35.0;-5.0;BIOETHANOL
1195.0;3251.0;6871.0;11874.0;1820.0;2279.0;2772.0;5907.0;11091.0;17356.0;2351.0;2700.0;-11.0;-8.0;30.0;-5.0;BIOETHANOL
3315.0;6940.0;12378.0;18592.0;2353.0;2667.0;2951.0;6141.0;11313.0;17818.0;2401.0;2784.0;2.0;-6.0;30.0;-5.0;BIOETHANOL
3745.0;7580.0;14174.0;20698.0;2708.0;3015.0;3492.0;7070.0;12676.0;19660.0;2593.0;2925.0;2.0;-6.0;30.0;-17.0;BIOETHANOL
4098.0;8230.0;14238.0;20056.0;2556.0;2793.0;3038.0;6187.0;11368.0;17742.0;2357.0;2708.0;0.0;-6.0;35.0;-17.0;BIOETHANOL
3804.0;7664.0;13166.0;19657.0;2447.0;2661.0;3111.0;6452.0;11696.0;18096.0;2415.0;2742.0;0.0;-6.0;54.0;-23.0;BIOETHANOL
3919.0;7724.0;13800.0;20387.0;2597.0;2796.0;3117.0;6285.0;11393.0;17460.0;2303.0;2619.0;5.0;-6.0;53.0;-23.0;BIOETHANOL
3348.0;6394.0;10975.0;15370.0;1898.0;1987.0;1908.0;4015.0;7499.0;12003.0;1653.0;1936.0;5.0;-3.0;50.0;-23.0;BIOETHANOL
3348.0;5129.0;9332.0;14567.0;2029.0;2381.0;2654.0;5546.0;10152.0;15985.0;2131.0;2450.0;6.0;-3.0;41.0;-23.0;BIOETHANOL
3233.0;6414.0;11371.0;16970.0;2114.0;2359.0;2624.0;5424.0;10268.0;16452.0;2260.0;2673.0;5.0;-7.0;50.0;-23.0;BIOETHANOL
3773.0;7820.0;14100.0;21400.0;2634.0;2935.0;3258.0;6463.0;11332.0;16912.0;2113.0;2229.0;-1.0;-7.0;54.0;-23.0;BIOETHANOL
2053.0;4930.0;8457.0;12372.0;1490.0;1562.0;2384.0;4765.0;8642.0;13416.0;1156.0;1350.0;-3.0;-7.0;42.0;-23.0;BIOETHANOL
1685.0;3625.0;6889.0;10961.0;1543.0;1722.0;1722.0;3623.0;6818.0;11001.0;1489.0;1712.0;-6.0;-8.0;38.0;-23.0;BIOETHANOL
1709.0;4354.0;8378.0;13796.0;2030.0;2271.0;2384.0;4765.0;8642.0;13416.0;1727.0;1857.0;-6.0;-9.0;41.0;-23.0;BIOETHANOL
2049.0;3968.0;6779.0;9488.0;1136.0;1057.0;722.0;1475.0;2820.0;4750.0;666.0;805.0;-4.0;-9.0;51.0;-23.0;BIOETHANOL
779.0;1504.0;2753.0;4459.0;561.0;603.0;328.0;708.0;1402.0;2495.0;371.0;454.0;-4.0;-9.0;41.0;-19.0;BIOETHANOL
415.0;817.0;1577.0;2592.0;384.0;438.0;252.0;551.0;1136.0;2065.0;322.0;399.0;-1.0;-9.0;41.0;-19.0;BIOETHANOL
376.0;733.0;1430.0;2436.0;353.0;419.0;275.0;681.0;1451.0;2853.0;468.0;625.0;6.0;-13.0;48.0;-19.0;BIOETHANOL
585.0;1128.0;1956.0;3052.0;385.0;399.0;179.0;395.0;794.0;1479.0;231.0;297.0;-1.0;-10.0;44.0;-19.0;BIOETHANOL
337.0;497.0;969.0;1633.0;254.0;275.0;146.0;341.0;717.0;1415.0;241.0;333.0;-1.0;-10.0;50.0;-24.0;BIOETHANOL
337.0;689.0;1364.0;2482.0;363.0;413.0;243.0;564.0;1152.0;2130.0;330.0;397.0;-10.0;-10.0;58.0;-24.0;BIOETHANOL
251.0;638.0;1207.0;2022.0;293.0;320.0;243.0;564.0;1152.0;2130.0;330.0;268.0;-10.0;-10.0;54.0;-24.0;BIOETHANOL
337.0;469.0;1364.0;2482.0;270.0;360.0;267.0;675.0;1658.0;3631.0;715.0;1135.0;-11.0;-10.0;54.0;-24.0;BIOETHANOL
1623.0;1860.0;8517.0;13519.0;860.0;943.0;795.0;1712.0;3293.0;5497.0;777.0;879.0;-11.0;-10.0;60.0;-24.0;BIOETHANOL
893.0;5106.0;8664.0;11832.0;1310.0;1218.0;827.0;1748.0;3293.0;5497.0;777.0;877.0;-11.0;-12.0;52.0;-24.0;BIOETHANOL
893.0;1860.0;3608.0;9682.0;1310.0;943.0;795.0;1712.0;3370.0;5694.0;799.0;879.0;-3.0;-12.0;50.0;-24.0;BIOETHANOL
654.0;1607.0;3012.0;9682.0;1310.0;1218.0;827.0;1748.0;3370.0;5694.0;571.0;751.0;-3.0;-12.0;66.0;-25.0;BIOETHANOL
951.0;2334.0;5315.0;9682.0;1434.0;1560.0;1541.0;3366.0;6616.0;11094.0;1588.0;1914.0;-1.0;-12.0;57.0;-31.0;BIOETHANOL
1972.0;4950.0;9093.0;13813.0;1703.0;1975.0;2008.0;4088.0;7842.0;12634.0;1765.0;2090.0;1.0;-9.0;53.0;-31.0;BIOETHANOL
2795.0;5675.0;10554.0;16528.0;2066.0;2315.0;2351.0;4835.0;8805.0;13609.0;1738.0;1886.0;1.0;-8.0;52.0;-31.0;BIOETHANOL
1630.0;3833.0;6288.0;8707.0;972.0;843.0;425.0;895.0;1718.0;2967.0;420.0;496.0;1.0;-8.0;53.0;-37.0;BIOETHANOL
268.0;761.0;1351.0;2309.0;313.0;344.0;167.0;363.0;760.0;1423.0;228.0;306.0;2.0;-7.0;44.0;-31.0;BIOETHANOL
204.0;654.0;1308.0;2220.0;314.0;367.0;178.0;404.0;807.0;1507.0;238.0;320.0;1.0;-7.0;76.0;-31.0;BIOETHANOL
245.0;782.0;1658.0;2983.0;420.0;483.0;274.0;609.0;1232.0;2231.0;342.0;420.0;2.0;-13.0;63.0;-29.0;BIOETHANOL
