OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BIOETHANOL
19.0;143.0;279.0;445.0;43.0;6.0;-12.0;-48.0;-114.0;-209.0;-25.0;-30.0;-9.0;-4.0;9.0;5.0;BIOETHANOL
1643.0;3361.0;6448.0;10452.0;1450.0;1784.0;1547.0;3287.0;6427.0;10870.0;1584.0;1908.0;8.0;5.0;-15.0;-7.0;BIOETHANOL
2303.0;4599.0;8900.0;14324.0;1954.0;2175.0;2166.0;4442.0;8439.0;13894.0;1998.0;2364.0;8.0;10.0;-15.0;-7.0;BIOETHANOL
2006.0;5913.0;10932.0;17544.0;2377.0;2766.0;2970.0;6031.0;11152.0;17929.0;2518.0;2946.0;10.0;10.0;-15.0;-7.0;BIOETHANOL
3680.0;7723.0;13732.0;21084.0;2855.0;3293.0;3902.0;7560.0;13857.0;21999.0;2992.0;3420.0;5.0;11.0;-14.0;-12.0;BIOETHANOL
4236.0;8893.0;15799.0;22807.0;3130.0;3640.0;4104.0;7999.0;14609.0;23379.0;3129.0;3611.0;7.0;6.0;-14.0;-12.0;BIOETHANOL
3818.0;9281.0;16944.0;22999.0;3203.0;3548.0;4016.0;7799.0;13949.0;22060.0;2963.0;3397.0;7.0;6.0;-12.0;-12.0;BIOETHANOL
3413.0;8435.0;14661.0;21260.0;2662.0;2954.0;3230.0;6222.0;11347.0;17833.0;2424.0;2801.0;10.0;6.0;-2.0;-12.0;BIOETHANOL
2835.0;7063.0;12267.0;18698.0;2356.0;2622.0;2711.0;5263.0;9739.0;15609.0;2180.0;2538.0;14.0;6.0;3.0;-12.0;BIOETHANOL
2964.0;6461.0;11935.0;19546.0;2626.0;3036.0;3637.0;7052.0;13001.0;20893.0;2880.0;3393.0;14.0;6.0;3.0;-12.0;BIOETHANOL
4544.0;9013.0;15836.0;22407.0;3091.0;3603.0;4171.0;8054.0;14719.0;23059.0;3106.0;3582.0;14.0;12.0;3.0;-11.0;BIOETHANOL
3981.0;9652.0;16881.0;23486.0;3229.0;3684.0;4237.0;8146.0;14807.0;23227.0;3095.0;3552.0;7.0;9.0;-5.0;-12.0;BIOETHANOL
4037.0;9065.0;16724.0;22750.0;3251.0;3586.0;4434.0;8440.0;15042.0;23602.0;3185.0;3727.0;6.0;9.0;-5.0;-12.0;BIOETHANOL
3602.0;9497.0;17367.0;23493.0;3324.0;3783.0;4470.0;8516.0;15330.0;24206.0;3228.0;3717.0;10.0;9.0;-5.0;-12.0;BIOETHANOL
3955.0;9485.0;17096.0;23510.0;3315.0;3621.0;4296.0;8105.0;14724.0;23356.0;3116.0;3556.0;7.0;13.0;3.0;-13.0;BIOETHANOL
3681.0;8917.0;16249.0;22788.0;3154.0;3562.0;4258.0;8102.0;14771.0;22966.0;3040.0;3520.0;11.0;13.0;7.0;-22.0;BIOETHANOL
4725.0;8929.0;15946.0;22808.0;3061.0;3464.0;4016.0;7680.0;13967.0;21924.0;2916.0;3346.0;13.0;15.0;7.0;-13.0;BIOETHANOL
4301.0;8068.0;13917.0;19316.0;2127.0;2102.0;1730.0;3352.0;6076.0;9597.0;2090.0;2405.0;11.0;11.0;13.0;-18.0;BIOETHANOL
2378.0;5448.0;6481.0;10956.0;1489.0;1816.0;1793.0;3611.0;6755.0;11172.0;1606.0;1963.0;11.0;11.0;27.0;-18.0;BIOETHANOL
2378.0;4739.0;9078.0;14510.0;1995.0;2453.0;2556.0;5072.0;9427.0;15033.0;2090.0;2405.0;11.0;4.0;19.0;-18.0;BIOETHANOL
2042.0;5448.0;9579.0;14634.0;1831.0;1991.0;1770.0;3508.0;6639.0;10952.0;1551.0;1852.0;14.0;0.0;19.0;-18.0;BIOETHANOL
2119.0;4159.0;7488.0;11977.0;1529.0;1626.0;1512.0;3096.0;5860.0;9738.0;1412.0;1715.0;14.0;4.0;19.0;-18.0;BIOETHANOL
1716.0;4105.0;7242.0;11485.0;1435.0;1467.0;1252.0;2514.0;4810.0;8101.0;1180.0;1426.0;29.0;4.0;29.0;-18.0;BIOETHANOL
1364.0;3475.0;6601.0;11132.0;1547.0;1805.0;1844.0;3769.0;7101.0;11660.0;1667.0;1948.0;35.0;7.0;36.0;-18.0;BIOETHANOL
2327.0;4583.0;8376.0;12502.0;1591.0;1678.0;1422.0;2898.0;5472.0;9009.0;1280.0;1470.0;26.0;5.0;42.0;-18.0;BIOETHANOL
1302.0;3208.0;5730.0;8642.0;1128.0;1256.0;948.0;1931.0;3667.0;6181.0;911.0;1091.0;26.0;5.0;35.0;-25.0;BIOETHANOL
1171.0;2265.0;3916.0;6309.0;849.0;953.0;718.0;1489.0;2952.0;5146.0;784.0;957.0;24.0;5.0;31.0;-25.0;BIOETHANOL
