OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BUTANE
16.0;35.0;77.0;176.0;42.0;82.0;7.0;26.0;71.0;175.0;35.0;60.0;18.0;11.0;-1.0;12.0;BUTANE
16.0;32.0;74.0;165.0;37.0;69.0;7.0;20.0;65.0;162.0;34.0;57.0;9.0;8.0;-1.0;11.0;BUTANE
12.0;33.0;92.0;234.0;50.0;94.0;16.0;38.0;116.0;275.0;54.0;87.0;13.0;6.0;1.0;33.0;BUTANE
23.0;62.0;152.0;326.0;74.0;121.0;37.0;72.0;186.0;417.0;82.0;127.0;3.0;13.0;-3.0;18.0;BUTANE
43.0;101.0;231.0;523.0;97.0;181.0;55.0;121.0;257.0;521.0;104.0;176.0;7.0;10.0;-3.0;24.0;BUTANE
58.0;130.0;295.0;620.0;122.0;221.0;84.0;177.0;374.0;754.0;133.0;227.0;7.0;12.0;-1.0;31.0;BUTANE
67.0;146.0;317.0;678.0;138.0;235.0;63.0;146.0;321.0;704.0;133.0;230.0;14.0;10.0;8.0;26.0;BUTANE
70.0;154.0;344.0;701.0;139.0;231.0;66.0;156.0;325.0;727.0;134.0;230.0;18.0;17.0;8.0;32.0;BUTANE
73.0;160.0;358.0;781.0;154.0;271.0;92.0;197.0;393.0;827.0;150.0;249.0;14.0;9.0;8.0;30.0;BUTANE
74.0;165.0;363.0;772.0;150.0;255.0;66.0;152.0;341.0;711.0;130.0;224.0;13.0;3.0;8.0;27.0;BUTANE
73.0;162.0;353.0;751.0;145.0;252.0;85.0;173.0;352.0;747.0;139.0;236.0;7.0;3.0;1.0;21.0;BUTANE
86.0;184.0;371.0;787.0;135.0;177.0;70.0;168.0;336.0;792.0;151.0;268.0;10.0;5.0;1.0;28.0;BUTANE
116.0;258.0;595.0;1255.0;236.0;406.0;131.0;293.0;627.0;1200.0;251.0;351.0;7.0;5.0;4.0;18.0;BUTANE
160.0;334.0;686.0;1458.0;271.0;455.0;168.0;353.0;758.0;1364.0;239.0;452.0;7.0;5.0;4.0;16.0;BUTANE
178.0;379.0;805.0;1621.0;321.0;542.0;169.0;355.0;715.0;1571.0;270.0;490.0;5.0;5.0;6.0;16.0;BUTANE
196.0;387.0;805.0;1689.0;286.0;524.0;177.0;349.0;753.0;1538.0;269.0;397.0;8.0;9.0;21.0;16.0;BUTANE
219.0;463.0;1000.0;1978.0;373.0;628.0;258.0;507.0;1041.0;2016.0;347.0;579.0;5.0;9.0;18.0;16.0;BUTANE
209.0;424.0;822.0;1552.0;278.0;468.0;165.0;339.0;749.0;1497.0;248.0;399.0;7.0;12.0;11.0;9.0;BUTANE
192.0;393.0;789.0;1656.0;325.0;534.0;204.0;425.0;931.0;1440.0;333.0;623.0;8.0;12.0;4.0;3.0;BUTANE
242.0;513.0;1025.0;2021.0;393.0;619.0;231.0;455.0;898.0;1799.0;307.0;556.0;7.0;12.0;4.0;2.0;BUTANE
259.0;525.0;971.0;2109.0;370.0;606.0;278.0;537.0;1178.0;1771.0;388.0;671.0;8.0;13.0;4.0;2.0;BUTANE
264.0;566.0;1094.0;2296.0;419.0;748.0;304.0;547.0;1048.0;2374.0;436.0;694.0;10.0;10.0;4.0;2.0;BUTANE
272.0;528.0;1054.0;2082.0;386.0;611.0;284.0;535.0;1103.0;2228.0;321.0;621.0;5.0;1.0;14.0;5.0;BUTANE
257.0;535.0;1009.0;2041.0;367.0;582.0;277.0;535.0;1052.0;2269.0;432.0;815.0;5.0;-3.0;7.0;18.0;BUTANE
314.0;629.0;1267.0;2476.0;467.0;824.0;291.0;622.0;1284.0;2513.0;443.0;718.0;6.0;-3.0;7.0;14.0;BUTANE
253.0;512.0;1031.0;2043.0;386.0;680.0;260.0;530.0;1045.0;2020.0;354.0;583.0;6.0;1.0;7.0;12.0;BUTANE
202.0;422.0;894.0;1845.0;358.0;638.0;246.0;509.0;1026.0;1978.0;339.0;560.0;15.0;5.0;7.0;10.0;BUTANE
165.0;339.0;707.0;1442.0;281.0;501.0;173.0;373.0;758.0;1521.0;268.0;437.0;11.0;6.0;9.0;10.0;BUTANE
141.0;292.0;612.0;1220.0;238.0;436.0;133.0;300.0;641.0;1321.0;234.0;380.0;11.0;5.0;7.0;15.0;BUTANE
120.0;245.0;508.0;1028.0;197.0;362.0;139.0;293.0;589.0;1157.0;194.0;325.0;13.0;6.0;7.0;16.0;BUTANE
101.0;208.0;437.0;893.0;176.0;323.0;96.0;212.0;464.0;955.0;172.0;289.0;11.0;3.0;7.0;32.0;BUTANE
96.0;200.0;421.0;854.0;166.0;305.0;90.0;199.0;436.0;906.0;165.0;279.0;6.0;3.0;9.0;17.0;BUTANE
93.0;200.0;428.0;893.0;173.0;310.0;120.0;248.0;498.0;957.0;172.0;286.0;6.0;0.0;2.0;0.0;BUTANE
104.0;228.0;500.0;1060.0;214.0;388.0;116.0;266.0;576.0;1210.0;222.0;363.0;8.0;-1.0;9.0;-6.0;BUTANE
141.0;294.0;614.0;1279.0;246.0;432.0;140.0;293.0;622.0;1257.0;231.0;385.0;8.0;-2.0;2.0;-12.0;BUTANE
132.0;273.0;574.0;1190.0;232.0;415.0;128.0;281.0;599.0;1237.0;224.0;370.0;10.0;-1.0;2.0;-6.0;BUTANE
131.0;276.0;585.0;1223.0;244.0;435.0;165.0;347.0;710.0;1382.0;243.0;396.0;10.0;-1.0;2.0;0.0;BUTANE
135.0;280.0;593.0;1237.0;241.0;429.0;130.0;282.0;613.0;1242.0;223.0;367.0;16.0;2.0;2.0;15.0;BUTANE
103.0;212.0;449.0;933.0;186.0;340.0;105.0;230.0;483.0;979.0;177.0;290.0;16.0;3.0;2.0;12.0;BUTANE
86.0;178.0;377.0;791.0;158.0;288.0;91.0;199.0;423.0;879.0;159.0;259.0;15.0;3.0;3.0;10.0;BUTANE
82.0;171.0;368.0;786.0;155.0;287.0;79.0;185.0;407.0;848.0;155.0;258.0;14.0;9.0;3.0;14.0;BUTANE
80.0;163.0;353.0;730.0;146.0;263.0;100.0;202.0;410.0;790.0;140.0;240.0;15.0;9.0;3.0;24.0;BUTANE
79.0;163.0;350.0;730.0;144.0;259.0;78.0;170.0;367.0;761.0;141.0;234.0;8.0;6.0;6.0;18.0;BUTANE
