OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BUTANE
19.0;39.0;82.0;172.0;35.0;68.0;15.0;35.0;76.0;170.0;34.0;66.0;-3.0;4.0;1.0;6.0;BUTANE
23.0;49.0;104.0;220.0;45.0;87.0;17.0;44.0;98.0;202.0;42.0;84.0;-3.0;2.0;1.0;3.0;BUTANE
28.0;58.0;119.0;248.0;54.0;103.0;24.0;56.0;124.0;268.0;55.0;107.0;-3.0;0.0;8.0;-2.0;BUTANE
38.0;81.0;164.0;355.0;73.0;144.0;33.0;78.0;168.0;362.0;70.0;136.0;-3.0;0.0;12.0;-6.0;BUTANE
45.0;92.0;193.0;416.0;87.0;161.0;40.0;86.0;183.0;408.0;80.0;154.0;-4.0;5.0;11.0;-10.0;BUTANE
52.0;108.0;226.0;469.0;95.0;187.0;44.0;105.0;219.0;469.0;95.0;188.0;-3.0;3.0;8.0;-13.0;BUTANE
61.0;128.0;265.0;563.0;112.0;220.0;53.0;116.0;252.0;550.0;109.0;205.0;-1.0;5.0;13.0;-15.0;BUTANE
69.0;144.0;293.0;641.0;126.0;244.0;64.0;135.0;291.0;589.0;125.0;237.0;-4.0;5.0;13.0;-15.0;BUTANE
76.0;159.0;324.0;711.0;143.0;281.0;77.0;154.0;346.0;703.0;146.0;270.0;-3.0;5.0;19.0;-15.0;BUTANE
