OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;CALCIUM_NITRATE
-1.0;0.0;15.0;34.0;0.0;-4.0;-2.0;-6.0;-19.0;-49.0;-12.0;-22.0;0.0;1.0;-7.0;1.0;CALCIUM_NITRATE
11.0;19.0;30.0;34.0;0.0;-4.0;-2.0;-6.0;-19.0;-49.0;-12.0;-22.0;0.0;0.0;-7.0;1.0;CALCIUM_NITRATE
15.0;30.0;66.0;130.0;26.0;41.0;15.0;30.0;69.0;159.0;32.0;55.0;0.0;2.0;-7.0;1.0;CALCIUM_NITRATE
47.0;95.0;197.0;420.0;76.0;121.0;42.0;87.0;179.0;383.0;75.0;131.0;0.0;1.0;-2.0;7.0;CALCIUM_NITRATE
87.0;177.0;364.0;736.0;131.0;210.0;73.0;154.0;329.0;649.0;125.0;213.0;-1.0;2.0;-1.0;7.0;CALCIUM_NITRATE
148.0;290.0;565.0;1084.0;188.0;292.0;103.0;210.0;429.0;856.0;163.0;277.0;10.0;3.0;0.0;19.0;CALCIUM_NITRATE
199.0;379.0;724.0;1347.0;232.0;360.0;128.0;264.0;533.0;1051.0;198.0;336.0;10.0;7.0;0.0;26.0;CALCIUM_NITRATE
280.0;528.0;969.0;1753.0;294.0;451.0;174.0;355.0;696.0;1337.0;249.0;416.0;10.0;3.0;0.0;37.0;CALCIUM_NITRATE
344.0;649.0;1175.0;2113.0;352.0;542.0;211.0;419.0;828.0;1603.0;293.0;501.0;12.0;9.0;-1.0;24.0;CALCIUM_NITRATE
