OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;DIESEL
43.0;89.0;182.0;348.0;49.0;82.0;9.0;25.0;68.0;31.0;3.0;10.0;5.0;1.0;-7.0;-17.0;DIESEL
135.0;157.0;322.0;584.0;100.0;91.0;30.0;55.0;120.0;229.0;32.0;44.0;2.0;4.0;-9.0;9.0;DIESEL
135.0;148.0;283.0;508.0;100.0;78.0;27.0;50.0;117.0;211.0;35.0;54.0;0.0;4.0;-9.0;14.0;DIESEL
142.0;213.0;432.0;764.0;138.0;129.0;48.0;108.0;231.0;478.0;73.0;102.0;0.0;4.0;-9.0;9.0;DIESEL
137.0;364.0;680.0;1294.0;177.0;180.0;75.0;158.0;366.0;702.0;115.0;172.0;-14.0;5.0;-9.0;3.0;DIESEL
263.0;454.0;889.0;1596.0;229.0;242.0;95.0;222.0;476.0;934.0;147.0;206.0;-15.0;5.0;-9.0;2.0;DIESEL
183.0;571.0;1049.0;1904.0;273.0;256.0;120.0;255.0;555.0;1072.0;170.0;216.0;-15.0;5.0;-19.0;2.0;DIESEL
236.0;598.0;1141.0;1950.0;298.0;279.0;116.0;273.0;573.0;1099.0;179.0;221.0;-14.0;5.0;-19.0;-2.0;DIESEL
347.0;621.0;1206.0;2048.0;283.0;296.0;135.0;283.0;608.0;1153.0;181.0;250.0;-8.0;-1.0;-11.0;2.0;DIESEL
261.0;674.0;1256.0;2228.0;328.0;306.0;141.0;303.0;656.0;1259.0;199.0;266.0;-3.0;-1.0;-11.0;4.0;DIESEL
393.0;715.0;1363.0;2255.0;330.0;361.0;167.0;360.0;740.0;1386.0;217.0;286.0;-3.0;0.0;-23.0;6.0;DIESEL
294.0;772.0;1374.0;2386.0;337.0;333.0;155.0;343.0;717.0;1337.0;215.0;270.0;-3.0;0.0;-11.0;8.0;DIESEL
248.0;735.0;1402.0;2297.0;354.0;352.0;157.0;338.0;731.0;1384.0;219.0;287.0;0.0;0.0;-11.0;8.0;DIESEL
405.0;750.0;1406.0;2508.0;355.0;339.0;164.0;339.0;705.0;1316.0;215.0;287.0;-9.0;4.0;-11.0;8.0;DIESEL
389.0;733.0;1400.0;2287.0;343.0;339.0;169.0;345.0;734.0;1373.0;222.0;281.0;-12.0;6.0;-11.0;9.0;DIESEL
317.0;793.0;1436.0;2530.0;364.0;348.0;167.0;349.0;738.0;1382.0;217.0;300.0;-9.0;9.0;-11.0;13.0;DIESEL
356.0;782.0;1471.0;2514.0;352.0;382.0;174.0;366.0;785.0;1471.0;233.0;300.0;-9.0;6.0;-13.0;9.0;DIESEL
394.0;799.0;1506.0;2642.0;376.0;374.0;177.0;402.0;837.0;1565.0;247.0;329.0;-9.0;-2.0;-13.0;20.0;DIESEL
480.0;907.0;1717.0;2869.0;420.0;406.0;185.0;399.0;855.0;1602.0;255.0;344.0;-9.0;-2.0;-17.0;9.0;DIESEL
357.0;885.0;1747.0;2798.0;398.0;403.0;189.0;412.0;875.0;1628.0;251.0;333.0;-5.0;-2.0;-13.0;12.0;DIESEL
489.0;908.0;1662.0;2830.0;428.0;388.0;195.0;432.0;892.0;1638.0;269.0;344.0;-5.0;-2.0;-9.0;4.0;DIESEL
516.0;938.0;1805.0;3042.0;435.0;423.0;191.0;417.0;850.0;1621.0;258.0;322.0;-5.0;-1.0;-9.0;9.0;DIESEL
506.0;939.0;1705.0;2824.0;404.0;391.0;210.0;427.0;899.0;1663.0;258.0;321.0;-5.0;-1.0;-13.0;0.0;DIESEL
513.0;962.0;1795.0;2879.0;402.0;410.0;210.0;436.0;914.0;1703.0;266.0;347.0;-5.0;0.0;-9.0;0.0;DIESEL
374.0;885.0;1691.0;2972.0;424.0;405.0;206.0;436.0;929.0;1722.0;277.0;359.0;-6.0;0.0;-9.0;3.0;DIESEL
430.0;991.0;1843.0;3067.0;436.0;432.0;201.0;447.0;922.0;1712.0;275.0;327.0;-8.0;-1.0;-13.0;3.0;DIESEL
510.0;992.0;1826.0;3058.0;422.0;400.0;198.0;429.0;897.0;1672.0;265.0;321.0;-8.0;2.0;-5.0;3.0;DIESEL
332.0;970.0;1778.0;2894.0;428.0;406.0;206.0;444.0;897.0;1670.0;269.0;366.0;-6.0;5.0;-5.0;2.0;DIESEL
375.0;934.0;1832.0;2926.0;414.0;415.0;203.0;453.0;928.0;1768.0;283.0;351.0;-8.0;-6.0;-6.0;6.0;DIESEL
528.0;980.0;1889.0;3064.0;438.0;376.0;200.0;427.0;884.0;1661.0;260.0;346.0;-8.0;5.0;-6.0;6.0;DIESEL
531.0;993.0;1818.0;3041.0;422.0;390.0;213.0;468.0;954.0;1764.0;281.0;368.0;-8.0;5.0;-6.0;6.0;DIESEL
536.0;993.0;1924.0;3128.0;450.0;404.0;209.0;450.0;939.0;1747.0;272.0;352.0;-8.0;5.0;-6.0;9.0;DIESEL
534.0;1018.0;1843.0;3121.0;439.0;436.0;211.0;462.0;958.0;1801.0;288.0;376.0;-11.0;5.0;-13.0;8.0;DIESEL
563.0;1086.0;1993.0;3296.0;462.0;424.0;211.0;448.0;945.0;1757.0;281.0;362.0;-11.0;5.0;-13.0;8.0;DIESEL
532.0;1018.0;1902.0;3023.0;435.0;406.0;215.0;463.0;958.0;1778.0;275.0;370.0;-16.0;5.0;-13.0;4.0;DIESEL
362.0;1014.0;1871.0;3212.0;446.0;422.0;204.0;458.0;935.0;1735.0;279.0;360.0;-16.0;-6.0;-13.0;4.0;DIESEL
374.0;969.0;1878.0;3133.0;440.0;423.0;213.0;446.0;947.0;1754.0;275.0;356.0;-16.0;-6.0;-15.0;4.0;DIESEL
377.0;964.0;1878.0;3022.0;433.0;446.0;204.0;450.0;948.0;1759.0;282.0;359.0;-16.0;-6.0;-15.0;4.0;DIESEL
429.0;1052.0;1937.0;3109.0;450.0;421.0;218.0;476.0;993.0;1807.0;290.0;371.0;-22.0;2.0;-15.0;15.0;DIESEL
