OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;DIESEL
158.0;290.0;506.0;859.0;134.0;189.0;68.0;135.0;251.0;451.0;76.0;112.0;-4.0;-4.0;-3.0;-1.0;DIESEL
170.0;309.0;554.0;955.0;151.0;223.0;85.0;169.0;322.0;600.0;100.0;153.0;1.0;-5.0;-6.0;5.0;DIESEL
199.0;368.0;653.0;1112.0;178.0;255.0;101.0;204.0;388.0;707.0;119.0;186.0;1.0;-3.0;-4.0;5.0;DIESEL
219.0;406.0;719.0;1253.0;205.0;299.0;122.0;240.0;466.0;870.0;149.0;223.0;1.0;-5.0;-4.0;5.0;DIESEL
255.0;469.0;833.0;1447.0;234.0;348.0;154.0;303.0;569.0;1048.0;178.0;275.0;8.0;-5.0;-8.0;6.0;DIESEL
293.0;542.0;973.0;1702.0;271.0;404.0;187.0;361.0;667.0;1217.0;207.0;330.0;8.0;-7.0;-8.0;6.0;DIESEL
330.0;611.0;1085.0;1890.0;305.0;457.0;212.0;413.0;762.0;1354.0;232.0;370.0;11.0;-6.0;-8.0;8.0;DIESEL
358.0;660.0;1171.0;2036.0;332.0;495.0;225.0;446.0;840.0;1534.0;262.0;417.0;3.0;-6.0;-10.0;5.0;DIESEL
392.0;725.0;1293.0;2260.0;363.0;549.0;268.0;513.0;952.0;1711.0;292.0;465.0;2.0;-2.0;-10.0;5.0;DIESEL
435.0;801.0;1421.0;2453.0;392.0;588.0;293.0;561.0;1039.0;1857.0;313.0;498.0;3.0;-2.0;-10.0;5.0;DIESEL
