OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ETHANOL
18.0;41.0;87.0;180.0;33.0;52.0;18.0;42.0;95.0;200.0;39.0;70.0;6.0;1.0;0.0;4.0;ETHANOL
36.0;76.0;158.0;320.0;57.0;89.0;28.0;62.0;130.0;265.0;51.0;88.0;14.0;-4.0;0.0;2.0;ETHANOL
37.0;75.0;145.0;286.0;48.0;76.0;23.0;55.0;114.0;234.0;43.0;75.0;14.0;-4.0;4.0;2.0;ETHANOL
28.0;61.0;128.0;256.0;46.0;70.0;23.0;52.0;114.0;231.0;43.0;73.0;7.0;-4.0;7.0;4.0;ETHANOL
29.0;65.0;131.0;263.0;47.0;73.0;23.0;52.0;111.0;230.0;43.0;80.0;7.0;-4.0;11.0;2.0;ETHANOL
37.0;79.0;157.0;316.0;55.0;86.0;25.0;57.0;124.0;256.0;49.0;86.0;9.0;-4.0;7.0;-3.0;ETHANOL
36.0;79.0;157.0;320.0;58.0;91.0;28.0;64.0;135.0;280.0;54.0;97.0;9.0;-4.0;8.0;-3.0;ETHANOL
39.0;85.0;172.0;342.0;61.0;97.0;32.0;71.0;150.0;311.0;59.0;100.0;16.0;-3.0;10.0;5.0;ETHANOL
40.0;85.0;172.0;347.0;63.0;104.0;34.0;76.0;157.0;317.0;62.0;108.0;17.0;-3.0;8.0;6.0;ETHANOL
43.0;88.0;165.0;307.0;51.0;78.0;24.0;53.0;110.0;223.0;41.0;72.0;9.0;-2.0;9.0;6.0;ETHANOL
25.0;51.0;100.0;192.0;30.0;47.0;15.0;34.0;69.0;138.0;25.0;42.0;5.0;-2.0;9.0;8.0;ETHANOL
22.0;51.0;100.0;192.0;22.0;38.0;18.0;41.0;61.0;123.0;25.0;47.0;6.0;4.0;4.0;7.0;ETHANOL
15.0;35.0;76.0;159.0;29.0;50.0;18.0;41.0;87.0;175.0;34.0;59.0;15.0;8.0;6.0;7.0;ETHANOL
22.0;51.0;106.0;220.0;39.0;66.0;22.0;51.0;116.0;235.0;43.0;76.0;13.0;4.0;8.0;7.0;ETHANOL
35.0;76.0;158.0;316.0;56.0;89.0;25.0;59.0;126.0;259.0;52.0;91.0;9.0;2.0;6.0;8.0;ETHANOL
39.0;84.0;169.0;349.0;61.0;100.0;32.0;71.0;149.0;310.0;60.0;105.0;12.0;2.0;8.0;13.0;ETHANOL
46.0;96.0;192.0;379.0;76.0;168.0;64.0;144.0;316.0;677.0;135.0;244.0;10.0;2.0;9.0;7.0;ETHANOL
158.0;363.0;780.0;1588.0;287.0;459.0;173.0;369.0;780.0;1577.0;296.0;514.0;14.0;2.0;2.0;4.0;ETHANOL
278.0;576.0;1143.0;2224.0;396.0;655.0;259.0;554.0;1150.0;2317.0;432.0;730.0;8.0;4.0;2.0;4.0;ETHANOL
396.0;794.0;1536.0;2800.0;459.0;695.0;271.0;579.0;1184.0;2355.0;427.0;710.0;8.0;4.0;-2.0;2.0;ETHANOL
376.0;767.0;1493.0;2822.0;532.0;841.0;329.0;678.0;1344.0;2573.0;454.0;737.0;13.0;4.0;-3.0;2.0;ETHANOL
390.0;806.0;1583.0;2980.0;535.0;931.0;395.0;832.0;1711.0;3419.0;611.0;980.0;9.0;8.0;-3.0;9.0;ETHANOL
503.0;1005.0;1962.0;3686.0;623.0;940.0;363.0;742.0;1490.0;2888.0;504.0;806.0;9.0;5.0;-3.0;13.0;ETHANOL
363.0;726.0;1417.0;2884.0;629.0;1530.0;1101.0;2305.0;4814.0;9821.0;1851.0;3236.0;9.0;7.0;7.0;11.0;ETHANOL
2423.0;4606.0;8544.0;15145.0;2370.0;3390.0;1873.0;3650.0;6958.0;12869.0;2208.0;3524.0;9.0;5.0;4.0;13.0;ETHANOL
2659.0;5051.0;9231.0;15849.0;2363.0;3136.0;1679.0;3255.0;6216.0;11530.0;2000.0;3194.0;5.0;6.0;8.0;8.0;ETHANOL
2251.0;4141.0;7391.0;12842.0;2069.0;3139.0;1880.0;3594.0;6664.0;11782.0;1948.0;2992.0;5.0;3.0;-1.0;7.0;ETHANOL
2138.0;4024.0;7397.0;13116.0;2140.0;3293.0;2129.0;4076.0;7598.0;13547.0;2246.0;3460.0;14.0;3.0;-1.0;10.0;ETHANOL
2689.0;5291.0;10130.0;18250.0;3172.0;5139.0;4068.0;7391.0;13019.0;22367.0;3554.0;5168.0;14.0;3.0;-1.0;7.0;ETHANOL
4418.0;7908.0;13823.0;21750.0;3537.0;4991.0;3746.0;6869.0;12272.0;20931.0;3273.0;4719.0;17.0;1.0;0.0;16.0;ETHANOL
3885.0;6921.0;11776.0;18718.0;2718.0;3499.0;3329.0;6078.0;10714.0;12297.0;2056.0;3376.0;11.0;1.0;0.0;12.0;ETHANOL
2986.0;5734.0;10481.0;18025.0;2924.0;4483.0;3329.0;6078.0;10714.0;18114.0;2821.0;4008.0;12.0;1.0;0.0;21.0;ETHANOL
3147.0;5744.0;9914.0;16078.0;2393.0;3305.0;1982.0;3740.0;6819.0;11899.0;1889.0;2851.0;10.0;1.0;0.0;21.0;ETHANOL
1885.0;3423.0;6012.0;10222.0;1601.0;2330.0;2428.0;4666.0;8696.0;15447.0;2437.0;3576.0;10.0;2.0;0.0;14.0;ETHANOL
1775.0;3283.0;5868.0;9949.0;1521.0;2865.0;2428.0;4666.0;8696.0;15640.0;2565.0;3895.0;20.0;1.0;0.0;16.0;ETHANOL
3043.0;5681.0;10902.0;18430.0;2842.0;4013.0;2620.0;4885.0;8872.0;15447.0;2437.0;3576.0;13.0;2.0;-6.0;19.0;ETHANOL
2648.0;4913.0;8630.0;14245.0;2143.0;2927.0;1751.0;3306.0;5993.0;10415.0;1685.0;2554.0;6.0;0.0;-5.0;12.0;ETHANOL
2579.0;3120.0;5541.0;9470.0;1590.0;2892.0;2158.0;4216.0;7864.0;14099.0;2287.0;3439.0;8.0;3.0;-8.0;8.0;ETHANOL
