OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;GASOLINE
-9.0;23.0;82.0;159.0;34.0;33.0;5.0;20.0;28.0;110.0;35.0;60.0;-4.0;6.0;4.0;13.0;GASOLINE
13.0;104.0;82.0;159.0;34.0;33.0;6.0;20.0;35.0;77.0;5.0;32.0;-6.0;17.0;4.0;9.0;GASOLINE
13.0;23.0;60.0;96.0;18.0;30.0;5.0;28.0;64.0;77.0;35.0;60.0;-6.0;17.0;4.0;14.0;GASOLINE
16.0;84.0;165.0;287.0;52.0;62.0;5.0;14.0;64.0;179.0;48.0;88.0;-19.0;26.0;3.0;10.0;GASOLINE
30.0;84.0;165.0;287.0;52.0;62.0;5.0;12.0;53.0;179.0;48.0;88.0;-19.0;17.0;-1.0;13.0;GASOLINE
30.0;93.0;204.0;432.0;85.0;109.0;32.0;67.0;194.0;492.0;111.0;191.0;-19.0;27.0;-1.0;10.0;GASOLINE
121.0;283.0;718.0;1632.0;327.0;413.0;148.0;344.0;772.0;1676.0;311.0;432.0;-9.0;19.0;3.0;7.0;GASOLINE
161.0;591.0;1426.0;3574.0;765.0;1044.0;542.0;1142.0;2354.0;4643.0;813.0;1090.0;-9.0;19.0;5.0;7.0;GASOLINE
825.0;1686.0;3529.0;6823.0;1076.0;1241.0;620.0;1275.0;2589.0;5022.0;868.0;1200.0;-9.0;21.0;5.0;7.0;GASOLINE
700.0;1839.0;3621.0;6895.0;1083.0;1283.0;706.0;1462.0;2954.0;5681.0;969.0;1291.0;-12.0;20.0;5.0;7.0;GASOLINE
923.0;1950.0;3939.0;7097.0;1131.0;1237.0;600.0;1233.0;2465.0;4656.0;793.0;1063.0;-13.0;13.0;3.0;16.0;GASOLINE
721.0;1405.0;2790.0;5368.0;906.0;1152.0;640.0;1315.0;2622.0;5046.0;871.0;1171.0;-13.0;15.0;-3.0;16.0;GASOLINE
853.0;1658.0;3058.0;5740.0;873.0;1098.0;578.0;1186.0;2404.0;4625.0;808.0;1111.0;-16.0;23.0;-3.0;27.0;GASOLINE
636.0;1675.0;3277.0;6131.0;1010.0;1211.0;654.0;1320.0;2610.0;4910.0;826.0;1109.0;-16.0;17.0;-6.0;28.0;GASOLINE
813.0;1567.0;2937.0;5309.0;795.0;901.0;383.0;775.0;1487.0;2692.0;447.0;605.0;-16.0;15.0;-6.0;9.0;GASOLINE
631.0;1291.0;2494.0;4603.0;538.0;768.0;362.0;783.0;1594.0;3152.0;569.0;829.0;-16.0;17.0;-3.0;10.0;GASOLINE
501.0;1235.0;2376.0;4539.0;739.0;948.0;484.0;1008.0;2050.0;3834.0;661.0;900.0;-16.0;24.0;3.0;10.0;GASOLINE
631.0;1291.0;2494.0;4603.0;752.0;983.0;508.0;1082.0;2162.0;4169.0;725.0;1028.0;-16.0;21.0;-6.0;10.0;GASOLINE
555.0;1479.0;2770.0;5167.0;836.0;1031.0;524.0;1093.0;2169.0;4078.0;681.0;932.0;-16.0;20.0;3.0;14.0;GASOLINE
676.0;1296.0;2494.0;4631.0;769.0;979.0;515.0;1116.0;2270.0;4252.0;718.0;979.0;-10.0;25.0;15.0;7.0;GASOLINE
552.0;1404.0;2793.0;5140.0;806.0;942.0;460.0;973.0;1949.0;3752.0;637.0;896.0;-16.0;33.0;15.0;25.0;GASOLINE
521.0;1352.0;2556.0;4665.0;790.0;979.0;493.0;1008.0;2033.0;3860.0;664.0;917.0;-10.0;21.0;16.0;13.0;GASOLINE
573.0;1387.0;2652.0;4887.0;828.0;1038.0;544.0;1130.0;2238.0;4208.0;718.0;994.0;-10.0;21.0;8.0;13.0;GASOLINE
533.0;1443.0;2788.0;5350.0;858.0;1075.0;575.0;1198.0;2374.0;4464.0;757.0;1032.0;-6.0;25.0;8.0;15.0;GASOLINE
772.0;1579.0;2905.0;5515.0;886.0;1088.0;548.0;1128.0;2222.0;4193.0;709.0;954.0;-11.0;18.0;8.0;24.0;GASOLINE
687.0;1361.0;2493.0;4242.0;675.0;768.0;338.0;681.0;1331.0;3715.0;646.0;899.0;-11.0;18.0;16.0;9.0;GASOLINE
