OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;GASOLINE
347.0;662.0;1290.0;2609.0;550.0;1123.0;527.0;1035.0;1983.0;3767.0;686.0;1242.0;2.0;10.0;0.0;-10.0;GASOLINE
635.0;1128.0;2039.0;3848.0;743.0;1444.0;702.0;1342.0;2493.0;4573.0;821.0;1466.0;-2.0;10.0;-1.0;-10.0;GASOLINE
782.0;1366.0;2371.0;4269.0;807.0;1596.0;787.0;1486.0;2713.0;4900.0;863.0;1523.0;-4.0;11.0;0.0;-8.0;GASOLINE
855.0;1461.0;2456.0;4312.0;808.0;1608.0;793.0;1483.0;2677.0;4777.0;846.0;1497.0;-4.0;14.0;-3.0;-3.0;GASOLINE
876.0;1482.0;2484.0;4274.0;778.0;1557.0;770.0;1437.0;2605.0;4643.0;817.0;1459.0;-7.0;11.0;-3.0;-2.0;GASOLINE
872.0;1456.0;2362.0;4070.0;736.0;1479.0;731.0;1388.0;2473.0;4365.0;768.0;1370.0;-7.0;10.0;-3.0;-2.0;GASOLINE
845.0;1415.0;2317.0;3917.0;700.0;1390.0;705.0;1316.0;2369.0;4208.0;733.0;1292.0;-4.0;15.0;-2.0;-2.0;GASOLINE
806.0;1364.0;2220.0;3732.0;661.0;1309.0;677.0;1263.0;2246.0;3966.0;690.0;1215.0;-1.0;15.0;-2.0;-2.0;GASOLINE
748.0;1247.0;2066.0;3477.0;618.0;1223.0;621.0;1157.0;2075.0;3710.0;636.0;1119.0;0.0;20.0;0.0;-2.0;GASOLINE
701.0;1184.0;1925.0;3225.0;571.0;1147.0;585.0;1103.0;1985.0;3507.0;604.0;1073.0;0.0;13.0;0.0;-2.0;GASOLINE
653.0;1108.0;1836.0;3101.0;550.0;1082.0;581.0;1083.0;1950.0;3417.0;578.0;1009.0;2.0;12.0;2.0;-4.0;GASOLINE
