OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;HYDROGEN_PEROXIDE
31.0;-68.0;-87.0;-78.0;1.0;-7.0;6.0;3.0;-16.0;-17.0;-5.0;-11.0;18.0;-18.0;105.0;-95.0;HYDROGEN_PEROXIDE
-43.0;-42.0;-71.0;-88.0;-13.0;-23.0;-5.0;-3.0;-16.0;-29.0;-9.0;-13.0;-8.0;5.0;-10.0;18.0;HYDROGEN_PEROXIDE
-3.0;-6.0;-1.0;-11.0;11.0;2.0;1.0;5.0;8.0;12.0;1.0;2.0;-26.0;16.0;-102.0;82.0;HYDROGEN_PEROXIDE
23.0;-1.0;19.0;34.0;11.0;2.0;-6.0;9.0;8.0;13.0;1.0;6.0;-26.0;32.0;-121.0;145.0;HYDROGEN_PEROXIDE
61.0;2.0;19.0;21.0;15.0;2.0;-3.0;6.0;12.0;18.0;5.0;4.0;-34.0;16.0;-127.0;154.0;HYDROGEN_PEROXIDE
69.0;2.0;29.0;34.0;16.0;2.0;-3.0;4.0;5.0;17.0;4.0;6.0;-39.0;30.0;-137.0;152.0;HYDROGEN_PEROXIDE
72.0;-12.0;-8.0;15.0;-2.0;-1.0;5.0;0.0;16.0;-24.0;-2.0;7.0;-3.0;16.0;3.0;0.0;HYDROGEN_PEROXIDE
72.0;-12.0;-22.0;-6.0;-4.0;2.0;3.0;-2.0;10.0;-28.0;-2.0;0.0;-3.0;10.0;3.0;0.0;HYDROGEN_PEROXIDE
102.0;-12.0;-12.0;-26.0;-1.0;-3.0;2.0;-12.0;-7.0;-1.0;2.0;-6.0;12.0;13.0;12.0;-10.0;HYDROGEN_PEROXIDE
84.0;-15.0;-12.0;-18.0;-1.0;-13.0;2.0;-12.0;-9.0;0.0;4.0;-7.0;19.0;19.0;31.0;22.0;HYDROGEN_PEROXIDE
78.0;-15.0;-6.0;-18.0;-1.0;-5.0;4.0;-11.0;-7.0;-1.0;6.0;-7.0;12.0;14.0;16.0;11.0;HYDROGEN_PEROXIDE
84.0;-24.0;-6.0;-7.0;-2.0;-13.0;2.0;-8.0;-9.0;-1.0;4.0;-12.0;19.0;6.0;31.0;11.0;HYDROGEN_PEROXIDE
78.0;-24.0;-12.0;-18.0;-5.0;-15.0;0.0;-11.0;-12.0;-7.0;2.0;-13.0;31.0;9.0;78.0;-55.0;HYDROGEN_PEROXIDE
84.0;-25.0;-12.0;-18.0;-7.0;-15.0;-1.0;-7.0;-12.0;-13.0;2.0;-18.0;44.0;-10.0;92.0;-84.0;HYDROGEN_PEROXIDE
103.0;-32.0;-29.0;-34.0;-8.0;-19.0;-1.0;-9.0;-15.0;-19.0;-6.0;-18.0;42.0;-27.0;125.0;-87.0;HYDROGEN_PEROXIDE
95.0;-36.0;-38.0;-34.0;-8.0;-19.0;0.0;-9.0;-15.0;-28.0;-6.0;-19.0;38.0;-27.0;166.0;-87.0;HYDROGEN_PEROXIDE
67.0;-40.0;-38.0;-50.0;-13.0;-23.0;0.0;-9.0;-19.0;-29.0;-6.0;-19.0;26.0;-27.0;144.0;-85.0;HYDROGEN_PEROXIDE
97.0;-40.0;-39.0;-58.0;-13.0;-24.0;-1.0;-9.0;-19.0;-30.0;4.0;-24.0;20.0;-13.0;113.0;-85.0;HYDROGEN_PEROXIDE
67.0;-40.0;-45.0;-80.0;-14.0;-24.0;-4.0;-13.0;-20.0;-30.0;4.0;-24.0;21.0;-7.0;100.0;-72.0;HYDROGEN_PEROXIDE
94.0;-31.0;-45.0;-80.0;-7.0;-21.0;-4.0;-13.0;-19.0;-29.0;4.0;-24.0;20.0;2.0;90.0;-64.0;HYDROGEN_PEROXIDE
57.0;-27.0;-39.0;-80.0;-2.0;-24.0;-4.0;-13.0;-15.0;-25.0;4.0;-21.0;14.0;8.0;28.0;-13.0;HYDROGEN_PEROXIDE
93.0;-20.0;-29.0;-57.0;-2.0;-21.0;0.0;-13.0;-12.0;-24.0;-2.0;-19.0;6.0;21.0;5.0;8.0;HYDROGEN_PEROXIDE
57.0;-20.0;-29.0;-57.0;-12.0;-21.0;0.0;-13.0;-11.0;-23.0;2.0;-15.0;6.0;20.0;5.0;8.0;HYDROGEN_PEROXIDE
57.0;-22.0;-15.0;-57.0;-12.0;-24.0;1.0;-11.0;-11.0;-23.0;2.0;-15.0;6.0;20.0;5.0;8.0;HYDROGEN_PEROXIDE
31.0;-1.0;-5.0;1.0;8.0;-1.0;5.0;4.0;-10.0;-3.0;-4.0;-7.0;8.0;4.0;-2.0;50.0;HYDROGEN_PEROXIDE
41.0;0.0;-5.0;1.0;7.0;-1.0;5.0;8.0;-11.0;-3.0;-4.0;-8.0;8.0;0.0;-1.0;23.0;HYDROGEN_PEROXIDE
31.0;0.0;-1.0;1.0;7.0;-1.0;5.0;6.0;-11.0;-6.0;-4.0;-11.0;8.0;-8.0;20.0;-2.0;HYDROGEN_PEROXIDE
104.0;0.0;-8.0;-3.0;7.0;-7.0;1.0;9.0;-13.0;-6.0;-4.0;-11.0;10.0;-11.0;38.0;-19.0;HYDROGEN_PEROXIDE
100.0;0.0;-8.0;-3.0;6.0;-12.0;1.0;13.0;-14.0;-8.0;-4.0;-11.0;19.0;-11.0;86.0;-37.0;HYDROGEN_PEROXIDE
84.0;1.0;-8.0;-3.0;2.0;-12.0;1.0;9.0;-14.0;-8.0;-3.0;-11.0;19.0;-10.0;48.0;-40.0;HYDROGEN_PEROXIDE
80.0;3.0;-8.0;-3.0;5.0;-12.0;3.0;9.0;-14.0;-9.0;-6.0;-11.0;19.0;-10.0;87.0;-40.0;HYDROGEN_PEROXIDE
80.0;3.0;-8.0;-21.0;2.0;-7.0;1.0;6.0;-14.0;-9.0;-8.0;-13.0;14.0;-8.0;71.0;-37.0;HYDROGEN_PEROXIDE
80.0;9.0;-8.0;-21.0;2.0;-5.0;0.0;7.0;-13.0;-9.0;-8.0;-12.0;12.0;-2.0;23.0;-10.0;HYDROGEN_PEROXIDE
