OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ISOPROPANOL
13.0;23.0;52.0;74.0;6.0;5.0;5.0;6.0;-7.0;-27.0;-6.0;-10.0;0.0;-9.0;1.0;2.0;ISOPROPANOL
13.0;23.0;52.0;74.0;6.0;5.0;5.0;6.0;-7.0;-27.0;-6.0;-10.0;0.0;-9.0;1.0;8.0;ISOPROPANOL
9.0;23.0;73.0;221.0;66.0;178.0;100.0;215.0;451.0;922.0;179.0;314.0;2.0;-5.0;-6.0;5.0;ISOPROPANOL
247.0;480.0;940.0;1776.0;312.0;502.0;252.0;496.0;972.0;1864.0;330.0;530.0;0.0;-5.0;-6.0;5.0;ISOPROPANOL
355.0;683.0;1282.0;2318.0;375.0;542.0;255.0;499.0;942.0;1756.0;300.0;476.0;0.0;-5.0;-6.0;5.0;ISOPROPANOL
297.0;553.0;1020.0;1815.0;293.0;444.0;210.0;408.0;772.0;1453.0;253.0;406.0;-7.0;-5.0;-6.0;8.0;ISOPROPANOL
247.0;464.0;856.0;1534.0;249.0;377.0;178.0;342.0;652.0;1218.0;210.0;342.0;-7.0;-6.0;-6.0;8.0;ISOPROPANOL
220.0;406.0;759.0;1386.0;243.0;410.0;219.0;436.0;857.0;1601.0;287.0;482.0;-9.0;-9.0;-9.0;8.0;ISOPROPANOL
324.0;624.0;1190.0;2201.0;378.0;588.0;294.0;573.0;1127.0;2098.0;371.0;603.0;-7.0;-13.0;-6.0;1.0;ISOPROPANOL
399.0;761.0;1422.0;2584.0;431.0;652.0;324.0;630.0;1202.0;2212.0;379.0;599.0;-6.0;-9.0;-6.0;1.0;ISOPROPANOL
398.0;733.0;1334.0;2312.0;372.0;539.0;256.0;494.0;936.0;1715.0;295.0;462.0;-6.0;-7.0;-9.0;1.0;ISOPROPANOL
273.0;501.0;900.0;1584.0;258.0;401.0;200.0;384.0;726.0;1320.0;226.0;361.0;-6.0;-7.0;-15.0;9.0;ISOPROPANOL
235.0;430.0;774.0;1363.0;222.0;337.0;171.0;329.0;620.0;1117.0;192.0;302.0;-1.0;-5.0;-18.0;12.0;ISOPROPANOL
207.0;375.0;675.0;1155.0;185.0;285.0;145.0;277.0;524.0;937.0;163.0;255.0;-1.0;-3.0;-18.0;8.0;ISOPROPANOL
176.0;316.0;563.0;959.0;155.0;244.0;127.0;242.0;444.0;796.0;133.0;215.0;-1.0;-2.0;-16.0;17.0;ISOPROPANOL
147.0;268.0;475.0;827.0;138.0;233.0;128.0;245.0;462.0;856.0;151.0;238.0;-1.0;-2.0;-16.0;20.0;ISOPROPANOL
162.0;302.0;560.0;1022.0;179.0;288.0;155.0;300.0;573.0;1059.0;183.0;294.0;-2.0;5.0;-18.0;19.0;ISOPROPANOL
204.0;387.0;726.0;1374.0;256.0;511.0;308.0;623.0;1233.0;2419.0;454.0;844.0;-17.0;11.0;-57.0;57.0;ISOPROPANOL
633.0;1250.0;2471.0;4877.0;935.0;1754.0;1204.0;2301.0;4291.0;7866.0;1377.0;2260.0;-22.0;27.0;-87.0;102.0;ISOPROPANOL
1736.0;3264.0;6045.0;10984.0;1894.0;3107.0;2566.0;4553.0;8029.0;13920.0;2275.0;3514.0;-23.0;26.0;-113.0;126.0;ISOPROPANOL
3082.0;5476.0;9602.0;16468.0;2642.0;3993.0;3725.0;6365.0;10852.0;17982.0;2821.0;4216.0;-28.0;25.0;-118.0;127.0;ISOPROPANOL
3951.0;6843.0;11709.0;19086.0;3109.0;4615.0;4554.0;7657.0;12828.0;21017.0;3280.0;4850.0;-28.0;24.0;-119.0;143.0;ISOPROPANOL
4998.0;8416.0;14038.0;21078.0;3525.0;5114.0;5300.0;8837.0;14588.0;23510.0;3598.0;5236.0;-28.0;28.0;-121.0;148.0;ISOPROPANOL
5409.0;9131.0;15171.0;21852.0;3786.0;5505.0;5923.0;9865.0;16026.0;25809.0;3931.0;5687.0;-26.0;27.0;-123.0;160.0;ISOPROPANOL
6305.0;10378.0;16978.0;22880.0;4102.0;5890.0;6588.0;10788.0;17366.0;27442.0;4149.0;5933.0;-26.0;26.0;-123.0;155.0;ISOPROPANOL
6634.0;10900.0;17629.0;23134.0;4159.0;5845.0;6434.0;10568.0;17063.0;26970.0;4018.0;5738.0;-26.0;26.0;-124.0;132.0;ISOPROPANOL
