OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ISOPROPANOL
13.0;20.0;49.0;86.0;11.0;22.0;-3.0;3.0;27.0;68.0;12.0;15.0;1.0;14.0;-2.0;6.0;ISOPROPANOL
21.0;28.0;59.0;121.0;15.0;30.0;-3.0;6.0;23.0;84.0;20.0;25.0;-4.0;7.0;-2.0;11.0;ISOPROPANOL
14.0;23.0;58.0;120.0;19.0;34.0;8.0;21.0;27.0;65.0;18.0;23.0;-4.0;7.0;-4.0;10.0;ISOPROPANOL
33.0;57.0;115.0;210.0;34.0;51.0;9.0;30.0;54.0;143.0;30.0;43.0;3.0;7.0;-8.0;10.0;ISOPROPANOL
25.0;40.0;90.0;166.0;25.0;41.0;13.0;33.0;55.0;120.0;22.0;31.0;3.0;7.0;-6.0;10.0;ISOPROPANOL
35.0;60.0;116.0;207.0;29.0;46.0;16.0;33.0;65.0;128.0;25.0;38.0;4.0;6.0;-6.0;20.0;ISOPROPANOL
46.0;75.0;139.0;261.0;39.0;61.0;14.0;64.0;100.0;196.0;39.0;62.0;5.0;8.0;-6.0;23.0;ISOPROPANOL
63.0;107.0;204.0;356.0;56.0;79.0;14.0;41.0;88.0;225.0;46.0;63.0;-2.0;11.0;-7.0;14.0;ISOPROPANOL
56.0;93.0;176.0;311.0;46.0;73.0;30.0;64.0;78.0;183.0;38.0;61.0;-2.0;11.0;-6.0;20.0;ISOPROPANOL
60.0;103.0;186.0;343.0;51.0;75.0;30.0;64.0;115.0;236.0;49.0;67.0;-2.0;12.0;-7.0;14.0;ISOPROPANOL
85.0;144.0;254.0;452.0;69.0;99.0;53.0;106.0;192.0;345.0;63.0;88.0;-2.0;11.0;-7.0;19.0;ISOPROPANOL
95.0;160.0;296.0;518.0;80.0;115.0;40.0;88.0;183.0;375.0;69.0;107.0;-2.0;11.0;-7.0;22.0;ISOPROPANOL
97.0;168.0;314.0;535.0;84.0;117.0;62.0;118.0;211.0;395.0;68.0;99.0;0.0;10.0;-5.0;19.0;ISOPROPANOL
93.0;162.0;281.0;488.0;73.0;110.0;53.0;102.0;194.0;365.0;68.0;100.0;-2.0;14.0;-7.0;29.0;ISOPROPANOL
90.0;141.0;266.0;465.0;71.0;101.0;50.0;91.0;180.0;339.0;59.0;91.0;-4.0;10.0;-7.0;26.0;ISOPROPANOL
94.0;163.0;300.0;535.0;82.0;120.0;59.0;120.0;216.0;411.0;74.0;105.0;-4.0;9.0;-16.0;20.0;ISOPROPANOL
103.0;170.0;305.0;544.0;86.0;124.0;42.0;94.0;189.0;390.0;70.0;108.0;-4.0;10.0;-19.0;28.0;ISOPROPANOL
90.0;156.0;285.0;476.0;77.0;111.0;68.0;123.0;228.0;402.0;66.0;99.0;-5.0;15.0;-19.0;26.0;ISOPROPANOL
102.0;175.0;306.0;534.0;84.0;115.0;71.0;130.0;230.0;437.0;73.0;105.0;-6.0;10.0;-17.0;29.0;ISOPROPANOL
93.0;160.0;300.0;526.0;83.0;121.0;45.0;96.0;198.0;390.0;72.0;106.0;-6.0;9.0;-17.0;25.0;ISOPROPANOL
100.0;174.0;317.0;540.0;82.0;122.0;66.0;134.0;234.0;442.0;74.0;113.0;-6.0;8.0;-18.0;28.0;ISOPROPANOL
109.0;188.0;332.0;582.0;90.0;129.0;45.0;99.0;191.0;405.0;75.0;108.0;-6.0;9.0;-17.0;24.0;ISOPROPANOL
101.0;174.0;312.0;543.0;83.0;115.0;44.0;103.0;178.0;363.0;68.0;102.0;-6.0;12.0;-18.0;32.0;ISOPROPANOL
101.0;165.0;291.0;504.0;79.0;112.0;62.0;120.0;202.0;395.0;69.0;97.0;-6.0;17.0;-20.0;22.0;ISOPROPANOL
76.0;128.0;243.0;416.0;64.0;102.0;43.0;83.0;160.0;335.0;65.0;93.0;-6.0;17.0;-18.0;20.0;ISOPROPANOL
90.0;154.0;289.0;488.0;77.0;109.0;71.0;133.0;227.0;371.0;68.0;100.0;-7.0;16.0;-20.0;29.0;ISOPROPANOL
84.0;144.0;265.0;450.0;71.0;103.0;39.0;84.0;167.0;344.0;62.0;89.0;-7.0;7.0;-22.0;34.0;ISOPROPANOL
101.0;169.0;299.0;517.0;83.0;111.0;70.0;131.0;228.0;427.0;69.0;99.0;-7.0;16.0;-22.0;38.0;ISOPROPANOL
