OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;KEROSENE
33.0;-31.0;-49.0;-115.0;-17.0;-26.0;-6.0;-21.0;-41.0;-73.0;-7.0;-28.0;6.0;11.0;-9.0;-7.0;KEROSENE
21.0;-23.0;-49.0;-91.0;-16.0;-22.0;-5.0;-17.0;-37.0;-73.0;-7.0;-28.0;11.0;4.0;-9.0;-7.0;KEROSENE
9.0;-20.0;-49.0;-91.0;-16.0;-21.0;-5.0;-17.0;-35.0;-73.0;-7.0;-27.0;6.0;11.0;6.0;-7.0;KEROSENE
9.0;-20.0;-52.0;-115.0;-16.0;-21.0;-5.0;-17.0;-35.0;-84.0;-7.0;-27.0;6.0;11.0;18.0;-7.0;KEROSENE
4.0;-23.0;-58.0;-123.0;-20.0;-22.0;-1.0;-18.0;-35.0;-103.0;-13.0;-29.0;4.0;11.0;7.0;5.0;KEROSENE
74.0;30.0;70.0;169.0;40.0;44.0;11.0;45.0;66.0;132.0;26.0;30.0;-5.0;8.0;-5.0;16.0;KEROSENE
73.0;39.0;77.0;168.0;24.0;35.0;12.0;37.0;55.0;120.0;30.0;32.0;-9.0;9.0;-8.0;15.0;KEROSENE
71.0;39.0;91.0;183.0;27.0;46.0;13.0;46.0;68.0;151.0;33.0;44.0;-10.0;16.0;-9.0;16.0;KEROSENE
73.0;60.0;121.0;260.0;40.0;69.0;15.0;58.0;85.0;184.0;36.0;53.0;-9.0;24.0;-15.0;84.0;KEROSENE
73.0;48.0;112.0;216.0;37.0;69.0;13.0;54.0;89.0;178.0;41.0;42.0;-10.0;74.0;-15.0;84.0;KEROSENE
55.0;42.0;112.0;266.0;44.0;77.0;18.0;53.0;81.0;169.0;38.0;44.0;-10.0;82.0;-15.0;84.0;KEROSENE
41.0;47.0;124.0;223.0;33.0;53.0;11.0;45.0;91.0;161.0;37.0;44.0;-3.0;47.0;-3.0;80.0;KEROSENE
36.0;48.0;98.0;234.0;33.0;47.0;10.0;40.0;49.0;122.0;21.0;31.0;2.0;-133.0;4.0;-639.0;KEROSENE
66.0;28.0;85.0;195.0;22.0;36.0;10.0;28.0;53.0;94.0;18.0;23.0;18.0;-307.0;42.0;-1363.0;KEROSENE
53.0;29.0;58.0;158.0;31.0;45.0;7.0;30.0;60.0;102.0;29.0;23.0;23.0;-387.0;52.0;-1605.0;KEROSENE
65.0;23.0;78.0;150.0;26.0;33.0;3.0;30.0;49.0;92.0;15.0;21.0;15.0;-387.0;30.0;-1605.0;KEROSENE
53.0;23.0;68.0;142.0;20.0;36.0;7.0;28.0;35.0;71.0;19.0;14.0;18.0;-390.0;49.0;-1605.0;KEROSENE
16.0;47.0;32.0;35.0;0.0;0.0;25.0;30.0;20.0;45.0;11.0;2.0;-24.0;301.0;-64.0;1114.0;KEROSENE
47.0;55.0;43.0;55.0;0.0;3.0;36.0;35.0;43.0;51.0;15.0;2.0;-24.0;293.0;-64.0;1136.0;KEROSENE
35.0;65.0;59.0;67.0;11.0;5.0;40.0;54.0;49.0;66.0;9.0;2.0;-24.0;306.0;-67.0;1132.0;KEROSENE
63.0;72.0;65.0;77.0;8.0;6.0;51.0;62.0;58.0;77.0;13.0;2.0;-35.0;300.0;-67.0;1139.0;KEROSENE
69.0;87.0;74.0;95.0;7.0;8.0;61.0;67.0;70.0;96.0;17.0;2.0;-18.0;296.0;-64.0;1141.0;KEROSENE
54.0;89.0;97.0;111.0;11.0;6.0;70.0;79.0;76.0;102.0;16.0;8.0;-28.0;317.0;-66.0;1146.0;KEROSENE
78.0;106.0;105.0;115.0;11.0;6.0;74.0;97.0;91.0;107.0;16.0;17.0;-35.0;301.0;-67.0;1138.0;KEROSENE
59.0;118.0;128.0;130.0;13.0;19.0;80.0;101.0;103.0;136.0;12.0;17.0;-28.0;285.0;-66.0;1140.0;KEROSENE
104.0;125.0;131.0;153.0;11.0;20.0;122.0;169.0;236.0;167.0;22.0;55.0;-26.0;291.0;-66.0;1120.0;KEROSENE
87.0;198.0;195.0;324.0;49.0;90.0;112.0;175.0;248.0;372.0;63.0;36.0;-26.0;323.0;-66.0;1111.0;KEROSENE
136.0;215.0;189.0;389.0;62.0;87.0;141.0;186.0;275.0;418.0;64.0;43.0;-26.0;296.0;-66.0;1108.0;KEROSENE
124.0;222.0;331.0;537.0;69.0;97.0;140.0;200.0;305.0;512.0;94.0;91.0;-26.0;288.0;-66.0;1092.0;KEROSENE
126.0;244.0;349.0;563.0;102.0;92.0;198.0;251.0;343.0;567.0;100.0;156.0;-28.0;283.0;-67.0;1087.0;KEROSENE
147.0;280.0;404.0;639.0;101.0;171.0;241.0;298.0;415.0;675.0;115.0;179.0;-28.0;294.0;-66.0;1069.0;KEROSENE
238.0;319.0;468.0;755.0;119.0;203.0;277.0;347.0;487.0;768.0;126.0;209.0;-28.0;294.0;-61.0;1045.0;KEROSENE
192.0;388.0;543.0;827.0;135.0;222.0;319.0;402.0;551.0;866.0;145.0;223.0;-34.0;279.0;-61.0;1030.0;KEROSENE
323.0;433.0;625.0;958.0;150.0;247.0;366.0;438.0;614.0;952.0;162.0;256.0;-30.0;269.0;-48.0;992.0;KEROSENE
334.0;460.0;665.0;1011.0;164.0;257.0;393.0;461.0;638.0;999.0;172.0;260.0;-30.0;225.0;-48.0;749.0;KEROSENE
268.0;479.0;699.0;1059.0;161.0;261.0;397.0;482.0;670.0;1036.0;173.0;263.0;-30.0;213.0;-54.0;760.0;KEROSENE
286.0;509.0;731.0;1095.0;175.0;285.0;409.0;499.0;685.0;1040.0;183.0;277.0;-34.0;213.0;-49.0;790.0;KEROSENE
328.0;511.0;723.0;1085.0;181.0;285.0;429.0;514.0;698.0;1073.0;179.0;281.0;-34.0;231.0;-54.0;810.0;KEROSENE
384.0;514.0;746.0;1119.0;185.0;289.0;421.0;520.0;708.0;1106.0;180.0;274.0;-35.0;242.0;-60.0;835.0;KEROSENE
383.0;531.0;738.0;1151.0;181.0;291.0;441.0;510.0;713.0;1079.0;175.0;274.0;-34.0;248.0;-60.0;889.0;KEROSENE
386.0;519.0;761.0;1129.0;179.0;290.0;423.0;522.0;718.0;1084.0;186.0;280.0;-34.0;254.0;-54.0;906.0;KEROSENE
304.0;532.0;761.0;1147.0;180.0;285.0;451.0;522.0;725.0;1101.0;177.0;278.0;-34.0;252.0;-54.0;911.0;KEROSENE
395.0;522.0;733.0;1132.0;176.0;296.0;448.0;528.0;724.0;1113.0;177.0;270.0;-32.0;249.0;-54.0;912.0;KEROSENE
393.0;546.0;746.0;1183.0;183.0;294.0;445.0;521.0;739.0;1096.0;181.0;276.0;-32.0;249.0;-49.0;930.0;KEROSENE
399.0;537.0;749.0;1150.0;179.0;302.0;459.0;539.0;739.0;1103.0;184.0;284.0;-32.0;253.0;-49.0;926.0;KEROSENE
306.0;546.0;763.0;1171.0;187.0;301.0;458.0;545.0;726.0;1108.0;185.0;284.0;-25.0;249.0;-49.0;938.0;KEROSENE
404.0;559.0;781.0;1155.0;185.0;309.0;441.0;521.0;738.0;1103.0;185.0;206.0;-25.0;261.0;-49.0;954.0;KEROSENE
304.0;538.0;734.0;1054.0;108.0;159.0;364.0;472.0;588.0;960.0;124.0;155.0;-29.0;255.0;-50.0;923.0;KEROSENE
417.0;550.0;734.0;919.0;101.0;159.0;373.0;496.0;637.0;923.0;142.0;155.0;-29.0;253.0;-52.0;928.0;KEROSENE
424.0;474.0;572.0;1033.0;108.0;134.0;351.0;380.0;688.0;960.0;85.0;178.0;-29.0;253.0;-52.0;914.0;KEROSENE
264.0;508.0;685.0;802.0;85.0;155.0;354.0;498.0;571.0;814.0;91.0;125.0;-29.0;235.0;-54.0;922.0;KEROSENE
323.0;483.0;515.0;969.0;84.0;170.0;374.0;366.0;697.0;866.0;139.0;178.0;-36.0;254.0;-57.0;942.0;KEROSENE
257.0;539.0;775.0;1107.0;81.0;165.0;333.0;515.0;697.0;1065.0;113.0;198.0;-29.0;240.0;-57.0;931.0;KEROSENE
372.0;564.0;735.0;995.0;143.0;206.0;340.0;497.0;721.0;944.0;177.0;178.0;-22.0;251.0;-57.0;947.0;KEROSENE
378.0;546.0;674.0;761.0;143.0;163.0;337.0;491.0;708.0;964.0;172.0;209.0;-22.0;252.0;-60.0;928.0;KEROSENE
383.0;529.0;613.0;691.0;159.0;198.0;343.0;491.0;692.0;910.0;175.0;163.0;-25.0;249.0;-60.0;937.0;KEROSENE
376.0;517.0;737.0;1099.0;149.0;145.0;307.0;466.0;664.0;1031.0;153.0;260.0;-25.0;266.0;-63.0;954.0;KEROSENE
314.0;513.0;731.0;1084.0;169.0;242.0;319.0;458.0;650.0;1032.0;169.0;227.0;-25.0;247.0;-57.0;952.0;KEROSENE
261.0;509.0;720.0;1102.0;120.0;275.0;342.0;462.0;668.0;1047.0;174.0;208.0;-25.0;253.0;-57.0;943.0;KEROSENE
382.0;523.0;720.0;1084.0;182.0;275.0;396.0;496.0;691.0;1061.0;169.0;272.0;-25.0;258.0;-55.0;938.0;KEROSENE
269.0;532.0;734.0;1091.0;180.0;288.0;444.0;508.0;709.0;1076.0;175.0;278.0;-25.0;259.0;-54.0;938.0;KEROSENE
383.0;519.0;723.0;1126.0;177.0;289.0;441.0;524.0;726.0;1131.0;191.0;292.0;-29.0;240.0;-54.0;940.0;KEROSENE
406.0;557.0;765.0;1159.0;189.0;303.0;474.0;560.0;767.0;1162.0;198.0;301.0;-29.0;252.0;-54.0;941.0;KEROSENE
310.0;567.0;835.0;1251.0;195.0;318.0;493.0;583.0;800.0;1220.0;193.0;313.0;-29.0;265.0;-52.0;932.0;KEROSENE
358.0;589.0;836.0;1272.0;206.0;321.0;510.0;604.0;823.0;1220.0;209.0;305.0;-29.0;253.0;-58.0;928.0;KEROSENE
447.0;610.0;869.0;1335.0;218.0;332.0;514.0;618.0;833.0;1245.0;204.0;320.0;-23.0;264.0;-58.0;912.0;KEROSENE
407.0;640.0;883.0;1293.0;206.0;336.0;525.0;631.0;871.0;1292.0;219.0;328.0;-23.0;253.0;-61.0;926.0;KEROSENE
394.0;652.0;891.0;1373.0;218.0;344.0;532.0;648.0;883.0;1320.0;209.0;337.0;-23.0;259.0;-52.0;932.0;KEROSENE
431.0;640.0;932.0;1402.0;230.0;351.0;547.0;654.0;907.0;1359.0;222.0;346.0;-23.0;257.0;-54.0;914.0;KEROSENE
405.0;654.0;947.0;1372.0;223.0;359.0;565.0;671.0;931.0;1397.0;221.0;348.0;-20.0;257.0;-54.0;929.0;KEROSENE
510.0;681.0;947.0;1438.0;233.0;363.0;596.0;690.0;941.0;1409.0;222.0;360.0;-28.0;243.0;-56.0;925.0;KEROSENE
516.0;702.0;963.0;1453.0;230.0;377.0;594.0;696.0;952.0;1433.0;229.0;360.0;-20.0;253.0;-54.0;914.0;KEROSENE
534.0;717.0;974.0;1511.0;234.0;361.0;583.0;695.0;956.0;1454.0;231.0;349.0;-26.0;252.0;-56.0;917.0;KEROSENE
