OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;KEROSENE
54.0;-9.0;-41.0;-68.0;-3.0;2.0;-3.0;-1.0;-2.0;-30.0;3.0;0.0;6.0;3.0;4.0;1.0;KEROSENE
48.0;-9.0;-41.0;-68.0;-3.0;2.0;-1.0;-1.0;-2.0;-30.0;2.0;5.0;9.0;7.0;4.0;8.0;KEROSENE
54.0;3.0;-41.0;-68.0;-3.0;26.0;4.0;-1.0;8.0;-4.0;2.0;4.0;24.0;3.0;4.0;14.0;KEROSENE
41.0;10.0;-41.0;24.0;8.0;39.0;4.0;16.0;32.0;33.0;20.0;28.0;15.0;4.0;4.0;18.0;KEROSENE
41.0;11.0;8.0;114.0;8.0;33.0;10.0;30.0;40.0;76.0;21.0;35.0;14.0;2.0;3.0;22.0;KEROSENE
14.0;11.0;8.0;101.0;25.0;32.0;3.0;17.0;34.0;46.0;15.0;17.0;14.0;3.0;9.0;8.0;KEROSENE
14.0;21.0;14.0;101.0;21.0;36.0;3.0;17.0;34.0;48.0;14.0;19.0;3.0;2.0;9.0;6.0;KEROSENE
14.0;21.0;12.0;77.0;21.0;27.0;3.0;22.0;35.0;69.0;16.0;40.0;3.0;-5.0;9.0;8.0;KEROSENE
64.0;21.0;17.0;77.0;27.0;45.0;8.0;22.0;47.0;88.0;22.0;41.0;5.0;-5.0;9.0;17.0;KEROSENE
79.0;24.0;37.0;138.0;31.0;57.0;17.0;29.0;71.0;126.0;22.0;43.0;-4.0;-3.0;9.0;9.0;KEROSENE
60.0;36.0;37.0;138.0;32.0;69.0;18.0;46.0;92.0;167.0;32.0;60.0;-4.0;6.0;0.0;17.0;KEROSENE
84.0;49.0;72.0;234.0;49.0;71.0;30.0;53.0;113.0;202.0;44.0;67.0;-7.0;6.0;0.0;34.0;KEROSENE
55.0;76.0;81.0;199.0;54.0;90.0;30.0;66.0;130.0;252.0;45.0;72.0;-4.0;8.0;5.0;34.0;KEROSENE
84.0;69.0;122.0;249.0;57.0;101.0;36.0;74.0;158.0;286.0;53.0;85.0;-4.0;6.0;5.0;34.0;KEROSENE
103.0;100.0;117.0;297.0;43.0;79.0;30.0;54.0;130.0;231.0;51.0;64.0;-9.0;6.0;5.0;38.0;KEROSENE
98.0;75.0;129.0;285.0;50.0;104.0;34.0;71.0;143.0;278.0;56.0;92.0;-7.0;4.0;5.0;24.0;KEROSENE
98.0;107.0;146.0;340.0;68.0;113.0;34.0;82.0;190.0;344.0;71.0;108.0;9.0;6.0;5.0;29.0;KEROSENE
