OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;LIGHTER_FLUID
157.0;245.0;343.0;529.0;67.0;86.0;91.0;140.0;178.0;323.0;49.0;71.0;-3.0;-7.0;-4.0;12.0;LIGHTER_FLUID
120.0;186.0;241.0;375.0;45.0;60.0;83.0;113.0;139.0;179.0;32.0;52.0;-5.0;-7.0;-5.0;14.0;LIGHTER_FLUID
161.0;229.0;354.0;540.0;63.0;82.0;127.0;211.0;247.0;335.0;49.0;76.0;-3.0;-3.0;-4.0;13.0;LIGHTER_FLUID
120.0;186.0;241.0;375.0;45.0;46.0;76.0;91.0;139.0;212.0;32.0;52.0;-5.0;-1.0;-4.0;13.0;LIGHTER_FLUID
102.0;161.0;232.0;332.0;39.0;61.0;82.0;119.0;150.0;212.0;27.0;49.0;-9.0;-1.0;-4.0;20.0;LIGHTER_FLUID
126.0;212.0;286.0;449.0;55.0;82.0;58.0;109.0;138.0;315.0;44.0;61.0;-5.0;-1.0;-7.0;9.0;LIGHTER_FLUID
165.0;239.0;356.0;496.0;60.0;86.0;107.0;136.0;173.0;312.0;39.0;67.0;-8.0;-1.0;-2.0;13.0;LIGHTER_FLUID
142.0;142.0;202.0;300.0;55.0;61.0;53.0;130.0;153.0;212.0;35.0;67.0;-8.0;-1.0;-4.0;9.0;LIGHTER_FLUID
142.0;208.0;269.0;409.0;53.0;77.0;78.0;130.0;153.0;317.0;56.0;69.0;-7.0;4.0;-2.0;22.0;LIGHTER_FLUID
163.0;254.0;362.0;552.0;65.0;87.0;105.0;158.0;170.0;277.0;45.0;70.0;-1.0;4.0;1.0;15.0;LIGHTER_FLUID
119.0;190.0;269.0;415.0;53.0;79.0;64.0;89.0;107.0;250.0;37.0;52.0;-7.0;-3.0;1.0;17.0;LIGHTER_FLUID
105.0;148.0;221.0;362.0;40.0;62.0;64.0;66.0;106.0;244.0;38.0;56.0;-1.0;-3.0;-4.0;25.0;LIGHTER_FLUID
154.0;213.0;304.0;416.0;46.0;58.0;108.0;164.0;200.0;259.0;30.0;39.0;-1.0;-3.0;-6.0;13.0;LIGHTER_FLUID
