OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;LIGHTER_FLUID
-35.0;-51.0;-88.0;-134.0;-17.0;-24.0;-14.0;-14.0;-47.0;-131.0;-28.0;-28.0;-14.0;10.0;-5.0;18.0;LIGHTER_FLUID
16.0;23.0;20.0;45.0;11.0;15.0;20.0;29.0;4.0;-22.0;-11.0;-15.0;-14.0;13.0;-5.0;12.0;LIGHTER_FLUID
30.0;57.0;118.0;294.0;52.0;60.0;56.0;87.0;150.0;258.0;37.0;61.0;-8.0;10.0;-5.0;15.0;LIGHTER_FLUID
30.0;57.0;118.0;294.0;52.0;61.0;56.0;87.0;150.0;258.0;37.0;67.0;-8.0;10.0;3.0;12.0;LIGHTER_FLUID
125.0;86.0;315.0;533.0;87.0;117.0;79.0;134.0;218.0;357.0;55.0;78.0;-4.0;6.0;9.0;14.0;LIGHTER_FLUID
70.0;88.0;164.0;315.0;58.0;61.0;42.0;79.0;108.0;220.0;37.0;67.0;-4.0;6.0;3.0;11.0;LIGHTER_FLUID
65.0;86.0;164.0;295.0;58.0;76.0;42.0;79.0;154.0;239.0;50.0;77.0;-2.0;6.0;5.0;9.0;LIGHTER_FLUID
70.0;88.0;159.0;315.0;52.0;70.0;29.0;61.0;131.0;175.0;50.0;60.0;-4.0;6.0;3.0;9.0;LIGHTER_FLUID
56.0;95.0;172.0;362.0;58.0;86.0;29.0;61.0;131.0;273.0;51.0;79.0;-7.0;12.0;1.0;7.0;LIGHTER_FLUID
73.0;128.0;242.0;486.0;89.0;137.0;110.0;204.0;362.0;624.0;112.0;186.0;-9.0;18.0;-3.0;8.0;LIGHTER_FLUID
317.0;536.0;907.0;1486.0;229.0;289.0;204.0;375.0;617.0;1015.0;159.0;247.0;-9.0;12.0;-3.0;8.0;LIGHTER_FLUID
