OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;METHANE
27.0;52.0;87.0;167.0;24.0;36.0;63.0;118.0;197.0;258.0;24.0;29.0;20.0;-3.0;9.0;-4.0;METHANE
31.0;56.0;98.0;162.0;26.0;37.0;71.0;127.0;172.0;194.0;18.0;30.0;28.0;-3.0;7.0;-4.0;METHANE
41.0;62.0;112.0;199.0;27.0;36.0;51.0;85.0;137.0;158.0;19.0;31.0;11.0;4.0;0.0;-4.0;METHANE
35.0;64.0;101.0;171.0;30.0;39.0;37.0;68.0;137.0;201.0;25.0;33.0;16.0;-3.0;0.0;-4.0;METHANE
32.0;55.0;96.0;163.0;29.0;41.0;51.0;85.0;122.0;134.0;22.0;28.0;13.0;3.0;7.0;-4.0;METHANE
35.0;60.0;94.0;170.0;24.0;30.0;46.0;89.0;147.0;213.0;23.0;30.0;20.0;4.0;13.0;-4.0;METHANE
33.0;56.0;90.0;184.0;26.0;38.0;34.0;66.0;116.0;134.0;15.0;24.0;13.0;3.0;11.0;-3.0;METHANE
24.0;44.0;80.0;146.0;19.0;27.0;9.0;30.0;35.0;69.0;14.0;20.0;13.0;5.0;4.0;-1.0;METHANE
24.0;45.0;80.0;146.0;21.0;29.0;9.0;30.0;35.0;69.0;15.0;17.0;18.0;4.0;-1.0;-1.0;METHANE
24.0;45.0;67.0;145.0;21.0;29.0;24.0;61.0;116.0;178.0;18.0;31.0;11.0;4.0;-6.0;-1.0;METHANE
52.0;100.0;170.0;299.0;48.0;65.0;24.0;61.0;125.0;282.0;52.0;93.0;7.0;-1.0;-6.0;-1.0;METHANE
133.0;237.0;399.0;691.0;109.0;161.0;79.0;159.0;296.0;552.0;89.0;136.0;6.0;-1.0;-6.0;2.0;METHANE
101.0;180.0;308.0;540.0;86.0;132.0;57.0;115.0;235.0;442.0;72.0;108.0;7.0;5.0;-2.0;6.0;METHANE
88.0;150.0;266.0;474.0;74.0;110.0;78.0;148.0;274.0;479.0;67.0;97.0;6.0;5.0;-6.0;6.0;METHANE
68.0;122.0;211.0;392.0;63.0;96.0;118.0;209.0;342.0;487.0;58.0;93.0;4.0;1.0;-2.0;7.0;METHANE
60.0;113.0;196.0;358.0;57.0;86.0;69.0;134.0;236.0;389.0;55.0;78.0;13.0;4.0;0.0;6.0;METHANE
47.0;90.0;155.0;304.0;50.0;75.0;56.0;95.0;164.0;260.0;37.0;71.0;4.0;1.0;0.0;6.0;METHANE
52.0;97.0;172.0;323.0;53.0;85.0;103.0;184.0;294.0;414.0;50.0;74.0;4.0;0.0;2.0;6.0;METHANE
58.0;101.0;183.0;328.0;54.0;95.0;82.0;161.0;294.0;382.0;68.0;112.0;6.0;-1.0;4.0;-6.0;METHANE
122.0;219.0;382.0;713.0;114.0;173.0;162.0;291.0;498.0;749.0;107.0;157.0;6.0;-6.0;4.0;0.0;METHANE
114.0;205.0;371.0;642.0;104.0;154.0;162.0;291.0;498.0;692.0;142.0;253.0;6.0;-6.0;5.0;-6.0;METHANE
703.0;1255.0;2155.0;3587.0;540.0;756.0;479.0;880.0;1574.0;2728.0;440.0;658.0;8.0;-2.0;-2.0;0.0;METHANE
504.0;901.0;1576.0;2675.0;429.0;632.0;423.0;752.0;1326.0;2285.0;366.0;558.0;8.0;-2.0;-2.0;0.0;METHANE
440.0;799.0;1440.0;2575.0;437.0;690.0;505.0;938.0;1680.0;2872.0;463.0;691.0;8.0;1.0;-5.0;0.0;METHANE
