OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
-15.0;-23.0;-41.0;-57.0;-10.0;-14.0;-8.0;-17.0;-29.0;-54.0;-7.0;-14.0;-7.0;-1.0;-8.0;2.0;NITROMETHANE
-12.0;-21.0;-39.0;-47.0;-9.0;-9.0;-1.0;-6.0;-4.0;-24.0;-4.0;-5.0;-7.0;1.0;-8.0;0.0;NITROMETHANE
-3.0;1.0;11.0;59.0;12.0;17.0;9.0;19.0;45.0;93.0;19.0;34.0;-11.0;1.0;-12.0;3.0;NITROMETHANE
23.0;42.0;83.0;174.0;30.0;51.0;27.0;49.0;96.0;175.0;33.0;53.0;-11.0;1.0;-12.0;2.0;NITROMETHANE
34.0;62.0;117.0;253.0;46.0;79.0;44.0;81.0;170.0;318.0;58.0;97.0;-11.0;4.0;-12.0;2.0;NITROMETHANE
34.0;62.0;234.0;449.0;73.0;105.0;48.0;85.0;173.0;289.0;49.0;82.0;-11.0;5.0;-17.0;0.0;NITROMETHANE
63.0;110.0;199.0;375.0;62.0;66.0;34.0;61.0;128.0;259.0;48.0;81.0;-11.0;4.0;-17.0;0.0;NITROMETHANE
63.0;110.0;199.0;375.0;62.0;99.0;55.0;96.0;191.0;345.0;64.0;105.0;-13.0;3.0;-9.0;0.0;NITROMETHANE
74.0;141.0;266.0;527.0;93.0;151.0;81.0;150.0;295.0;534.0;99.0;160.0;-13.0;2.0;-9.0;0.0;NITROMETHANE
125.0;225.0;406.0;770.0;129.0;198.0;106.0;190.0;365.0;657.0;114.0;188.0;-13.0;3.0;-9.0;0.0;NITROMETHANE
116.0;208.0;377.0;709.0;119.0;188.0;101.0;184.0;340.0;617.0;110.0;177.0;-11.0;2.0;-9.0;-1.0;NITROMETHANE
108.0;190.0;346.0;655.0;112.0;179.0;94.0;165.0;325.0;600.0;108.0;176.0;-11.0;3.0;-3.0;-1.0;NITROMETHANE
108.0;191.0;343.0;649.0;110.0;174.0;93.0;161.0;312.0;575.0;101.0;163.0;-11.0;4.0;-3.0;-1.0;NITROMETHANE
100.0;180.0;321.0;590.0;100.0;160.0;86.0;152.0;288.0;538.0;96.0;153.0;-11.0;1.0;-4.0;-7.0;NITROMETHANE
113.0;202.0;373.0;695.0;118.0;185.0;106.0;189.0;353.0;649.0;111.0;175.0;-11.0;4.0;-4.0;-7.0;NITROMETHANE
102.0;177.0;315.0;586.0;97.0;155.0;82.0;145.0;277.0;516.0;89.0;146.0;-11.0;4.0;-6.0;-6.0;NITROMETHANE
76.0;134.0;249.0;473.0;83.0;130.0;74.0;128.0;249.0;433.0;77.0;120.0;-6.0;6.0;-6.0;-6.0;NITROMETHANE
70.0;128.0;236.0;451.0;78.0;130.0;68.0;123.0;235.0;451.0;79.0;133.0;-6.0;4.0;-6.0;4.0;NITROMETHANE
83.0;147.0;274.0;520.0;87.0;142.0;72.0;130.0;251.0;457.0;81.0;130.0;-6.0;5.0;-5.0;4.0;NITROMETHANE
63.0;118.0;216.0;404.0;69.0;120.0;56.0;104.0;210.0;392.0;68.0;117.0;-6.0;9.0;-5.0;4.0;NITROMETHANE
67.0;117.0;210.0;403.0;66.0;105.0;59.0;104.0;192.0;347.0;61.0;102.0;-6.0;5.0;-5.0;0.0;NITROMETHANE
50.0;85.0;149.0;294.0;48.0;78.0;37.0;66.0;127.0;228.0;43.0;68.0;-9.0;11.0;-8.0;-1.0;NITROMETHANE
19.0;38.0;69.0;152.0;28.0;51.0;27.0;48.0;101.0;183.0;35.0;57.0;-9.0;3.0;-13.0;-3.0;NITROMETHANE
24.0;44.0;80.0;172.0;27.0;47.0;23.0;36.0;125.0;228.0;43.0;68.0;-9.0;3.0;-13.0;-3.0;NITROMETHANE
24.0;44.0;80.0;172.0;20.0;49.0;28.0;51.0;125.0;265.0;56.0;104.0;-10.0;3.0;-13.0;-10.0;NITROMETHANE
57.0;109.0;207.0;409.0;72.0;115.0;57.0;100.0;203.0;357.0;62.0;100.0;-10.0;3.0;-12.0;-3.0;NITROMETHANE
36.0;73.0;137.0;263.0;44.0;75.0;34.0;59.0;129.0;225.0;42.0;69.0;-8.0;4.0;-11.0;-2.0;NITROMETHANE
29.0;55.0;106.0;232.0;40.0;69.0;33.0;62.0;124.0;234.0;43.0;77.0;-8.0;7.0;-9.0;-2.0;NITROMETHANE
35.0;71.0;135.0;298.0;56.0;96.0;48.0;92.0;182.0;353.0;67.0;119.0;-9.0;6.0;-11.0;-2.0;NITROMETHANE
69.0;129.0;254.0;509.0;90.0;143.0;67.0;122.0;256.0;471.0;86.0;138.0;-8.0;5.0;-9.0;-2.0;NITROMETHANE
61.0;118.0;235.0;528.0;109.0;210.0;111.0;209.0;429.0;854.0;163.0;281.0;-9.0;5.0;-9.0;-5.0;NITROMETHANE
181.0;338.0;644.0;1247.0;219.0;342.0;172.0;327.0;624.0;1173.0;205.0;332.0;-14.0;3.0;-9.0;-5.0;NITROMETHANE
175.0;322.0;605.0;1174.0;209.0;341.0;172.0;328.0;642.0;1237.0;224.0;371.0;-14.0;2.0;-17.0;-5.0;NITROMETHANE
226.0;427.0;845.0;1705.0;321.0;548.0;294.0;558.0;1073.0;2064.0;381.0;639.0;-14.0;3.0;-9.0;-5.0;NITROMETHANE
408.0;763.0;1491.0;3028.0;598.0;1086.0;704.0;1316.0;2494.0;4715.0;868.0;1452.0;-14.0;2.0;-9.0;-5.0;NITROMETHANE
1078.0;2001.0;3896.0;7790.0;1499.0;2599.0;1906.0;3459.0;6312.0;11550.0;1999.0;3148.0;-9.0;5.0;-9.0;-7.0;NITROMETHANE
2525.0;4480.0;8181.0;14943.0;2529.0;3736.0;2760.0;4920.0;8796.0;15513.0;2582.0;3913.0;-6.0;3.0;-8.0;-8.0;NITROMETHANE
3115.0;5456.0;9778.0;17491.0;2964.0;4426.0;3421.0;6040.0;10676.0;18543.0;3074.0;4637.0;-6.0;3.0;-8.0;-8.0;NITROMETHANE
3915.0;6817.0;12155.0;20336.0;3562.0;5176.0;4158.0;7287.0;12715.0;21836.0;3528.0;5192.0;-6.0;3.0;-4.0;-8.0;NITROMETHANE
4377.0;7459.0;12952.0;20573.0;3411.0;4656.0;3403.0;5995.0;10534.0;18192.0;2960.0;4393.0;-9.0;7.0;-13.0;-8.0;NITROMETHANE
3610.0;6317.0;11225.0;19331.0;3352.0;5010.0;4092.0;7141.0;12450.0;21415.0;3474.0;5174.0;-6.0;8.0;-13.0;-8.0;NITROMETHANE
4607.0;7919.0;13757.0;21471.0;3774.0;5340.0;4287.0;7463.0;12967.0;22079.0;3545.0;5192.0;-17.0;9.0;-15.0;-8.0;NITROMETHANE
4608.0;7849.0;13507.0;21107.0;3660.0;5340.0;4442.0;7751.0;13428.0;22930.0;3738.0;5610.0;-12.0;5.0;-13.0;-12.0;NITROMETHANE
5270.0;9022.0;15494.0;22618.0;4179.0;5818.0;4771.0;8307.0;14264.0;23966.0;3764.0;5426.0;-17.0;1.0;-13.0;-12.0;NITROMETHANE
4730.0;7976.0;13399.0;20690.0;3337.0;4490.0;3340.0;5831.0;10075.0;16997.0;2677.0;3940.0;-12.0;1.0;-10.0;-12.0;NITROMETHANE
3061.0;5237.0;8987.0;15324.0;2471.0;3673.0;2733.0;4822.0;8499.0;14627.0;2396.0;3649.0;-12.0;1.0;-7.0;-2.0;NITROMETHANE
3115.0;5413.0;9514.0;16704.0;2797.0;4245.0;3350.0;5914.0;10295.0;17593.0;2851.0;4248.0;-9.0;1.0;-7.0;-2.0;NITROMETHANE
3740.0;6383.0;10975.0;18322.0;2903.0;4135.0;3094.0;5451.0;9551.0;16215.0;2590.0;3839.0;-8.0;1.0;-7.0;-2.0;NITROMETHANE
3180.0;5425.0;9277.0;15555.0;2445.0;3499.0;2482.0;4418.0;7742.0;13322.0;2138.0;3166.0;-8.0;1.0;-7.0;-4.0;NITROMETHANE
2514.0;4252.0;7159.0;11866.0;1831.0;2616.0;1763.0;3103.0;5435.0;9294.0;1482.0;2238.0;-8.0;1.0;-7.0;-8.0;NITROMETHANE
1555.0;2651.0;4534.0;7629.0;1204.0;1835.0;1183.0;2108.0;3753.0;6502.0;1049.0;1614.0;-8.0;1.0;-6.0;-8.0;NITROMETHANE
1097.0;1889.0;3245.0;5487.0;881.0;1379.0;886.0;1595.0;2854.0;4957.0;811.0;1259.0;-8.0;1.0;-3.0;-8.0;NITROMETHANE
900.0;1576.0;2710.0;4659.0;758.0;1193.0;759.0;1374.0;2470.0;4315.0;710.0;1106.0;-8.0;2.0;-3.0;-8.0;NITROMETHANE
771.0;1328.0;2297.0;3951.0;639.0;1012.0;635.0;1146.0;2047.0;3590.0;589.0;924.0;-10.0;5.0;-3.0;-6.0;NITROMETHANE
609.0;1050.0;1800.0;3105.0;503.0;811.0;515.0;926.0;1647.0;2873.0;472.0;752.0;-2.0;6.0;-3.0;-6.0;NITROMETHANE
508.0;892.0;1550.0;2690.0;442.0;710.0;433.0;786.0;1430.0;2503.0;415.0;656.0;-9.0;5.0;-10.0;-6.0;NITROMETHANE
