OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
4.0;9.0;13.0;2.0;-1.0;-4.0;-15.0;-25.0;-30.0;-42.0;-1.0;-1.0;12.0;-2.0;23.0;1.0;NITROMETHANE
12.0;19.0;32.0;12.0;3.0;6.0;-15.0;-23.0;-18.0;-9.0;3.0;0.0;12.0;1.0;20.0;1.0;NITROMETHANE
9.0;17.0;22.0;42.0;5.0;7.0;-14.0;-23.0;7.0;0.0;4.0;9.0;12.0;1.0;14.0;0.0;NITROMETHANE
19.0;38.0;58.0;68.0;10.0;11.0;-14.0;-23.0;7.0;1.0;5.0;18.0;16.0;1.0;22.0;0.0;NITROMETHANE
30.0;43.0;81.0;123.0;19.0;23.0;5.0;-23.0;7.0;52.0;5.0;22.0;13.0;2.0;20.0;0.0;NITROMETHANE
8.0;20.0;31.0;74.0;15.0;31.0;11.0;31.0;55.0;113.0;24.0;39.0;3.0;1.0;-3.0;-2.0;NITROMETHANE
8.0;20.0;31.0;141.0;31.0;49.0;11.0;38.0;68.0;157.0;32.0;51.0;3.0;7.0;-4.0;-8.0;NITROMETHANE
29.0;39.0;72.0;181.0;36.0;55.0;22.0;47.0;102.0;187.0;38.0;61.0;6.0;16.0;-4.0;-8.0;NITROMETHANE
28.0;56.0;106.0;227.0;41.0;66.0;20.0;47.0;93.0;210.0;45.0;74.0;4.0;18.0;-4.0;-10.0;NITROMETHANE
45.0;78.0;155.0;301.0;51.0;77.0;20.0;50.0;106.0;250.0;46.0;82.0;4.0;15.0;-4.0;-8.0;NITROMETHANE
