OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
-120.0;-240.0;-275.0;-223.0;-13.0;-30.0;-52.0;-113.0;-248.0;-483.0;-82.0;-87.0;-13.0;-12.0;7.0;-1.0;NITROMETHANE
-84.0;-150.0;-140.0;176.0;138.0;171.0;72.0;200.0;466.0;922.0;139.0;173.0;-7.0;-25.0;31.0;3.0;NITROMETHANE
37.0;336.0;696.0;1690.0;385.0;545.0;186.0;414.0;817.0;1410.0;149.0;319.0;-3.0;21.0;16.0;15.0;NITROMETHANE
394.0;1158.0;2940.0;6618.0;930.0;1000.0;393.0;874.0;1809.0;3393.0;712.0;319.0;22.0;15.0;18.0;14.0;NITROMETHANE
247.0;740.0;1509.0;7883.0;937.0;928.0;282.0;594.0;1123.0;1914.0;692.0;694.0;8.0;27.0;16.0;14.0;NITROMETHANE
247.0;740.0;1509.0;3202.0;605.0;773.0;282.0;594.0;1123.0;1914.0;264.0;391.0;8.0;29.0;6.0;14.0;NITROMETHANE
1037.0;2575.0;5528.0;7620.0;471.0;371.0;433.0;603.0;1304.0;2436.0;394.0;392.0;17.0;16.0;-4.0;9.0;NITROMETHANE
897.0;2475.0;4635.0;3228.0;492.0;340.0;261.0;603.0;1304.0;2372.0;329.0;273.0;22.0;16.0;-4.0;9.0;NITROMETHANE
707.0;2065.0;4733.0;3228.0;817.0;340.0;103.0;187.0;325.0;506.0;98.0;192.0;22.0;7.0;-2.0;9.0;NITROMETHANE
780.0;1497.0;4311.0;2081.0;-447.0;-672.0;-178.0;-214.0;-216.0;-221.0;67.0;192.0;23.0;7.0;0.0;8.0;NITROMETHANE
780.0;1188.0;892.0;-2825.0;-794.0;-737.0;-258.0;-412.0;-574.0;-442.0;12.0;-22.0;17.0;7.0;0.0;11.0;NITROMETHANE
568.0;841.0;362.0;-3053.0;-1073.0;-1247.0;-633.0;-1248.0;-2238.0;-3304.0;-302.0;-199.0;12.0;4.0;0.0;8.0;NITROMETHANE
493.0;894.0;377.0;-4006.0;-1199.0;-1456.0;-763.0;-1388.0;-2350.0;-3427.0;-352.0;-355.0;17.0;4.0;0.0;17.0;NITROMETHANE
159.0;551.0;4.0;-4006.0;-1199.0;-1456.0;-763.0;-1388.0;-2350.0;-3502.0;-416.0;-439.0;27.0;4.0;-6.0;22.0;NITROMETHANE
135.0;393.0;-460.0;-5144.0;-1390.0;-1640.0;-767.0;-1542.0;-2804.0;-4580.0;-571.0;-628.0;30.0;0.0;-8.0;15.0;NITROMETHANE
159.0;135.0;-1020.0;-6122.0;-1521.0;-1740.0;-820.0;-1551.0;-2804.0;-4580.0;-571.0;-672.0;27.0;-1.0;-9.0;17.0;NITROMETHANE
282.0;393.0;-460.0;-5144.0;-1390.0;-1640.0;-763.0;-1395.0;-2660.0;-4448.0;-572.0;-649.0;28.0;0.0;-9.0;12.0;NITROMETHANE
282.0;393.0;-460.0;-5144.0;-1181.0;-1326.0;-708.0;-1395.0;-2660.0;-4448.0;-572.0;-649.0;23.0;22.0;-12.0;15.0;NITROMETHANE
294.0;459.0;-460.0;-5144.0;-1181.0;-1326.0;-708.0;-1395.0;-2660.0;-4448.0;-572.0;-649.0;13.0;24.0;-12.0;15.0;NITROMETHANE
231.0;459.0;-90.0;-3894.0;-1148.0;-786.0;-399.0;-750.0;-1374.0;-2201.0;-264.0;-260.0;17.0;22.0;-12.0;23.0;NITROMETHANE
628.0;1417.0;2926.0;812.0;-536.0;89.0;283.0;615.0;1295.0;2648.0;509.0;704.0;10.0;17.0;-16.0;22.0;NITROMETHANE
1062.0;2274.0;2926.0;812.0;-536.0;89.0;283.0;615.0;1295.0;2648.0;439.0;364.0;25.0;17.0;-11.0;35.0;NITROMETHANE
628.0;1417.0;3568.0;812.0;-536.0;-786.0;-399.0;-750.0;-1374.0;-2201.0;-254.0;-260.0;23.0;12.0;-11.0;22.0;NITROMETHANE
657.0;1372.0;1274.0;-2478.0;-1038.0;-1182.0;-613.0;-1096.0;-1918.0;-2682.0;-254.0;-260.0;23.0;17.0;-11.0;28.0;NITROMETHANE
487.0;1048.0;856.0;-2478.0;-1038.0;-1182.0;-613.0;-1096.0;-2075.0;-3104.0;-254.0;-264.0;29.0;11.0;-6.0;20.0;NITROMETHANE
657.0;1372.0;1274.0;-2478.0;-1038.0;-1182.0;-613.0;-1096.0;-2075.0;-3104.0;-254.0;-264.0;27.0;11.0;-6.0;17.0;NITROMETHANE
917.0;1953.0;2686.0;-617.0;-800.0;-1002.0;-544.0;-1092.0;-2075.0;-3104.0;-138.0;153.0;36.0;7.0;-6.0;17.0;NITROMETHANE
739.0;1656.0;2399.0;-158.0;-512.0;-648.0;-243.0;-366.0;-368.0;91.0;127.0;256.0;35.0;7.0;-15.0;17.0;NITROMETHANE
665.0;1656.0;2399.0;-158.0;-512.0;-648.0;-243.0;-366.0;-368.0;91.0;403.0;256.0;35.0;9.0;2.0;24.0;NITROMETHANE
739.0;1656.0;2237.0;-617.0;-512.0;-648.0;-243.0;-366.0;-368.0;91.0;283.0;256.0;18.0;5.0;4.0;22.0;NITROMETHANE
963.0;1971.0;2237.0;-617.0;-202.0;-330.0;-19.0;130.0;560.0;1542.0;364.0;844.0;18.0;5.0;-14.0;24.0;NITROMETHANE
1287.0;1971.0;3796.0;4158.0;-128.0;-206.0;-181.0;-323.0;-613.0;-562.0;283.0;256.0;18.0;3.0;4.0;22.0;NITROMETHANE
963.0;2392.0;3796.0;-926.0;-350.0;-206.0;-181.0;-323.0;-613.0;-562.0;364.0;844.0;16.0;1.0;4.0;10.0;NITROMETHANE
2429.0;2392.0;3796.0;1930.0;-230.0;-206.0;-181.0;-323.0;-613.0;-810.0;-67.0;62.0;21.0;1.0;-4.0;10.0;NITROMETHANE
963.0;2392.0;3796.0;1930.0;-230.0;-206.0;-181.0;-323.0;-613.0;-810.0;68.0;2001.0;16.0;7.0;-5.0;20.0;NITROMETHANE
1992.0;3223.0;4205.0;1930.0;-230.0;-425.0;-289.0;-604.0;-1102.0;-1675.0;-67.0;-88.0;12.0;1.0;-5.0;20.0;NITROMETHANE
559.0;1377.0;1456.0;-1656.0;-350.0;-570.0;-345.0;-651.0;-1219.0;-1987.0;-192.0;-134.0;9.0;1.0;-15.0;42.0;NITROMETHANE
568.0;906.0;555.0;-2353.0;-970.0;-1212.0;-685.0;-1384.0;-2678.0;-3528.0;-202.0;-196.0;6.0;9.0;-15.0;21.0;NITROMETHANE
471.0;849.0;376.0;-3740.0;-1196.0;-1339.0;-685.0;-1384.0;-2678.0;-3884.0;-372.0;-336.0;9.0;6.0;-15.0;23.0;NITROMETHANE
568.0;906.0;555.0;-3740.0;-970.0;-1212.0;-628.0;-1226.0;-2317.0;-3884.0;-372.0;-336.0;24.0;-2.0;-15.0;22.0;NITROMETHANE
471.0;849.0;376.0;-3740.0;-970.0;-1212.0;-635.0;-1226.0;-2317.0;-3884.0;-372.0;-336.0;43.0;-2.0;-15.0;24.0;NITROMETHANE
