OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;PHOSPHORIC ACID
5.0;12.0;25.0;52.0;10.0;17.0;4.0;9.0;22.0;45.0;9.0;18.0;30.0;-21.0;100.0;-99.0;PHOSPHORIC ACID
8.0;17.0;37.0;79.0;16.0;27.0;8.0;15.0;30.0;67.0;15.0;25.0;33.0;-25.0;108.0;-105.0;PHOSPHORIC ACID
10.0;20.0;46.0;97.0;20.0;36.0;11.0;20.0;44.0;97.0;19.0;36.0;41.0;-21.0;115.0;-105.0;PHOSPHORIC ACID
13.0;28.0;62.0;132.0;26.0;46.0;12.0;25.0;56.0;118.0;25.0;46.0;8.0;-21.0;89.0;-105.0;PHOSPHORIC ACID
16.0;33.0;74.0;158.0;31.0;56.0;13.0;26.0;62.0;135.0;28.0;52.0;6.0;-25.0;89.0;-105.0;PHOSPHORIC ACID
15.0;31.0;70.0;148.0;30.0;57.0;14.0;28.0;65.0;136.0;29.0;52.0;8.0;-25.0;89.0;-105.0;PHOSPHORIC ACID
13.0;27.0;59.0;133.0;29.0;56.0;14.0;29.0;66.0;133.0;28.0;49.0;28.0;-27.0;103.0;-114.0;PHOSPHORIC ACID
14.0;30.0;66.0;139.0;28.0;51.0;14.0;27.0;62.0;128.0;25.0;46.0;44.0;-32.0;156.0;-134.0;PHOSPHORIC ACID
13.0;27.0;61.0;131.0;28.0;50.0;13.0;27.0;61.0;126.0;26.0;47.0;45.0;-36.0;127.0;-134.0;PHOSPHORIC ACID
14.0;28.0;64.0;137.0;28.0;53.0;14.0;29.0;62.0;138.0;27.0;47.0;31.0;-37.0;126.0;-162.0;PHOSPHORIC ACID
13.0;27.0;62.0;134.0;29.0;54.0;14.0;30.0;65.0;138.0;29.0;52.0;46.0;-36.0;155.0;-154.0;PHOSPHORIC ACID
15.0;32.0;70.0;149.0;31.0;59.0;14.0;31.0;70.0;149.0;30.0;55.0;47.0;-32.0;184.0;-154.0;PHOSPHORIC ACID
16.0;37.0;81.0;172.0;36.0;66.0;17.0;34.0;75.0;156.0;32.0;58.0;47.0;-36.0;137.0;-162.0;PHOSPHORIC ACID
15.0;33.0;72.0;154.0;34.0;66.0;18.0;34.0;78.0;158.0;32.0;58.0;39.0;-59.0;132.0;-203.0;PHOSPHORIC ACID
14.0;31.0;68.0;139.0;30.0;60.0;17.0;33.0;73.0;152.0;30.0;58.0;49.0;-60.0;212.0;-248.0;PHOSPHORIC ACID
16.0;34.0;76.0;166.0;35.0;67.0;17.0;36.0;79.0;168.0;34.0;64.0;77.0;-78.0;309.0;-355.0;PHOSPHORIC ACID
18.0;38.0;86.0;180.0;39.0;73.0;19.0;39.0;85.0;180.0;38.0;70.0;89.0;-104.0;358.0;-407.0;PHOSPHORIC ACID
18.0;39.0;85.0;188.0;40.0;76.0;20.0;40.0;93.0;197.0;40.0;75.0;88.0;-104.0;391.0;-407.0;PHOSPHORIC ACID
19.0;43.0;96.0;212.0;46.0;87.0;23.0;48.0;106.0;224.0;46.0;86.0;111.0;-104.0;405.0;-407.0;PHOSPHORIC ACID
24.0;51.0;112.0;243.0;53.0;98.0;26.0;54.0;118.0;244.0;52.0;94.0;76.0;-84.0;286.0;-322.0;PHOSPHORIC ACID
24.0;54.0;119.0;259.0;56.0;104.0;26.0;57.0;122.0;260.0;53.0;97.0;75.0;-77.0;269.0;-314.0;PHOSPHORIC ACID
26.0;56.0;121.0;263.0;55.0;104.0;27.0;57.0;125.0;259.0;53.0;98.0;84.0;-77.0;286.0;-314.0;PHOSPHORIC ACID
26.0;57.0;124.0;269.0;57.0;108.0;27.0;57.0;129.0;268.0;55.0;101.0;74.0;-77.0;260.0;-322.0;PHOSPHORIC ACID
27.0;60.0;131.0;280.0;59.0;111.0;28.0;59.0;129.0;273.0;54.0;103.0;83.0;-83.0;300.0;-333.0;PHOSPHORIC ACID
27.0;60.0;128.0;277.0;58.0;108.0;26.0;59.0;130.0;270.0;55.0;100.0;81.0;-83.0;325.0;-335.0;PHOSPHORIC ACID
27.0;59.0;128.0;272.0;57.0;107.0;26.0;58.0;128.0;270.0;54.0;101.0;81.0;-92.0;315.0;-354.0;PHOSPHORIC ACID
27.0;60.0;129.0;277.0;58.0;109.0;27.0;57.0;130.0;275.0;56.0;105.0;99.0;-106.0;380.0;-396.0;PHOSPHORIC ACID
28.0;62.0;135.0;292.0;61.0;114.0;30.0;63.0;139.0;292.0;59.0;109.0;102.0;-119.0;422.0;-460.0;PHOSPHORIC ACID
30.0;67.0;147.0;312.0;64.0;121.0;31.0;67.0;148.0;312.0;64.0;115.0;115.0;-119.0;454.0;-460.0;PHOSPHORIC ACID
33.0;71.0;152.0;327.0;68.0;126.0;33.0;69.0;156.0;326.0;66.0;121.0;123.0;-119.0;468.0;-460.0;PHOSPHORIC ACID
32.0;72.0;156.0;334.0;71.0;130.0;32.0;70.0;156.0;331.0;67.0;124.0;105.0;-108.0;399.0;-435.0;PHOSPHORIC ACID
34.0;74.0;162.0;351.0;73.0;135.0;33.0;74.0;162.0;341.0;68.0;127.0;107.0;-106.0;394.0;-430.0;PHOSPHORIC ACID
35.0;78.0;166.0;358.0;74.0;135.0;32.0;73.0;164.0;348.0;72.0;132.0;95.0;-96.0;368.0;-389.0;PHOSPHORIC ACID
38.0;84.0;180.0;388.0;80.0;148.0;40.0;85.0;182.0;381.0;77.0;144.0;85.0;-96.0;316.0;-389.0;PHOSPHORIC ACID
40.0;86.0;186.0;408.0;85.0;155.0;42.0;87.0;190.0;400.0;81.0;149.0;77.0;-87.0;303.0;-363.0;PHOSPHORIC ACID
