OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;PHOSPHORIC ACID
11.0;14.0;28.0;36.0;6.0;13.0;33.0;54.0;87.0;93.0;14.0;20.0;20.0;12.0;-1.0;-2.0;PHOSPHORIC ACID
32.0;30.0;71.0;116.0;13.0;26.0;23.0;41.0;87.0;157.0;21.0;29.0;14.0;6.0;-1.0;-1.0;PHOSPHORIC ACID
29.0;37.0;74.0;129.0;17.0;31.0;36.0;60.0;111.0;181.0;23.0;29.0;16.0;8.0;0.0;0.0;PHOSPHORIC ACID
38.0;52.0;99.0;167.0;24.0;38.0;20.0;33.0;76.0;149.0;25.0;38.0;11.0;9.0;0.0;0.0;PHOSPHORIC ACID
39.0;49.0;100.0;166.0;22.0;35.0;17.0;28.0;78.0;182.0;30.0;47.0;15.0;8.0;2.0;0.0;PHOSPHORIC ACID
38.0;53.0;102.0;162.0;22.0;43.0;17.0;40.0;102.0;204.0;29.0;46.0;15.0;9.0;3.0;0.0;PHOSPHORIC ACID
42.0;54.0;103.0;169.0;25.0;45.0;17.0;80.0;126.0;199.0;30.0;49.0;15.0;6.0;3.0;0.0;PHOSPHORIC ACID
29.0;32.0;72.0;130.0;17.0;40.0;14.0;30.0;79.0;154.0;26.0;41.0;20.0;7.0;3.0;0.0;PHOSPHORIC ACID
36.0;46.0;86.0;142.0;20.0;35.0;16.0;40.0;116.0;196.0;27.0;35.0;13.0;14.0;3.0;0.0;PHOSPHORIC ACID
36.0;41.0;83.0;140.0;18.0;34.0;16.0;73.0;111.0;174.0;23.0;32.0;13.0;15.0;3.0;-1.0;PHOSPHORIC ACID
25.0;31.0;63.0;108.0;14.0;25.0;23.0;44.0;111.0;131.0;21.0;33.0;8.0;12.0;3.0;-1.0;PHOSPHORIC ACID
27.0;32.0;66.0;130.0;17.0;25.0;46.0;73.0;98.0;170.0;20.0;33.0;8.0;9.0;3.0;-1.0;PHOSPHORIC ACID
38.0;48.0;86.0;146.0;19.0;33.0;54.0;93.0;151.0;198.0;27.0;32.0;8.0;9.0;3.0;0.0;PHOSPHORIC ACID
44.0;59.0;97.0;172.0;25.0;41.0;46.0;80.0;131.0;185.0;26.0;39.0;8.0;8.0;-5.0;0.0;PHOSPHORIC ACID
46.0;58.0;113.0;178.0;27.0;40.0;25.0;53.0;112.0;204.0;33.0;43.0;13.0;8.0;-5.0;0.0;PHOSPHORIC ACID
45.0;59.0;118.0;206.0;29.0;44.0;28.0;53.0;114.0;201.0;31.0;48.0;13.0;11.0;2.0;-2.0;PHOSPHORIC ACID
31.0;44.0;93.0;151.0;23.0;40.0;34.0;65.0;131.0;225.0;31.0;45.0;24.0;8.0;2.0;1.0;PHOSPHORIC ACID
71.0;99.0;170.0;268.0;38.0;61.0;63.0;112.0;197.0;327.0;41.0;61.0;11.0;10.0;2.0;1.0;PHOSPHORIC ACID
39.0;60.0;136.0;197.0;31.0;49.0;33.0;66.0;150.0;275.0;38.0;52.0;23.0;8.0;2.0;0.0;PHOSPHORIC ACID
62.0;93.0;162.0;257.0;38.0;63.0;43.0;83.0;171.0;274.0;39.0;62.0;11.0;9.0;2.0;1.0;PHOSPHORIC ACID
55.0;85.0;157.0;238.0;38.0;58.0;32.0;63.0;139.0;243.0;41.0;59.0;20.0;9.0;-3.0;2.0;PHOSPHORIC ACID
32.0;44.0;102.0;179.0;23.0;42.0;26.0;52.0;112.0;217.0;33.0;48.0;14.0;9.0;-3.0;2.0;PHOSPHORIC ACID
36.0;48.0;90.0;150.0;21.0;33.0;52.0;90.0;146.0;224.0;27.0;34.0;14.0;10.0;-2.0;2.0;PHOSPHORIC ACID
