OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;RED_WINE
0.0;4.0;-30.0;-33.0;-5.0;27.0;13.0;51.0;95.0;177.0;24.0;48.0;20.0;-29.0;27.0;-44.0;RED_WINE
17.0;51.0;95.0;215.0;48.0;97.0;46.0;66.0;120.0;296.0;70.0;128.0;33.0;-31.0;58.0;-103.0;RED_WINE
75.0;155.0;285.0;562.0;102.0;186.0;36.0;121.0;261.0;564.0;115.0;199.0;36.0;-35.0;39.0;-103.0;RED_WINE
122.0;225.0;418.0;880.0;175.0;332.0;136.0;285.0;591.0;1187.0;219.0;360.0;17.0;-35.0;39.0;-103.0;RED_WINE
167.0;332.0;627.0;1228.0;224.0;390.0;162.0;325.0;617.0;1253.0;231.0;376.0;13.0;-31.0;36.0;-62.0;RED_WINE
200.0;389.0;710.0;1356.0;229.0;353.0;131.0;274.0;557.0;1084.0;193.0;319.0;15.0;-19.0;30.0;-56.0;RED_WINE
169.0;317.0;589.0;1047.0;183.0;281.0;87.0;190.0;380.0;810.0;149.0;236.0;15.0;-19.0;30.0;-56.0;RED_WINE
131.0;242.0;410.0;801.0;131.0;353.0;94.0;171.0;557.0;1084.0;193.0;203.0;29.0;-19.0;30.0;-56.0;RED_WINE
169.0;210.0;405.0;867.0;189.0;412.0;202.0;408.0;793.0;1581.0;299.0;524.0;57.0;-78.0;143.0;-273.0;RED_WINE
304.0;585.0;1108.0;2141.0;393.0;663.0;340.0;649.0;1222.0;2292.0;417.0;691.0;54.0;-86.0;172.0;-310.0;RED_WINE
393.0;739.0;1400.0;2761.0;503.0;874.0;447.0;861.0;1620.0;3031.0;549.0;902.0;60.0;-86.0;193.0;-310.0;RED_WINE
523.0;988.0;1853.0;3531.0;616.0;995.0;487.0;927.0;1776.0;3365.0;586.0;961.0;51.0;-86.0;142.0;-310.0;RED_WINE
546.0;1043.0;1935.0;3597.0;630.0;990.0;459.0;897.0;1764.0;3313.0;584.0;949.0;51.0;-67.0;127.0;-264.0;RED_WINE
545.0;1030.0;1911.0;3580.0;618.0;982.0;509.0;982.0;1815.0;3335.0;587.0;939.0;22.0;-65.0;93.0;-218.0;RED_WINE
553.0;1017.0;1888.0;3461.0;589.0;915.0;457.0;897.0;1685.0;3162.0;546.0;853.0;27.0;-59.0;89.0;-196.0;RED_WINE
503.0;949.0;1704.0;3140.0;540.0;833.0;416.0;789.0;1457.0;2702.0;478.0;756.0;22.0;-59.0;75.0;-193.0;RED_WINE
436.0;815.0;1497.0;2788.0;480.0;750.0;400.0;741.0;1380.0;2549.0;441.0;711.0;32.0;-62.0;98.0;-193.0;RED_WINE
421.0;799.0;1484.0;2726.0;463.0;742.0;389.0;716.0;1346.0;2502.0;445.0;716.0;32.0;-62.0;104.0;-193.0;RED_WINE
412.0;782.0;1454.0;2714.0;465.0;763.0;426.0;799.0;1471.0;2650.0;456.0;737.0;44.0;-67.0;118.0;-229.0;RED_WINE
436.0;818.0;1524.0;2821.0;496.0;800.0;451.0;837.0;1573.0;2871.0;494.0;793.0;42.0;-80.0;146.0;-280.0;RED_WINE
465.0;884.0;1657.0;3060.0;538.0;887.0;494.0;944.0;1739.0;3147.0;543.0;875.0;52.0;-82.0;172.0;-310.0;RED_WINE
