OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;RED_WINE
49.0;89.0;165.0;324.0;58.0;123.0;63.0;133.0;234.0;460.0;86.0;144.0;4.0;-20.0;52.0;-54.0;RED_WINE
77.0;154.0;278.0;545.0;96.0;168.0;86.0;163.0;309.0;528.0;99.0;164.0;4.0;-20.0;36.0;-54.0;RED_WINE
94.0;177.0;328.0;657.0;103.0;186.0;94.0;177.0;306.0;572.0;108.0;164.0;7.0;-20.0;1.0;20.0;RED_WINE
75.0;160.0;289.0;541.0;84.0;135.0;51.0;112.0;203.0;394.0;70.0;113.0;7.0;-8.0;-2.0;47.0;RED_WINE
63.0;113.0;203.0;383.0;54.0;89.0;29.0;69.0;131.0;276.0;52.0;100.0;4.0;-8.0;-6.0;47.0;RED_WINE
7.0;58.0;48.0;175.0;32.0;53.0;43.0;68.0;103.0;171.0;30.0;54.0;12.0;-19.0;25.0;-56.0;RED_WINE
26.0;32.0;100.0;175.0;22.0;52.0;43.0;68.0;103.0;146.0;32.0;65.0;12.0;-57.0;114.0;-196.0;RED_WINE
26.0;47.0;100.0;230.0;66.0;162.0;95.0;177.0;313.0;655.0;127.0;236.0;55.0;-130.0;284.0;-508.0;RED_WINE
134.0;251.0;488.0;948.0;191.0;362.0;196.0;374.0;690.0;1339.0;246.0;430.0;86.0;-153.0;359.0;-659.0;RED_WINE
247.0;472.0;880.0;1678.0;313.0;540.0;304.0;557.0;1012.0;1926.0;348.0;587.0;101.0;-192.0;433.0;-773.0;RED_WINE
332.0;621.0;1164.0;2212.0;400.0;674.0;364.0;676.0;1242.0;2348.0;425.0;705.0;102.0;-205.0;441.0;-807.0;RED_WINE
401.0;749.0;1392.0;2609.0;475.0;788.0;408.0;778.0;1421.0;2664.0;481.0;796.0;115.0;-205.0;450.0;-843.0;RED_WINE
465.0;861.0;1608.0;2988.0;534.0;880.0;469.0;866.0;1579.0;2980.0;535.0;883.0;127.0;-227.0;494.0;-926.0;RED_WINE
505.0;938.0;1772.0;3282.0;591.0;960.0;539.0;991.0;1795.0;3331.0;587.0;957.0;134.0;-229.0;501.0;-926.0;RED_WINE
577.0;1063.0;1979.0;3621.0;635.0;1027.0;564.0;1044.0;1934.0;3604.0;633.0;1027.0;121.0;-229.0;487.0;-926.0;RED_WINE
624.0;1131.0;2120.0;3846.0;668.0;1074.0;604.0;1116.0;2006.0;3708.0;647.0;1055.0;120.0;-233.0;456.0;-922.0;RED_WINE
627.0;1153.0;2141.0;3927.0;681.0;1092.0;627.0;1147.0;2103.0;3803.0;659.0;1075.0;131.0;-229.0;477.0;-905.0;RED_WINE
644.0;1199.0;2209.0;4011.0;698.0;1118.0;614.0;1136.0;2083.0;3890.0;674.0;1097.0;130.0;-226.0;476.0;-900.0;RED_WINE
662.0;1222.0;2261.0;4081.0;714.0;1153.0;646.0;1183.0;2166.0;3993.0;693.0;1133.0;120.0;-224.0;465.0;-900.0;RED_WINE
705.0;1276.0;2322.0;4264.0;739.0;1177.0;676.0;1237.0;2254.0;4081.0;719.0;1160.0;119.0;-223.0;459.0;-900.0;RED_WINE
708.0;1279.0;2369.0;4322.0;750.0;1207.0;678.0;1251.0;2271.0;4222.0;735.0;1173.0;110.0;-206.0;421.0;-833.0;RED_WINE
728.0;1334.0;2460.0;4424.0;763.0;1212.0;682.0;1255.0;2286.0;4188.0;720.0;1177.0;102.0;-205.0;387.0;-833.0;RED_WINE
720.0;1319.0;2424.0;4417.0;755.0;1205.0;686.0;1258.0;2304.0;4186.0;721.0;1153.0;115.0;-205.0;417.0;-833.0;RED_WINE
736.0;1347.0;2446.0;4400.0;746.0;1187.0;674.0;1233.0;2246.0;4157.0;717.0;1157.0;120.0;-205.0;466.0;-877.0;RED_WINE
739.0;1338.0;2421.0;4389.0;759.0;1211.0;717.0;1287.0;2329.0;4268.0;740.0;1193.0;129.0;-231.0;505.0;-962.0;RED_WINE
763.0;1385.0;2512.0;4517.0;782.0;1252.0;742.0;1339.0;2449.0;4434.0;767.0;1243.0;146.0;-248.0;549.0;-1038.0;RED_WINE
792.0;1425.0;2617.0;4713.0;815.0;1317.0;781.0;1414.0;2561.0;4685.0;813.0;1310.0;140.0;-265.0;572.0;-1062.0;RED_WINE
856.0;1540.0;2766.0;5029.0;868.0;1386.0;799.0;1465.0;2666.0;4902.0;849.0;1370.0;135.0;-265.0;575.0;-1062.0;RED_WINE
853.0;1569.0;2832.0;5211.0;900.0;1442.0;838.0;1541.0;2793.0;5056.0;880.0;1409.0;134.0;-265.0;555.0;-1062.0;RED_WINE
893.0;1626.0;2976.0;5385.0;930.0;1483.0;864.0;1579.0;2872.0;5198.0;903.0;1437.0;129.0;-259.0;540.0;-989.0;RED_WINE
913.0;1663.0;3035.0;5501.0;933.0;1493.0;873.0;1576.0;2872.0;5258.0;913.0;1439.0;111.0;-219.0;452.0;-882.0;RED_WINE
919.0;1675.0;3032.0;5480.0;937.0;1478.0;864.0;1592.0;2898.0;5167.0;885.0;1416.0;113.0;-204.0;434.0;-819.0;RED_WINE
917.0;1667.0;3018.0;5427.0;917.0;1445.0;825.0;1526.0;2756.0;5076.0;870.0;1394.0;103.0;-193.0;353.0;-742.0;RED_WINE
895.0;1614.0;2940.0;5237.0;892.0;1404.0;799.0;1474.0;2694.0;4889.0;836.0;1336.0;85.0;-193.0;350.0;-742.0;RED_WINE
849.0;1530.0;2807.0;5036.0;867.0;1362.0;820.0;1480.0;2653.0;4810.0;820.0;1313.0;95.0;-193.0;375.0;-742.0;RED_WINE
861.0;1555.0;2810.0;5008.0;857.0;1352.0;800.0;1466.0;2627.0;4794.0;818.0;1314.0;96.0;-196.0;403.0;-784.0;RED_WINE
846.0;1550.0;2812.0;5065.0;857.0;1371.0;808.0;1473.0;2647.0;4832.0;824.0;1325.0;93.0;-198.0;427.0;-815.0;RED_WINE
862.0;1558.0;2818.0;5048.0;869.0;1392.0;815.0;1494.0;2694.0;4926.0;839.0;1361.0;106.0;-217.0;438.0;-856.0;RED_WINE
890.0;1616.0;2926.0;5234.0;899.0;1445.0;868.0;1568.0;2843.0;5130.0;890.0;1432.0;122.0;-222.0;498.0;-946.0;RED_WINE
945.0;1688.0;3077.0;5507.0;942.0;1507.0;903.0;1638.0;2988.0;5377.0;925.0;1481.0;136.0;-222.0;520.0;-946.0;RED_WINE
982.0;1762.0;3197.0;5738.0;981.0;1564.0;927.0;1683.0;3081.0;5579.0;954.0;1538.0;127.0;-222.0;501.0;-946.0;RED_WINE
1027.0;1874.0;3371.0;5943.0;1016.0;1607.0;946.0;1724.0;3146.0;5736.0;986.0;1578.0;117.0;-227.0;455.0;-936.0;RED_WINE
1040.0;1873.0;3397.0;6028.0;1026.0;1605.0;989.0;1782.0;3194.0;5743.0;984.0;1567.0;122.0;-227.0;472.0;-936.0;RED_WINE
1014.0;1842.0;3360.0;5998.0;1025.0;1619.0;983.0;1782.0;3196.0;5798.0;985.0;1577.0;125.0;-238.0;484.0;-936.0;RED_WINE
1061.0;1890.0;3381.0;6061.0;1041.0;1647.0;995.0;1822.0;3278.0;5861.0;1006.0;1625.0;126.0;-238.0;543.0;-1009.0;RED_WINE
1084.0;1949.0;3520.0;6270.0;1067.0;1691.0;1030.0;1878.0;3382.0;6125.0;1041.0;1672.0;126.0;-244.0;542.0;-1063.0;RED_WINE
1088.0;1985.0;3581.0;6425.0;1101.0;1739.0;1051.0;1921.0;3513.0;6288.0;1071.0;1709.0;137.0;-274.0;581.0;-1097.0;RED_WINE
1154.0;2093.0;3759.0;6644.0;1131.0;1785.0;1082.0;1982.0;3538.0;6416.0;1089.0;1747.0;159.0;-280.0;590.0;-1109.0;RED_WINE
1171.0;2109.0;3806.0;6785.0;1163.0;1833.0;1145.0;2079.0;3722.0;6672.0;1136.0;1798.0;156.0;-280.0;605.0;-1109.0;RED_WINE
1175.0;2144.0;3888.0;6932.0;1189.0;1865.0;1142.0;2081.0;3749.0;6765.0;1144.0;1822.0;142.0;-280.0;600.0;-1109.0;RED_WINE
1199.0;2192.0;3979.0;7047.0;1204.0;1892.0;1145.0;2106.0;3806.0;6880.0;1167.0;1855.0;148.0;-275.0;579.0;-1109.0;RED_WINE
1227.0;2226.0;4036.0;7140.0;1220.0;1909.0;1183.0;2155.0;3852.0;6928.0;1175.0;1871.0;134.0;-275.0;574.0;-1109.0;RED_WINE
1238.0;2239.0;4037.0;7166.0;1219.0;1934.0;1186.0;2158.0;3925.0;7003.0;1186.0;1893.0;152.0;-275.0;590.0;-1113.0;RED_WINE
1286.0;2320.0;4168.0;7376.0;1245.0;1967.0;1193.0;2153.0;3930.0;7074.0;1206.0;1909.0;155.0;-292.0;617.0;-1160.0;RED_WINE
1283.0;2312.0;4182.0;7429.0;1269.0;1993.0;1255.0;2263.0;4094.0;7280.0;1229.0;1948.0;154.0;-302.0;645.0;-1208.0;RED_WINE
1317.0;2371.0;4312.0;7645.0;1287.0;2035.0;1277.0;2314.0;4166.0;7429.0;1267.0;1993.0;171.0;-307.0;668.0;-1244.0;RED_WINE
1380.0;2478.0;4482.0;7827.0;1325.0;2083.0;1309.0;2359.0;4255.0;7573.0;1285.0;2014.0;158.0;-307.0;660.0;-1257.0;RED_WINE
1379.0;2480.0;4455.0;7890.0;1337.0;2095.0;1301.0;2375.0;4285.0;7703.0;1299.0;2061.0;174.0;-307.0;672.0;-1263.0;RED_WINE
1403.0;2526.0;4527.0;8013.0;1359.0;2131.0;1328.0;2414.0;4366.0;7796.0;1325.0;2092.0;179.0;-307.0;680.0;-1266.0;RED_WINE
1438.0;2599.0;4679.0;8255.0;1387.0;2173.0;1337.0;2431.0;4413.0;7922.0;1342.0;2134.0;181.0;-309.0;666.0;-1263.0;RED_WINE
1436.0;2605.0;4699.0;8287.0;1394.0;2201.0;1389.0;2484.0;4480.0;8000.0;1360.0;2130.0;174.0;-303.0;674.0;-1263.0;RED_WINE
1466.0;2639.0;4732.0;8348.0;1415.0;2225.0;1415.0;2548.0;4563.0;8124.0;1364.0;2156.0;160.0;-308.0;646.0;-1259.0;RED_WINE
1491.0;2670.0;4776.0;8445.0;1430.0;2236.0;1418.0;2564.0;4616.0;8141.0;1385.0;2179.0;171.0;-308.0;662.0;-1259.0;RED_WINE
1517.0;2718.0;4870.0;8561.0;1444.0;2259.0;1465.0;2653.0;4755.0;8411.0;1408.0;2215.0;170.0;-306.0;668.0;-1259.0;RED_WINE
1530.0;2742.0;4937.0;8655.0;1459.0;2272.0;1460.0;2642.0;4739.0;8444.0;1417.0;2219.0;170.0;-306.0;678.0;-1267.0;RED_WINE
1537.0;2771.0;4948.0;8734.0;1472.0;2301.0;1476.0;2647.0;4770.0;8466.0;1428.0;2244.0;165.0;-306.0;673.0;-1267.0;RED_WINE
1555.0;2804.0;5013.0;8830.0;1488.0;2326.0;1471.0;2661.0;4789.0;8528.0;1448.0;2283.0;169.0;-306.0;663.0;-1271.0;RED_WINE
1561.0;2815.0;5079.0;8912.0;1496.0;2343.0;1466.0;2671.0;4816.0;8582.0;1456.0;2287.0;165.0;-302.0;667.0;-1267.0;RED_WINE
1593.0;2854.0;5105.0;8961.0;1516.0;2370.0;1528.0;2741.0;4944.0;8737.0;1470.0;2311.0;155.0;-297.0;663.0;-1248.0;RED_WINE
1600.0;2880.0;5151.0;9185.0;1528.0;2381.0;1532.0;2757.0;4936.0;8807.0;1468.0;2310.0;158.0;-293.0;627.0;-1197.0;RED_WINE
1609.0;2901.0;5185.0;9081.0;1535.0;2369.0;1518.0;2738.0;4953.0;8765.0;1471.0;2311.0;157.0;-274.0;602.0;-1128.0;RED_WINE
1606.0;2881.0;5165.0;9051.0;1512.0;2345.0;1485.0;2696.0;4833.0;8599.0;1451.0;2269.0;149.0;-270.0;592.0;-1087.0;RED_WINE
1555.0;2797.0;5048.0;8898.0;1501.0;2321.0;1491.0;2677.0;4786.0;8500.0;1428.0;2250.0;114.0;-217.0;510.0;-910.0;RED_WINE
1584.0;2829.0;5040.0;8804.0;1470.0;2273.0;1461.0;2627.0;4690.0;8278.0;1395.0;2187.0;98.0;-217.0;418.0;-858.0;RED_WINE
1533.0;2717.0;4874.0;8516.0;1428.0;2208.0;1407.0;2546.0;4557.0;8067.0;1352.0;2124.0;121.0;-217.0;419.0;-858.0;RED_WINE
1494.0;2668.0;4767.0;8320.0;1380.0;2147.0;1371.0;2460.0;4428.0;7866.0;1321.0;2075.0;116.0;-210.0;461.0;-858.0;RED_WINE
1477.0;2632.0;4691.0;8206.0;1376.0;2151.0;1388.0;2519.0;4472.0;7846.0;1330.0;2087.0;114.0;-218.0;470.0;-872.0;RED_WINE
1462.0;2621.0;4657.0;8209.0;1372.0;2156.0;1389.0;2514.0;4493.0;7973.0;1336.0;2101.0;118.0;-219.0;476.0;-879.0;RED_WINE
1465.0;2628.0;4705.0;8249.0;1385.0;2149.0;1370.0;2475.0;4453.0;7869.0;1321.0;2089.0;123.0;-219.0;473.0;-879.0;RED_WINE
1472.0;2625.0;4694.0;8278.0;1386.0;2163.0;1402.0;2506.0;4466.0;7972.0;1339.0;2113.0;113.0;-209.0;473.0;-879.0;RED_WINE
1464.0;2637.0;4736.0;8278.0;1390.0;2154.0;1352.0;2430.0;4407.0;7876.0;1323.0;2084.0;104.0;-194.0;453.0;-835.0;RED_WINE
1455.0;2611.0;4679.0;8167.0;1367.0;2126.0;1373.0;2450.0;4414.0;7789.0;1306.0;2045.0;116.0;-181.0;408.0;-765.0;RED_WINE
1411.0;2531.0;4539.0;7949.0;1338.0;2081.0;1303.0;2346.0;4241.0;7543.0;1279.0;1993.0;97.0;-177.0;359.0;-693.0;RED_WINE
1408.0;2509.0;4469.0;7816.0;1301.0;2031.0;1295.0;2334.0;4185.0;7412.0;1236.0;1942.0;94.0;-172.0;366.0;-693.0;RED_WINE
1337.0;2397.0;4279.0;7565.0;1261.0;1968.0;1242.0;2235.0;3973.0;7068.0;1199.0;1890.0;84.0;-172.0;375.0;-693.0;RED_WINE
1317.0;2361.0;4206.0;7379.0;1231.0;1938.0;1239.0;2239.0;3997.0;7094.0;1195.0;1889.0;101.0;-172.0;387.0;-730.0;RED_WINE
1312.0;2350.0;4191.0;7332.0;1240.0;1952.0;1252.0;2254.0;4022.0;7175.0;1206.0;1911.0;104.0;-194.0;426.0;-806.0;RED_WINE
1327.0;2380.0;4256.0;7470.0;1249.0;1980.0;1278.0;2302.0;4143.0;7276.0;1224.0;1944.0;121.0;-211.0;477.0;-842.0;RED_WINE
1346.0;2422.0;4336.0;7655.0;1282.0;2014.0;1283.0;2319.0;4191.0;7401.0;1250.0;1967.0;120.0;-211.0;479.0;-842.0;RED_WINE
1370.0;2430.0;4427.0;7742.0;1299.0;2047.0;1321.0;2398.0;4259.0;7557.0;1268.0;1992.0;118.0;-211.0;473.0;-842.0;RED_WINE
1388.0;2477.0;4432.0;7889.0;1322.0;2072.0;1278.0;2340.0;4213.0;7526.0;1268.0;2005.0;118.0;-204.0;469.0;-832.0;RED_WINE
