OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;SODIUM HYDROXIDE
12.0;30.0;35.0;67.0;9.0;13.0;-9.0;-12.0;-25.0;-35.0;5.0;7.0;-1.0;-2.0;-4.0;-6.0;SODIUM HYDROXIDE
19.0;30.0;45.0;85.0;10.0;12.0;-2.0;-8.0;-19.0;-23.0;5.0;11.0;2.0;0.0;-2.0;-6.0;SODIUM HYDROXIDE
18.0;31.0;50.0;96.0;12.0;20.0;-2.0;-8.0;-19.0;-23.0;6.0;11.0;6.0;0.0;1.0;-10.0;SODIUM HYDROXIDE
31.0;54.0;95.0;174.0;25.0;34.0;12.0;18.0;12.0;39.0;18.0;29.0;9.0;-2.0;12.0;-28.0;SODIUM HYDROXIDE
40.0;67.0;120.0;213.0;31.0;50.0;12.0;18.0;32.0;160.0;28.0;38.0;8.0;-6.0;12.0;-28.0;SODIUM HYDROXIDE
50.0;86.0;149.0;232.0;38.0;53.0;16.0;27.0;39.0;84.0;25.0;36.0;3.0;-6.0;23.0;-28.0;SODIUM HYDROXIDE
56.0;88.0;141.0;245.0;36.0;49.0;16.0;27.0;32.0;87.0;27.0;34.0;3.0;-8.0;23.0;-35.0;SODIUM HYDROXIDE
36.0;59.0;94.0;146.0;15.0;25.0;32.0;49.0;39.0;114.0;17.0;25.0;-1.0;-8.0;-1.0;-25.0;SODIUM HYDROXIDE
28.0;46.0;67.0;113.0;18.0;29.0;5.0;13.0;32.0;87.0;14.0;27.0;-1.0;-11.0;-1.0;-25.0;SODIUM HYDROXIDE
36.0;59.0;94.0;146.0;19.0;28.0;44.0;72.0;90.0;93.0;15.0;18.0;-1.0;-11.0;23.0;-35.0;SODIUM HYDROXIDE
40.0;64.0;108.0;175.0;29.0;43.0;21.0;44.0;83.0;78.0;20.0;33.0;2.0;-12.0;24.0;-44.0;SODIUM HYDROXIDE
46.0;68.0;114.0;193.0;31.0;46.0;47.0;74.0;113.0;167.0;27.0;36.0;2.0;-12.0;23.0;-44.0;SODIUM HYDROXIDE
65.0;111.0;198.0;325.0;48.0;69.0;36.0;44.0;83.0;154.0;37.0;57.0;2.0;-9.0;29.0;-44.0;SODIUM HYDROXIDE
60.0;108.0;193.0;325.0;49.0;74.0;66.0;106.0;160.0;224.0;42.0;64.0;2.0;-7.0;17.0;-44.0;SODIUM HYDROXIDE
65.0;114.0;203.0;346.0;55.0;79.0;36.0;66.0;127.0;254.0;46.0;69.0;8.0;-7.0;24.0;-38.0;SODIUM HYDROXIDE
68.0;124.0;222.0;383.0;56.0;82.0;38.0;60.0;160.0;209.0;46.0;72.0;13.0;-7.0;28.0;-38.0;SODIUM HYDROXIDE
88.0;150.0;272.0;451.0;72.0;103.0;68.0;114.0;189.0;295.0;58.0;87.0;8.0;-6.0;24.0;-38.0;SODIUM HYDROXIDE
83.0;147.0;255.0;429.0;71.0;102.0;89.0;151.0;238.0;368.0;58.0;92.0;14.0;-6.0;22.0;-41.0;SODIUM HYDROXIDE
