OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;SODIUM HYDROXIDE
-5.0;-11.0;-22.0;-43.0;-6.0;-12.0;-6.0;-10.0;-16.0;-20.0;-2.0;-3.0;-1.0;-7.0;1.0;-5.0;SODIUM HYDROXIDE
0.0;0.0;-2.0;-6.0;0.0;-1.0;-6.0;-9.0;-11.0;-11.0;-2.0;-1.0;-2.0;-8.0;3.0;-7.0;SODIUM HYDROXIDE
4.0;2.0;11.0;7.0;5.0;1.0;-5.0;-8.0;-11.0;-4.0;0.0;0.0;-6.0;-8.0;3.0;-7.0;SODIUM HYDROXIDE
2.0;6.0;7.0;19.0;4.0;4.0;-5.0;-6.0;-8.0;1.0;1.0;6.0;-3.0;-7.0;3.0;-7.0;SODIUM HYDROXIDE
79.0;159.0;308.0;596.0;103.0;164.0;55.0;109.0;227.0;454.0;84.0;142.0;4.0;-6.0;23.0;-35.0;SODIUM HYDROXIDE
108.0;216.0;415.0;795.0;139.0;215.0;74.0;148.0;306.0;601.0;111.0;190.0;9.0;-6.0;19.0;-47.0;SODIUM HYDROXIDE
136.0;264.0;514.0;965.0;166.0;261.0;88.0;178.0;374.0;732.0;134.0;232.0;9.0;-8.0;28.0;-58.0;SODIUM HYDROXIDE
155.0;301.0;580.0;1098.0;189.0;298.0;102.0;206.0;426.0;835.0;152.0;259.0;14.0;-8.0;34.0;-62.0;SODIUM HYDROXIDE
167.0;326.0;630.0;1176.0;205.0;321.0;112.0;230.0;465.0;923.0;168.0;286.0;9.0;-11.0;29.0;-70.0;SODIUM HYDROXIDE
175.0;343.0;660.0;1244.0;216.0;344.0;125.0;253.0;511.0;997.0;180.0;303.0;9.0;-11.0;27.0;-70.0;SODIUM HYDROXIDE
197.0;385.0;732.0;1369.0;236.0;375.0;141.0;283.0;566.0;1085.0;194.0;329.0;9.0;-8.0;27.0;-70.0;SODIUM HYDROXIDE
215.0;418.0;791.0;1473.0;251.0;392.0;147.0;293.0;584.0;1127.0;199.0;335.0;9.0;-8.0;24.0;-50.0;SODIUM HYDROXIDE
188.0;363.0;687.0;1280.0;220.0;354.0;135.0;270.0;538.0;1036.0;184.0;309.0;11.0;-7.0;21.0;-27.0;SODIUM HYDROXIDE
187.0;365.0;695.0;1274.0;220.0;355.0;137.0;274.0;550.0;1053.0;186.0;314.0;5.0;0.0;4.0;-18.0;SODIUM HYDROXIDE
197.0;379.0;717.0;1333.0;228.0;368.0;134.0;277.0;555.0;1070.0;193.0;325.0;7.0;8.0;6.0;-16.0;SODIUM HYDROXIDE
205.0;396.0;754.0;1389.0;237.0;376.0;140.0;284.0;577.0;1102.0;195.0;328.0;5.0;7.0;4.0;-8.0;SODIUM HYDROXIDE
186.0;365.0;691.0;1289.0;224.0;362.0;139.0;278.0;562.0;1080.0;191.0;325.0;2.0;7.0;2.0;-8.0;SODIUM HYDROXIDE
194.0;374.0;715.0;1313.0;229.0;368.0;143.0;291.0;575.0;1099.0;195.0;328.0;2.0;7.0;2.0;1.0;SODIUM HYDROXIDE
204.0;395.0;757.0;1394.0;241.0;389.0;155.0;307.0;611.0;1167.0;208.0;355.0;-1.0;5.0;2.0;-2.0;SODIUM HYDROXIDE
220.0;429.0;816.0;1507.0;259.0;413.0;159.0;320.0;640.0;1226.0;220.0;370.0;-2.0;5.0;-7.0;-2.0;SODIUM HYDROXIDE
227.0;441.0;841.0;1546.0;267.0;427.0;168.0;340.0;673.0;1291.0;227.0;381.0;-2.0;5.0;-7.0;-2.0;SODIUM HYDROXIDE
231.0;451.0;858.0;1580.0;273.0;441.0;174.0;348.0;698.0;1332.0;235.0;396.0;-1.0;4.0;-7.0;-4.0;SODIUM HYDROXIDE
249.0;484.0;918.0;1695.0;287.0;460.0;184.0;367.0;731.0;1407.0;248.0;417.0;-1.0;3.0;-6.0;-11.0;SODIUM HYDROXIDE
252.0;489.0;931.0;1726.0;297.0;473.0;189.0;382.0;760.0;1447.0;258.0;426.0;2.0;1.0;-6.0;-15.0;SODIUM HYDROXIDE
270.0;520.0;988.0;1820.0;312.0;498.0;203.0;407.0;803.0;1524.0;268.0;444.0;10.0;2.0;-3.0;-16.0;SODIUM HYDROXIDE
282.0;546.0;1030.0;1898.0;320.0;512.0;209.0;415.0;823.0;1565.0;279.0;466.0;19.0;1.0;9.0;-24.0;SODIUM HYDROXIDE
296.0;572.0;1083.0;1998.0;339.0;535.0;219.0;434.0;871.0;1636.0;288.0;483.0;10.0;-2.0;14.0;-26.0;SODIUM HYDROXIDE
299.0;576.0;1089.0;1992.0;340.0;543.0;227.0;453.0;891.0;1688.0;297.0;492.0;11.0;-1.0;17.0;-28.0;SODIUM HYDROXIDE
320.0;615.0;1161.0;2108.0;362.0;568.0;227.0;453.0;904.0;1720.0;307.0;512.0;9.0;-1.0;12.0;-28.0;SODIUM HYDROXIDE
330.0;629.0;1182.0;2156.0;367.0;582.0;237.0;475.0;936.0;1793.0;317.0;526.0;15.0;-1.0;14.0;-28.0;SODIUM HYDROXIDE
339.0;650.0;1228.0;2238.0;378.0;597.0;246.0;492.0;962.0;1846.0;325.0;542.0;13.0;-1.0;14.0;-26.0;SODIUM HYDROXIDE
361.0;691.0;1301.0;2351.0;393.0;620.0;260.0;518.0;1015.0;1918.0;339.0;559.0;9.0;5.0;5.0;-12.0;SODIUM HYDROXIDE
357.0;681.0;1265.0;2316.0;390.0;620.0;255.0;507.0;996.0;1891.0;337.0;558.0;5.0;7.0;-3.0;-12.0;SODIUM HYDROXIDE
351.0;673.0;1268.0;2312.0;390.0;617.0;262.0;525.0;1017.0;1926.0;337.0;558.0;2.0;8.0;-3.0;-9.0;SODIUM HYDROXIDE
