OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;UREA
77.0;80.0;111.0;135.0;5.0;19.0;40.0;35.0;198.0;174.0;8.0;17.0;12.0;12.0;-2.0;22.0;UREA
77.0;107.0;138.0;135.0;17.0;19.0;81.0;100.0;148.0;160.0;10.0;17.0;21.0;16.0;-2.0;30.0;UREA
138.0;80.0;111.0;339.0;17.0;41.0;81.0;100.0;101.0;187.0;10.0;17.0;20.0;16.0;-2.0;17.0;UREA
121.0;129.0;221.0;314.0;8.0;38.0;47.0;45.0;101.0;282.0;10.0;29.0;20.0;21.0;-2.0;17.0;UREA
90.0;105.0;165.0;140.0;10.0;27.0;36.0;32.0;65.0;135.0;7.0;18.0;22.0;21.0;-6.0;17.0;UREA
47.0;48.0;-2.0;-17.0;2.0;-4.0;35.0;42.0;91.0;61.0;-8.0;3.0;15.0;20.0;7.0;16.0;UREA
62.0;93.0;-2.0;-17.0;3.0;-4.0;96.0;42.0;149.0;84.0;-8.0;3.0;26.0;18.0;4.0;26.0;UREA
47.0;93.0;65.0;31.0;3.0;-4.0;48.0;42.0;60.0;84.0;-8.0;7.0;23.0;14.0;7.0;17.0;UREA
79.0;125.0;86.0;98.0;28.0;12.0;106.0;132.0;174.0;98.0;10.0;16.0;23.0;18.0;7.0;21.0;UREA
75.0;108.0;93.0;74.0;26.0;8.0;65.0;84.0;134.0;126.0;12.0;15.0;18.0;14.0;14.0;21.0;UREA
