OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;UREA
36.0;70.0;135.0;243.0;42.0;63.0;16.0;36.0;74.0;162.0;33.0;53.0;4.0;5.0;7.0;11.0;UREA
47.0;90.0;179.0;326.0;56.0;90.0;27.0;61.0;125.0;251.0;48.0;80.0;0.0;5.0;11.0;17.0;UREA
59.0;118.0;232.0;418.0;73.0;116.0;39.0;83.0;167.0;333.0;63.0;107.0;-5.0;8.0;15.0;19.0;UREA
76.0;149.0;288.0;520.0;89.0;139.0;45.0;95.0;193.0;402.0;74.0;127.0;-2.0;7.0;11.0;22.0;UREA
85.0;170.0;325.0;588.0;102.0;162.0;53.0;114.0;226.0;485.0;88.0;150.0;-2.0;6.0;9.0;26.0;UREA
94.0;184.0;361.0;655.0;116.0;181.0;59.0;126.0;254.0;516.0;95.0;165.0;-2.0;5.0;9.0;20.0;UREA
105.0;203.0;391.0;722.0;124.0;195.0;66.0;144.0;291.0;575.0;104.0;179.0;-2.0;6.0;9.0;19.0;UREA
107.0;209.0;403.0;736.0;127.0;205.0;68.0;142.0;286.0;580.0;110.0;186.0;-2.0;5.0;16.0;15.0;UREA
106.0;209.0;404.0;740.0;129.0;206.0;72.0;154.0;300.0;601.0;110.0;187.0;2.0;5.0;11.0;18.0;UREA
108.0;213.0;411.0;758.0;132.0;214.0;77.0;158.0;321.0;637.0;116.0;197.0;2.0;5.0;16.0;20.0;UREA
117.0;231.0;445.0;826.0;144.0;229.0;79.0;169.0;339.0;685.0;124.0;214.0;-3.0;5.0;24.0;17.0;UREA
129.0;253.0;483.0;895.0;154.0;248.0;87.0;183.0;366.0;727.0;135.0;228.0;-7.0;11.0;18.0;18.0;UREA
139.0;274.0;525.0;961.0;166.0;261.0;95.0;190.0;372.0;756.0;139.0;239.0;-5.0;12.0;13.0;23.0;UREA
146.0;281.0;544.0;993.0;169.0;269.0;94.0;193.0;391.0;778.0;143.0;244.0;-6.0;10.0;3.0;26.0;UREA
144.0;283.0;542.0;993.0;173.0;273.0;95.0;195.0;393.0;783.0;145.0;248.0;-6.0;9.0;2.0;29.0;UREA
146.0;286.0;549.0;1021.0;177.0;282.0;99.0;206.0;406.0;823.0;153.0;258.0;-5.0;2.0;2.0;24.0;UREA
148.0;286.0;553.0;1044.0;181.0;289.0;101.0;209.0;419.0;844.0;155.0;263.0;-5.0;2.0;4.0;16.0;UREA
158.0;312.0;597.0;1093.0;190.0;297.0;107.0;219.0;439.0;885.0;161.0;274.0;-5.0;2.0;14.0;16.0;UREA
157.0;309.0;585.0;1080.0;188.0;298.0;106.0;219.0;443.0;886.0;159.0;266.0;-3.0;6.0;12.0;15.0;UREA
149.0;292.0;560.0;1006.0;173.0;275.0;96.0;200.0;393.0;771.0;139.0;234.0;-3.0;2.0;12.0;17.0;UREA
107.0;210.0;403.0;745.0;134.0;225.0;79.0;163.0;329.0;649.0;117.0;200.0;-3.0;2.0;8.0;21.0;UREA
95.0;189.0;372.0;687.0;122.0;204.0;71.0;149.0;292.0;579.0;109.0;184.0;-3.0;-2.0;6.0;13.0;UREA
93.0;186.0;361.0;661.0;114.0;193.0;66.0;140.0;274.0;544.0;101.0;172.0;-3.0;2.0;8.0;11.0;UREA
90.0;178.0;344.0;635.0;114.0;191.0;65.0;138.0;278.0;570.0;104.0;181.0;-3.0;-2.0;8.0;11.0;UREA
112.0;218.0;420.0;757.0;129.0;206.0;70.0;145.0;296.0;579.0;104.0;174.0;-3.0;-2.0;10.0;8.0;UREA
75.0;146.0;285.0;537.0;96.0;164.0;56.0;118.0;232.0;459.0;83.0;144.0;3.0;3.0;12.0;8.0;UREA
70.0;140.0;273.0;492.0;90.0;153.0;53.0;117.0;233.0;468.0;82.0;138.0;3.0;3.0;10.0;10.0;UREA
68.0;138.0;270.0;504.0;90.0;155.0;51.0;109.0;213.0;435.0;80.0;137.0;-4.0;2.0;11.0;8.0;UREA
82.0;162.0;312.0;576.0;101.0;170.0;59.0;124.0;251.0;515.0;95.0;163.0;-7.0;3.0;7.0;6.0;UREA
90.0;180.0;363.0;682.0;119.0;190.0;65.0;134.0;271.0;553.0;98.0;172.0;-4.0;2.0;7.0;6.0;UREA
77.0;147.0;291.0;536.0;96.0;161.0;53.0;113.0;222.0;444.0;79.0;136.0;-10.0;4.0;6.0;13.0;UREA
66.0;127.0;249.0;461.0;82.0;140.0;45.0;94.0;187.0;378.0;68.0;113.0;-13.0;4.0;6.0;25.0;UREA
43.0;85.0;164.0;301.0;53.0;95.0;32.0;66.0;129.0;250.0;42.0;71.0;-13.0;6.0;4.0;13.0;UREA
24.0;49.0;100.0;172.0;33.0;61.0;20.0;43.0;84.0;179.0;27.0;46.0;-3.0;6.0;6.0;9.0;UREA
16.0;34.0;66.0;112.0;20.0;40.0;9.0;23.0;49.0;99.0;16.0;24.0;1.0;-1.0;4.0;9.0;UREA
7.0;14.0;34.0;57.0;8.0;20.0;5.0;14.0;28.0;60.0;9.0;10.0;2.0;-1.0;12.0;13.0;UREA
3.0;7.0;18.0;21.0;3.0;10.0;1.0;6.0;9.0;22.0;1.0;1.0;1.0;-2.0;6.0;14.0;UREA
2.0;9.0;7.0;27.0;7.0;8.0;3.0;4.0;13.0;13.0;5.0;7.0;-1.0;-4.0;-3.0;1.0;UREA
0.0;1.0;7.0;16.0;3.0;5.0;2.0;2.0;7.0;12.0;1.0;3.0;-5.0;-4.0;-3.0;1.0;UREA
0.0;1.0;7.0;16.0;3.0;5.0;2.0;4.0;11.0;12.0;2.0;4.0;-8.0;-4.0;11.0;1.0;UREA
