OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;WATER_VAPOR
193.0;393.0;769.0;1469.0;285.0;517.0;372.0;669.0;1249.0;2127.0;367.0;600.0;1.0;-2.0;11.0;-2.0;WATER_VAPOR
361.0;683.0;1272.0;2304.0;406.0;635.0;438.0;804.0;1470.0;2480.0;396.0;617.0;1.0;-2.0;11.0;4.0;WATER_VAPOR
353.0;658.0;1158.0;2085.0;344.0;518.0;365.0;656.0;1198.0;1980.0;312.0;473.0;1.0;2.0;17.0;4.0;WATER_VAPOR
296.0;534.0;945.0;1586.0;262.0;370.0;311.0;557.0;973.0;1563.0;212.0;325.0;1.0;4.0;19.0;7.0;WATER_VAPOR
189.0;350.0;636.0;1076.0;177.0;252.0;260.0;415.0;638.0;942.0;144.0;237.0;0.0;6.0;15.0;6.0;WATER_VAPOR
101.0;306.0;568.0;1047.0;174.0;174.0;202.0;321.0;493.0;726.0;124.0;219.0;0.0;4.0;12.0;1.0;WATER_VAPOR
118.0;249.0;459.0;865.0;153.0;255.0;244.0;410.0;675.0;1026.0;166.0;274.0;0.0;-1.0;15.0;1.0;WATER_VAPOR
155.0;306.0;568.0;1047.0;174.0;273.0;259.0;410.0;677.0;1066.0;172.0;263.0;5.0;-3.0;15.0;1.0;WATER_VAPOR
180.0;328.0;592.0;1022.0;168.0;255.0;236.0;398.0;642.0;980.0;154.0;236.0;0.0;-5.0;20.0;1.0;WATER_VAPOR
174.0;343.0;584.0;977.0;154.0;215.0;185.0;307.0;518.0;812.0;127.0;200.0;5.0;-5.0;16.0;2.0;WATER_VAPOR
122.0;239.0;429.0;723.0;110.0;147.0;158.0;250.0;400.0;566.0;92.0;144.0;3.0;-5.0;17.0;2.0;WATER_VAPOR
98.0;190.0;308.0;521.0;80.0;111.0;142.0;200.0;268.0;335.0;59.0;100.0;3.0;-5.0;17.0;6.0;WATER_VAPOR
23.0;47.0;74.0;137.0;25.0;18.0;91.0;122.0;124.0;108.0;14.0;27.0;3.0;-4.0;17.0;9.0;WATER_VAPOR
23.0;51.0;58.0;97.0;17.0;4.0;37.0;41.0;40.0;11.0;-1.0;21.0;3.0;0.0;4.0;6.0;WATER_VAPOR
12.0;39.0;69.0;97.0;7.0;4.0;37.0;30.0;40.0;11.0;-1.0;21.0;3.0;-4.0;3.0;6.0;WATER_VAPOR
23.0;51.0;69.0;97.0;10.0;4.0;33.0;41.0;40.0;11.0;-1.0;21.0;4.0;-4.0;4.0;6.0;WATER_VAPOR
29.0;64.0;94.0;139.0;10.0;27.0;36.0;49.0;83.0;16.0;2.0;43.0;4.0;-4.0;3.0;-1.0;WATER_VAPOR
135.0;234.0;371.0;586.0;114.0;175.0;113.0;252.0;481.0;735.0;100.0;131.0;56.0;-26.0;251.0;-186.0;WATER_VAPOR
337.0;565.0;935.0;1482.0;255.0;413.0;269.0;512.0;937.0;1428.0;215.0;310.0;159.0;-88.0;677.0;-433.0;WATER_VAPOR
511.0;875.0;1422.0;2342.0;412.0;681.0;473.0;866.0;1535.0;2470.0;349.0;467.0;317.0;-181.0;1498.0;-803.0;WATER_VAPOR
388.0;660.0;1102.0;1904.0;364.0;655.0;455.0;810.0;1395.0;2208.0;313.0;394.0;580.0;-278.0;2754.0;-1312.0;WATER_VAPOR
395.0;673.0;1105.0;1961.0;374.0;640.0;444.0;782.0;1339.0;2046.0;268.0;327.0;735.0;-345.0;3536.0;-1569.0;WATER_VAPOR
111.0;167.0;296.0;689.0;222.0;516.0;391.0;698.0;1173.0;1768.0;212.0;237.0;952.0;-424.0;4542.0;-1927.0;WATER_VAPOR
112.0;167.0;296.0;731.0;206.0;553.0;377.0;653.0;1125.0;1738.0;228.0;282.0;1074.0;-473.0;5130.0;-2163.0;WATER_VAPOR
112.0;155.0;235.0;731.0;265.0;686.0;438.0;770.0;1377.0;2204.0;298.0;360.0;1160.0;-492.0;5433.0;-2249.0;WATER_VAPOR
176.0;266.0;452.0;1035.0;348.0;819.0;512.0;908.0;1572.0;2558.0;369.0;481.0;1238.0;-556.0;5855.0;-2444.0;WATER_VAPOR
176.0;266.0;452.0;820.0;345.0;904.0;681.0;1202.0;2096.0;3155.0;431.0;564.0;1334.0;-578.0;6553.0;-2761.0;WATER_VAPOR
449.0;707.0;1161.0;2307.0;570.0;1210.0;830.0;1460.0;2546.0;4143.0;582.0;797.0;1601.0;-685.0;7539.0;-3178.0;WATER_VAPOR
806.0;1313.0;2121.0;3863.0;832.0;1537.0;1156.0;1994.0;3355.0;5306.0;784.0;1074.0;1735.0;-751.0;8077.0;-3397.0;WATER_VAPOR
