OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;WATER_VAPOR
24.0;49.0;96.0;203.0;46.0;89.0;29.0;62.0;130.0;269.0;52.0;90.0;-3.0;-11.0;-19.0;-10.0;WATER_VAPOR
30.0;59.0;112.0;222.0;46.0;90.0;23.0;51.0;107.0;226.0;44.0;77.0;-3.0;-14.0;-23.0;-9.0;WATER_VAPOR
25.0;50.0;99.0;194.0;40.0;78.0;20.0;47.0;100.0;202.0;40.0;72.0;-5.0;-14.0;-21.0;-2.0;WATER_VAPOR
32.0;64.0;125.0;250.0;48.0;89.0;21.0;51.0;117.0;245.0;47.0;82.0;-5.0;-16.0;-19.0;-9.0;WATER_VAPOR
36.0;71.0;138.0;268.0;50.0;93.0;26.0;59.0;129.0;265.0;50.0;83.0;-3.0;-16.0;-21.0;-9.0;WATER_VAPOR
33.0;66.0;128.0;247.0;47.0;88.0;22.0;51.0;117.0;238.0;44.0;76.0;-3.0;-20.0;-23.0;-9.0;WATER_VAPOR
38.0;75.0;144.0;277.0;52.0;93.0;35.0;70.0;138.0;277.0;48.0;84.0;-3.0;-27.0;-35.0;-46.0;WATER_VAPOR
40.0;77.0;143.0;284.0;52.0;97.0;31.0;68.0;138.0;282.0;53.0;90.0;-3.0;-28.0;-35.0;-55.0;WATER_VAPOR
50.0;99.0;189.0;361.0;68.0;121.0;40.0;87.0;181.0;365.0;67.0;115.0;-4.0;-28.0;-35.0;-67.0;WATER_VAPOR
