OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
140.0;275.0;518.0;975.0;170.0;257.0;104.0;218.0;464.0;863.0;150.0;229.0;-12.0;-6.0;-28.0;-9.0
173.0;333.0;627.0;1181.0;202.0;314.0;155.0;310.0;583.0;1091.0;183.0;286.0;-12.0;-11.0;-29.0;-15.0
214.0;404.0;757.0;1413.0;240.0;365.0;163.0;334.0;668.0;1265.0;219.0;333.0;-12.0;-11.0;-24.0;-19.0
228.0;438.0;816.0;1497.0;258.0;400.0;195.0;388.0;758.0;1393.0;237.0;380.0;-12.0;-12.0;-19.0;-33.0
259.0;496.0;913.0;1689.0;290.0;442.0;201.0;415.0;809.0;1513.0;257.0;409.0;-13.0;-13.0;-19.0;-33.0
289.0;549.0;1021.0;1873.0;315.0;479.0;237.0;475.0;911.0;1660.0;282.0;447.0;-13.0;-13.0;-19.0;-33.0
308.0;580.0;1081.0;1977.0;338.0;513.0;249.0;498.0;967.0;1792.0;307.0;478.0;-13.0;-12.0;-16.0;-38.0
344.0;652.0;1207.0;2200.0;369.0;562.0;286.0;565.0;1083.0;1998.0;339.0;519.0;-13.0;-12.0;-12.0;-42.0
347.0;658.0;1217.0;2207.0;377.0;571.0;270.0;552.0;1078.0;2028.0;344.0;536.0;-13.0;-13.0;-14.0;-43.0
373.0;713.0;1324.0;2399.0;404.0;615.0;304.0;619.0;1192.0;2213.0;368.0;568.0;-11.0;-12.0;-14.0;-45.0
379.0;718.0;1327.0;2467.0;410.0;627.0;317.0;629.0;1190.0;2190.0;374.0;583.0;-14.0;-13.0;-14.0;-45.0
398.0;758.0;1398.0;2537.0;424.0;643.0;317.0;634.0;1218.0;2262.0;383.0;595.0;-14.0;-16.0;-14.0;-43.0
419.0;789.0;1453.0;2618.0;442.0;673.0;347.0;686.0;1329.0;2425.0;407.0;636.0;-14.0;-13.0;-17.0;-38.0
422.0;799.0;1454.0;2658.0;446.0;674.0;345.0;687.0;1320.0;2428.0;406.0;636.0;-15.0;-11.0;-18.0;-33.0
423.0;804.0;1491.0;2669.0;447.0;671.0;344.0;679.0;1299.0;2378.0;405.0;627.0;-16.0;-12.0;-23.0;-29.0
418.0;791.0;1473.0;2642.0;444.0;666.0;362.0;710.0;1356.0;2442.0;405.0;632.0;-16.0;-11.0;-23.0;-29.0
426.0;809.0;1477.0;2656.0;442.0;670.0;358.0;703.0;1335.0;2421.0;407.0;635.0;-15.0;-10.0;-20.0;-28.0
419.0;798.0;1470.0;2652.0;444.0;665.0;348.0;689.0;1325.0;2409.0;401.0;624.0;-15.0;-11.0;-20.0;-28.0
393.0;752.0;1391.0;2519.0;422.0;651.0;352.0;693.0;1318.0;2391.0;395.0;620.0;-16.0;-12.0;-20.0;-30.0
389.0;745.0;1375.0;2472.0;420.0;644.0;327.0;648.0;1266.0;2310.0;389.0;610.0;-11.0;-17.0;-20.0;-35.0
397.0;760.0;1414.0;2539.0;425.0;648.0;336.0;674.0;1294.0;2380.0;393.0;610.0;-14.0;-17.0;-20.0;-39.0
393.0;743.0;1382.0;2506.0;422.0;652.0;355.0;703.0;1321.0;2373.0;402.0;620.0;-14.0;-17.0;-20.0;-44.0
