OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
350.0;570.0;980.0;1500.0;224.0;247.0;260.0;410.0;680.0;1040.0;157.0;243.0;1.0;5.0;1.0;5.0
370.0;600.0;1090.0;1660.0;241.0;279.0;250.0;440.0;700.0;1180.0;165.0;251.0;1.0;6.0;1.0;7.0
380.0;600.0;1060.0;1660.0;240.0;300.0;220.0;350.0;630.0;1110.0;187.0;291.0;1.0;5.0;1.0;11.0
390.0;640.0;1100.0;1770.0;254.0;311.0;260.0;410.0;730.0;1200.0;203.0;315.0;1.0;1.0;1.0;18.0
450.0;760.0;1280.0;1980.0;289.0;345.0;280.0;490.0;860.0;1480.0;229.0;326.0;1.0;1.0;2.0;16.0
460.0;730.0;1280.0;1950.0;287.0;369.0;320.0;550.0;880.0;1420.0;223.0;357.0;-7.0;-1.0;2.0;17.0
450.0;730.0;1290.0;1990.0;296.0;368.0;290.0;490.0;890.0;1440.0;235.0;365.0;-7.0;-1.0;4.0;12.0
460.0;800.0;1360.0;2200.0;323.0;386.0;310.0;520.0;920.0;1470.0;248.0;375.0;5.0;2.0;3.0;19.0
490.0;810.0;1430.0;2290.0;344.0;426.0;370.0;610.0;1060.0;1680.0;269.0;404.0;5.0;3.0;1.0;21.0
510.0;840.0;1500.0;2420.0;364.0;430.0;420.0;680.0;1160.0;1740.0;290.0;430.0;10.0;3.0;1.0;20.0
530.0;890.0;1570.0;2460.0;368.0;459.0;360.0;650.0;1160.0;1900.0;308.0;450.0;4.0;3.0;1.0;19.0
610.0;1040.0;1760.0;2840.0;424.0;505.0;430.0;760.0;1330.0;2130.0;334.0;481.0;2.0;6.0;-2.0;18.0
520.0;900.0;1580.0;2570.0;388.0;473.0;390.0;660.0;1140.0;1860.0;307.0;436.0;2.0;4.0;-2.0;24.0
540.0;910.0;1630.0;2570.0;382.0;483.0;380.0;650.0;1160.0;1900.0;303.0;461.0;0.0;8.0;-2.0;21.0
600.0;970.0;1680.0;2660.0;379.0;489.0;470.0;790.0;1330.0;2190.0;321.0;466.0;1.0;8.0;-1.0;17.0
590.0;950.0;1650.0;2580.0;387.0;496.0;460.0;780.0;1390.0;2230.0;337.0;486.0;1.0;10.0;-2.0;28.0
650.0;1100.0;1850.0;2880.0;438.0;524.0;470.0;780.0;1350.0;2220.0;352.0;512.0;-2.0;10.0;-2.0;26.0
680.0;1120.0;1940.0;3060.0;450.0;548.0;530.0;870.0;1500.0;2360.0;362.0;543.0;-2.0;11.0;-2.0;25.0
660.0;1120.0;1920.0;2970.0;437.0;555.0;470.0;810.0;1420.0;2260.0;363.0;567.0;-4.0;11.0;-8.0;31.0
730.0;1250.0;2070.0;3320.0;491.0;603.0;580.0;960.0;1620.0;2570.0;396.0;573.0;-6.0;10.0;-11.0;29.0
720.0;1190.0;2110.0;3330.0;498.0;622.0;540.0;930.0;1640.0;2720.0;419.0;608.0;-6.0;10.0;-11.0;34.0
790.0;1340.0;2320.0;3630.0;526.0;656.0;580.0;990.0;1730.0;2810.0;427.0;624.0;-6.0;5.0;-9.0;36.0
880.0;1500.0;2500.0;3880.0;569.0;693.0;650.0;1100.0;1890.0;3000.0;468.0;689.0;-10.0;1.0;-9.0;28.0
960.0;1570.0;2720.0;4250.0;623.0;766.0;620.0;1070.0;1870.0;2980.0;488.0;719.0;-7.0;1.0;-9.0;25.0
990.0;1620.0;2810.0;4470.0;654.0;804.0;690.0;1170.0;2060.0;3490.0;542.0;780.0;-7.0;1.0;-5.0;35.0
1050.0;1750.0;2950.0;4770.0;689.0;858.0;810.0;1350.0;2290.0;3680.0;568.0;823.0;-7.0;1.0;-4.0;25.0
1080.0;1810.0;3060.0;4950.0;722.0;886.0;770.0;1330.0;2330.0;3760.0;576.0;841.0;-5.0;5.0;-4.0;39.0
1130.0;1840.0;3160.0;4910.0;707.0;906.0;750.0;1300.0;2250.0;3710.0;580.0;858.0;6.0;11.0;-3.0;40.0
