OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
61.0;122.0;245.0;500.0;91.0;162.0;49.0;105.0;224.0;457.0;94.0;165.0;10.0;-18.0;-7.0;-56.0
102.0;205.0;418.0;840.0;155.0;270.0;85.0;180.0;381.0;771.0;151.0;263.0;13.0;-29.0;15.0;-108.0
154.0;311.0;624.0;1216.0;221.0;366.0;117.0;245.0;519.0;1049.0;197.0;342.0;15.0;-30.0;41.0;-112.0
185.0;371.0;736.0;1422.0;254.0;414.0;132.0;278.0;574.0;1151.0;213.0;368.0;19.0;-33.0;30.0;-118.0
186.0;373.0;744.0;1419.0;255.0;421.0;134.0;284.0;590.0;1184.0;223.0;379.0;22.0;-38.0;53.0;-124.0
199.0;398.0;782.0;1527.0;275.0;452.0;142.0;301.0;627.0;1276.0;242.0;417.0;27.0;-40.0;45.0;-131.0
213.0;428.0;842.0;1640.0;293.0;486.0;157.0;332.0;695.0;1387.0;259.0;446.0;28.0;-40.0;58.0;-146.0
232.0;460.0;917.0;1758.0;315.0;521.0;174.0;362.0;754.0;1495.0;277.0;470.0;19.0;-47.0;45.0;-150.0
243.0;482.0;949.0;1834.0;330.0;548.0;180.0;383.0;785.0;1588.0;293.0;503.0;32.0;-47.0;70.0;-178.0
263.0;524.0;1033.0;1990.0;355.0;588.0;198.0;417.0;853.0;1695.0;314.0;542.0;28.0;-52.0;90.0;-195.0
289.0;576.0;1137.0;2178.0;388.0;636.0;217.0;459.0;947.0;1870.0;346.0;589.0;40.0;-59.0;99.0;-234.0
313.0;630.0;1238.0;2374.0;419.0;687.0;233.0;489.0;1025.0;2034.0;372.0;633.0;31.0;-76.0;111.0;-252.0
335.0;666.0;1317.0;2534.0;446.0;727.0;252.0;526.0;1077.0;2152.0;398.0;669.0;44.0;-77.0;148.0;-296.0
360.0;714.0;1413.0;2685.0;472.0;771.0;271.0;568.0;1166.0;2308.0;423.0;712.0;65.0;-84.0;180.0;-349.0
381.0;759.0;1482.0;2844.0;500.0;819.0;294.0;609.0;1242.0;2445.0;446.0;753.0;59.0;-103.0;214.0;-407.0
405.0;810.0;1585.0;3015.0;528.0;857.0;309.0;639.0;1307.0;2581.0;468.0;791.0;80.0;-110.0;241.0;-434.0
428.0;843.0;1649.0;3122.0;548.0;888.0;318.0;661.0;1338.0;2634.0;482.0;816.0;86.0;-121.0;287.0;-489.0
447.0;881.0;1717.0;3234.0;570.0;926.0;343.0;713.0;1443.0;2822.0;508.0;854.0;115.0;-143.0;373.0;-587.0
468.0;923.0;1817.0;3422.0;600.0;965.0;357.0;735.0;1490.0;2939.0;536.0;892.0;108.0;-156.0;396.0;-627.0
494.0;983.0;1919.0;3621.0;630.0;1013.0;384.0;788.0;1589.0;3095.0;560.0;936.0;104.0;-160.0;403.0;-635.0
521.0;1019.0;1990.0;3753.0;651.0;1040.0;390.0;805.0;1643.0;3186.0;576.0;960.0;116.0;-165.0;412.0;-639.0
539.0;1062.0;2062.0;3876.0;671.0;1071.0;410.0;846.0;1702.0;3307.0;598.0;992.0;106.0;-165.0;448.0;-641.0
553.0;1094.0;2116.0;3973.0;686.0;1100.0;427.0;872.0;1760.0;3392.0;610.0;1017.0;122.0;-160.0;443.0;-641.0
