OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
278.0;502.0;898.0;1612.0;277.0;446.0;204.0;393.0;747.0;1410.0;254.0;426.0;-9.0;-1.0;-14.0;-9.0
270.0;488.0;883.0;1591.0;271.0;444.0;214.0;409.0;772.0;1456.0;258.0;440.0;0.0;4.0;-15.0;-17.0
290.0;521.0;934.0;1656.0;283.0;459.0;215.0;414.0;789.0;1471.0;268.0;445.0;-4.0;4.0;-14.0;-22.0
298.0;539.0;962.0;1696.0;296.0;483.0;236.0;452.0;839.0;1582.0;283.0;472.0;-4.0;-3.0;-14.0;-22.0
309.0;559.0;1004.0;1792.0;307.0;496.0;246.0;474.0;890.0;1659.0;294.0;493.0;-4.0;-3.0;-14.0;-18.0
335.0;597.0;1062.0;1878.0;321.0;516.0;249.0;478.0;902.0;1672.0;300.0;505.0;-4.0;-3.0;-14.0;-18.0
325.0;586.0;1049.0;1864.0;322.0;514.0;239.0;461.0;870.0;1631.0;292.0;489.0;-3.0;-3.0;-14.0;-14.0
318.0;575.0;1028.0;1824.0;313.0;505.0;243.0;470.0;888.0;1656.0;295.0;501.0;-1.0;2.0;-16.0;-15.0
351.0;630.0;1123.0;1985.0;340.0;543.0;268.0;510.0;966.0;1793.0;319.0;531.0;-2.0;2.0;-16.0;-14.0
348.0;622.0;1113.0;1977.0;339.0;537.0;263.0;502.0;946.0;1763.0;314.0;526.0;-2.0;4.0;-15.0;-11.0
335.0;606.0;1084.0;1933.0;328.0;520.0;246.0;476.0;902.0;1669.0;301.0;500.0;-2.0;4.0;-15.0;-11.0
324.0;585.0;1051.0;1870.0;321.0;511.0;243.0;462.0;880.0;1653.0;296.0;501.0;-2.0;4.0;-13.0;-14.0
347.0;623.0;1110.0;1987.0;340.0;547.0;278.0;529.0;992.0;1815.0;327.0;548.0;0.0;0.0;-16.0;-17.0
381.0;687.0;1217.0;2169.0;371.0;586.0;288.0;554.0;1043.0;1937.0;345.0;576.0;-3.0;0.0;-10.0;-20.0
405.0;722.0;1278.0;2240.0;381.0;609.0;306.0;583.0;1094.0;2021.0;359.0;601.0;1.0;2.0;-15.0;-16.0
406.0;726.0;1282.0;2279.0;385.0;615.0;313.0;593.0;1108.0;2019.0;361.0;599.0;1.0;2.0;-15.0;-16.0
422.0;754.0;1331.0;2329.0;398.0;626.0;313.0;596.0;1115.0;2045.0;359.0;609.0;-2.0;2.0;-11.0;-16.0
433.0;774.0;1365.0;2384.0;400.0;639.0;322.0;614.0;1146.0;2112.0;377.0;621.0;-2.0;1.0;-12.0;-13.0
424.0;757.0;1336.0;2353.0;399.0;630.0;309.0;596.0;1117.0;2076.0;368.0;609.0;-2.0;4.0;-11.0;-13.0
427.0;747.0;1348.0;2375.0;404.0;638.0;329.0;618.0;1163.0;2136.0;378.0;630.0;3.0;6.0;-11.0;-14.0
441.0;787.0;1384.0;2440.0;412.0;656.0;330.0;634.0;1186.0;2188.0;386.0;637.0;4.0;4.0;-11.0;-20.0
442.0;792.0;1399.0;2446.0;413.0;662.0;335.0;637.0;1187.0;2197.0;389.0;647.0;6.0;3.0;-9.0;-20.0
446.0;793.0;1407.0;2463.0;420.0;662.0;331.0;629.0;1183.0;2201.0;390.0;643.0;3.0;3.0;-9.0;-20.0
449.0;803.0;1417.0;2480.0;420.0;670.0;342.0;653.0;1215.0;2239.0;393.0;652.0;3.0;0.0;-12.0;-20.0
456.0;813.0;1425.0;2519.0;425.0;673.0;343.0;648.0;1215.0;2236.0;395.0;652.0;0.0;0.0;-12.0;-17.0
455.0;812.0;1435.0;2512.0;427.0;680.0;359.0;674.0;1262.0;2308.0;407.0;668.0;0.0;-1.0;-9.0;-16.0
467.0;826.0;1452.0;2564.0;433.0;681.0;343.0;653.0;1224.0;2251.0;401.0;658.0;0.0;-2.0;-9.0;-15.0
455.0;811.0;1437.0;2510.0;426.0;671.0;340.0;651.0;1213.0;2239.0;396.0;658.0;0.0;-2.0;-13.0;-16.0
454.0;809.0;1434.0;2510.0;427.0;675.0;347.0;662.0;1234.0;2271.0;399.0;662.0;2.0;-1.0;-12.0;-16.0
456.0;809.0;1431.0;2523.0;426.0;673.0;339.0;647.0;1212.0;2234.0;393.0;649.0;2.0;-1.0;-12.0;-16.0
454.0;814.0;1440.0;2514.0;427.0;676.0;344.0;656.0;1222.0;2239.0;397.0;659.0;3.0;-2.0;-13.0;-17.0
456.0;809.0;1428.0;2503.0;423.0;675.0;342.0;649.0;1213.0;2240.0;395.0;651.0;1.0;-2.0;-15.0;-23.0
442.0;793.0;1404.0;2468.0;421.0;668.0;351.0;659.0;1228.0;2264.0;399.0;663.0;1.0;-1.0;-15.0;-25.0
