OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
46.0;60.0;76.0;80.0;2.0;15.0;25.0;22.0;37.0;79.0;3.0;-8.0;-21.0;-12.0;-5.0;-12.0
38.0;37.0;38.0;58.0;2.0;15.0;27.0;15.0;6.0;35.0;3.0;-8.0;-18.0;-7.0;-6.0;-12.0
469.0;845.0;1523.0;2599.0;423.0;607.0;433.0;787.0;1412.0;2433.0;363.0;442.0;16.0;5.0;11.0;11.0
372.0;672.0;1218.0;2059.0;325.0;469.0;376.0;652.0;1047.0;1800.0;275.0;294.0;20.0;7.0;28.0;14.0
328.0;563.0;1011.0;1662.0;262.0;381.0;333.0;584.0;919.0;1476.0;218.0;257.0;11.0;2.0;15.0;14.0
316.0;549.0;957.0;1584.0;249.0;350.0;324.0;533.0;830.0;1424.0;216.0;286.0;24.0;0.0;16.0;13.0
328.0;443.0;963.0;2046.0;439.0;886.0;719.0;1352.0;2448.0;4229.0;676.0;962.0;11.0;0.0;13.0;13.0
707.0;1351.0;2556.0;4595.0;801.0;1260.0;878.0;1641.0;2957.0;5139.0;834.0;1147.0;18.0;0.0;18.0;13.0
882.0;1615.0;3012.0;5223.0;854.0;1245.0;925.0;1659.0;2883.0;4866.0;767.0;1016.0;11.0;0.0;10.0;6.0
808.0;1455.0;2632.0;4448.0;712.0;988.0;748.0;1311.0;2292.0;3857.0;593.0;788.0;16.0;3.0;20.0;6.0
664.0;1195.0;2165.0;3624.0;593.0;941.0;742.0;1380.0;2558.0;4836.0;952.0;1752.0;10.0;8.0;13.0;6.0
1991.0;4057.0;7953.0;11588.0;2655.0;4611.0;4182.0;7678.0;13486.0;18962.0;3586.0;5060.0;21.0;5.0;17.0;10.0
5113.0;9613.0;15836.0;14769.0;4382.0;6087.0;5599.0;9846.0;16777.0;18962.0;4215.0;5708.0;14.0;6.0;19.0;12.0
5404.0;9827.0;15904.0;14588.0;4229.0;5627.0;5132.0;8976.0;15284.0;18962.0;3738.0;5078.0;14.0;5.0;17.0;10.0
4549.0;8226.0;14219.0;14248.0;3705.0;5046.0;4628.0;8022.0;13601.0;18962.0;3374.0;4554.0;14.0;6.0;19.0;5.0
3901.0;7022.0;12435.0;13470.0;3194.0;4552.0;4273.0;7485.0;12735.0;18622.0;3236.0;4486.0;27.0;2.0;23.0;3.0
4119.0;7484.0;13157.0;13718.0;3281.0;4376.0;4029.0;6916.0;11630.0;17856.0;2842.0;3783.0;19.0;2.0;30.0;5.0
3463.0;6066.0;10502.0;12449.0;2599.0;3460.0;3284.0;5562.0;9116.0;14771.0;2242.0;2977.0;14.0;6.0;25.0;10.0
2673.0;4732.0;8317.0;11301.0;2106.0;2873.0;2663.0;4576.0;7721.0;12612.0;1902.0;2573.0;8.0;2.0;16.0;11.0
2351.0;4169.0;7399.0;10587.0;1947.0;2812.0;2658.0;4605.0;7732.0;12688.0;1953.0;2658.0;8.0;2.0;16.0;13.0
2342.0;4188.0;7447.0;10668.0;1946.0;2727.0;2546.0;4317.0;7214.0;11920.0;1842.0;2522.0;8.0;0.0;11.0;11.0
2197.0;3939.0;7084.0;10346.0;1876.0;2655.0;2476.0;4275.0;7193.0;11851.0;1798.0;2458.0;21.0;0.0;11.0;12.0
2217.0;3936.0;6982.0;10300.0;1880.0;2701.0;2441.0;4269.0;7192.0;11799.0;1816.0;2483.0;13.0;0.0;29.0;9.0
2242.0;3957.0;6952.0;10144.0;1754.0;2370.0;2155.0;3721.0;6226.0;10224.0;1549.0;2102.0;16.0;0.0;31.0;6.0
1707.0;3100.0;5649.0;9125.0;1651.0;2566.0;2359.0;4099.0;6977.0;11511.0;1813.0;2474.0;12.0;0.0;29.0;9.0
2087.0;3781.0;6823.0;10078.0;1788.0;2467.0;2230.0;3820.0;6331.0;10393.0;1602.0;2153.0;16.0;0.0;14.0;17.0
1952.0;3429.0;6019.0;9260.0;1553.0;2158.0;1987.0;3447.0;5854.0;9706.0;1530.0;2158.0;16.0;13.0;14.0;9.0
1918.0;3505.0;6361.0;9756.0;1725.0;2482.0;2261.0;3909.0;6587.0;10811.0;1679.0;2302.0;22.0;14.0;13.0;16.0
1979.0;3586.0;6505.0;9896.0;1756.0;2500.0;2233.0;3871.0;6590.0;10934.0;1697.0;2304.0;18.0;13.0;16.0;8.0
1965.0;3524.0;6312.0;9634.0;1650.0;2278.0;2058.0;3562.0;5931.0;9843.0;1510.0;2061.0;18.0;4.0;18.0;15.0
1768.0;3196.0;5834.0;9206.0;1604.0;2399.0;2214.0;3869.0;6667.0;11066.0;1719.0;2368.0;9.0;4.0;22.0;15.0
1992.0;3667.0;6667.0;10078.0;1820.0;2627.0;2380.0;4126.0;7025.0;11567.0;1799.0;2429.0;9.0;4.0;18.0;17.0
2079.0;3731.0;6745.0;10071.0;1788.0;2543.0;2274.0;3972.0;6736.0;11095.0;1706.0;2377.0;9.0;4.0;21.0;15.0
2064.0;3707.0;6588.0;9923.0;1760.0;2544.0;2316.0;4016.0;6749.0;11181.0;1727.0;2357.0;9.0;4.0;11.0;9.0
2041.0;3659.0;6603.0;9974.0;1774.0;2564.0;2271.0;3977.0;6768.0;11311.0;1763.0;2450.0;15.0;4.0;13.0;8.0
