OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
220.0;350.0;530.0;700.0;85.0;73.0;60.0;120.0;140.0;170.0;39.0;73.0;1.0;30.0;-30.0;127.0
210.0;340.0;530.0;650.0;93.0;82.0;40.0;90.0;120.0;280.0;49.0;66.0;1.0;35.0;-30.0;127.0
120.0;200.0;330.0;590.0;55.0;54.0;40.0;90.0;120.0;170.0;39.0;36.0;-1.0;69.0;-42.0;225.0
160.0;290.0;410.0;530.0;75.0;53.0;0.0;20.0;40.0;250.0;29.0;50.0;-1.0;94.0;-47.0;336.0
140.0;270.0;420.0;590.0;77.0;58.0;0.0;20.0;60.0;300.0;45.0;52.0;-3.0;127.0;-67.0;463.0
200.0;360.0;570.0;730.0;95.0;78.0;0.0;40.0;60.0;250.0;45.0;53.0;-8.0;140.0;-67.0;515.0
150.0;280.0;430.0;560.0;74.0;46.0;20.0;50.0;80.0;220.0;33.0;48.0;-8.0;161.0;-85.0;583.0
140.0;270.0;410.0;490.0;73.0;52.0;20.0;40.0;100.0;230.0;35.0;41.0;-9.0;180.0;-95.0;665.0
180.0;300.0;500.0;680.0;94.0;63.0;20.0;50.0;130.0;200.0;50.0;63.0;-14.0;190.0;-105.0;702.0
190.0;360.0;550.0;670.0;95.0;79.0;-10.0;40.0;60.0;130.0;33.0;58.0;-14.0;208.0;-120.0;810.0
200.0;350.0;550.0;670.0;86.0;79.0;-30.0;-10.0;-20.0;110.0;40.0;50.0;-15.0;230.0;-122.0;876.0
140.0;240.0;400.0;500.0;75.0;50.0;-30.0;-10.0;-20.0;50.0;17.0;26.0;-17.0;235.0;-134.0;906.0
100.0;200.0;290.0;390.0;60.0;26.0;-50.0;-40.0;-40.0;0.0;10.0;28.0;-22.0;255.0;-138.0;971.0
100.0;180.0;290.0;280.0;41.0;37.0;-60.0;-60.0;-70.0;-20.0;15.0;23.0;-25.0;270.0;-157.0;1079.0
40.0;70.0;190.0;230.0;37.0;2.0;-70.0;-70.0;-100.0;-20.0;1.0;-3.0;-27.0;289.0;-175.0;1101.0
40.0;60.0;190.0;260.0;41.0;2.0;-70.0;-70.0;-100.0;-20.0;1.0;-3.0;-31.0;298.0;-179.0;1177.0
40.0;110.0;190.0;260.0;41.0;2.0;-70.0;-70.0;-100.0;-20.0;1.0;-3.0;-45.0;320.0;-225.0;1247.0
180.0;300.0;440.0;580.0;71.0;54.0;-60.0;-70.0;-80.0;-50.0;13.0;41.0;-46.0;344.0;-230.0;1332.0
160.0;300.0;490.0;670.0;84.0;63.0;-30.0;-20.0;10.0;20.0;13.0;55.0;-50.0;373.0;-239.0;1424.0
90.0;190.0;350.0;410.0;63.0;45.0;-30.0;-20.0;10.0;20.0;21.0;32.0;-56.0;381.0;-253.0;1450.0
130.0;230.0;390.0;520.0;74.0;53.0;-60.0;-40.0;-60.0;20.0;21.0;43.0;-65.0;385.0;-291.0;1521.0
110.0;270.0;440.0;600.0;89.0;59.0;-60.0;-40.0;-60.0;20.0;22.0;59.0;-66.0;408.0;-315.0;1569.0
100.0;210.0;400.0;490.0;75.0;74.0;-30.0;-20.0;10.0;140.0;20.0;49.0;-67.0;403.0;-316.0;1575.0
170.0;280.0;480.0;690.0;98.0;80.0;-40.0;-20.0;40.0;200.0;41.0;60.0;-70.0;416.0;-338.0;1641.0
100.0;140.0;400.0;490.0;61.0;51.0;-30.0;-20.0;30.0;150.0;33.0;38.0;-77.0;426.0;-349.0;1689.0
180.0;320.0;560.0;750.0;109.0;106.0;-30.0;-20.0;40.0;120.0;53.0;72.0;-79.0;443.0;-355.0;1734.0
130.0;300.0;310.0;660.0;79.0;71.0;-40.0;-20.0;20.0;110.0;34.0;54.0;-83.0;473.0;-401.0;1834.0
260.0;400.0;620.0;770.0;94.0;83.0;60.0;130.0;180.0;270.0;42.0;54.0;-7.0;21.0;-38.0;73.0
260.0;410.0;640.0;840.0;98.0;89.0;70.0;170.0;210.0;400.0;59.0;71.0;-7.0;21.0;-38.0;100.0
