OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
182.0;363.0;715.0;1429.0;285.0;547.0;274.0;552.0;1101.0;2126.0;397.0;716.0;3.0;-6.0;11.0;-26.0
495.0;973.0;1893.0;3700.0;721.0;1323.0;743.0;1476.0;2818.0;5304.0;932.0;1536.0;3.0;-6.0;5.0;-33.0
1184.0;2208.0;4038.0;7295.0;1264.0;2006.0;1145.0;2203.0;4126.0;7524.0;1284.0;2050.0;3.0;-8.0;5.0;-33.0
1535.0;2832.0;5128.0;9126.0;1527.0;2339.0;1370.0;2601.0;4790.0;8615.0;1456.0;2289.0;2.0;-8.0;5.0;-33.0
1645.0;3013.0;5454.0;9659.0;1603.0;2415.0;1452.0;2729.0;5013.0;8881.0;1467.0;2270.0;3.0;-6.0;2.0;-33.0
1533.0;2810.0;5071.0;8978.0;1494.0;2256.0;1336.0;2512.0;4580.0;8150.0;1359.0;2106.0;7.0;-4.0;2.0;-25.0
1394.0;2546.0;4605.0;8109.0;1336.0;2001.0;1170.0;2193.0;3989.0;7072.0;1179.0;1830.0;7.0;0.0;5.0;-25.0
1195.0;2195.0;3946.0;6958.0;1144.0;1744.0;1003.0;1891.0;3459.0;6178.0;1030.0;1626.0;9.0;0.0;13.0;-25.0
1045.0;1947.0;3589.0;6504.0;1124.0;1793.0;1056.0;1995.0;3695.0;6683.0;1135.0;1801.0;5.0;0.0;13.0;-27.0
1243.0;2296.0;4187.0;7558.0;1296.0;2082.0;1256.0;2390.0;4403.0;7976.0;1351.0;2135.0;5.0;-4.0;7.0;-28.0
1603.0;2944.0;5330.0;9470.0;1594.0;2483.0;1557.0;2932.0;5351.0;9569.0;1587.0;2484.0;5.0;-9.0;6.0;-31.0
1888.0;3441.0;6165.0;10870.0;1825.0;2816.0;1801.0;3368.0;6137.0;10946.0;1816.0;2818.0;2.0;-11.0;7.0;-34.0
2341.0;4264.0;7635.0;13306.0;2182.0;3305.0;2216.0;4124.0;7413.0;13029.0;2123.0;3206.0;-3.0;-11.0;6.0;-34.0
2673.0;4796.0;8402.0;14334.0;2292.0;3324.0;2163.0;3985.0;7115.0;12367.0;2003.0;3029.0;-3.0;-9.0;-4.0;-31.0
2246.0;4028.0;7053.0;12076.0;1912.0;2762.0;1782.0;3262.0;5805.0;10088.0;1634.0;2485.0;-3.0;-11.0;-4.0;-34.0
1757.0;3191.0;5720.0;10030.0;1671.0;2631.0;1720.0;3211.0;5872.0;10408.0;1745.0;2752.0;-3.0;-13.0;-4.0;-34.0
2444.0;4455.0;7964.0;13986.0;2347.0;3647.0;2599.0;4871.0;8805.0;15418.0;2526.0;3844.0;4.0;-11.0;7.0;-73.0
3767.0;6815.0;11969.0;19472.0;3247.0;4726.0;3556.0;6578.0;11692.0;20117.0;3212.0;4750.0;5.0;-12.0;20.0;-73.0
4830.0;8581.0;14803.0;21574.0;3744.0;5200.0;3887.0;7045.0;12418.0;21097.0;3343.0;4882.0;9.0;-12.0;18.0;-73.0
4685.0;8129.0;13788.0;20713.0;3464.0;4779.0;3487.0;6256.0;10937.0;18559.0;2934.0;4295.0;5.0;-11.0;20.0;-56.0
3547.0;6222.0;10718.0;17642.0;2769.0;3923.0;2793.0;5011.0;8778.0;14946.0;2370.0;3559.0;5.0;-10.0;18.0;-44.0
2810.0;4974.0;8638.0;14568.0;2293.0;3316.0;2322.0;4192.0;7350.0;12534.0;2000.0;3026.0;-1.0;-10.0;11.0;-44.0
