OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
155.0;306.0;615.0;1289.0;258.0;443.0;149.0;297.0;597.0;1200.0;234.0;410.0;3.0;10.0;26.0;9.0
251.0;486.0;969.0;1991.0;393.0;661.0;238.0;466.0;926.0;1837.0;349.0;594.0;3.0;8.0;17.0;9.0
264.0;515.0;1019.0;2092.0;412.0;697.0;254.0;500.0;993.0;1976.0;375.0;654.0;3.0;6.0;19.0;6.0
325.0;628.0;1222.0;2453.0;473.0;807.0;312.0;612.0;1194.0;2327.0;436.0;743.0;3.0;6.0;12.0;2.0
341.0;655.0;1278.0;2562.0;496.0;849.0;331.0;646.0;1268.0;2476.0;465.0;795.0;4.0;9.0;10.0;2.0
364.0;700.0;1367.0;2728.0;526.0;892.0;353.0;685.0;1342.0;2608.0;484.0;819.0;0.0;9.0;12.0;3.0
387.0;739.0;1426.0;2831.0;543.0;911.0;371.0;723.0;1397.0;2685.0;498.0;845.0;4.0;5.0;12.0;4.0
402.0;766.0;1492.0;2970.0;571.0;976.0;404.0;782.0;1509.0;2941.0;549.0;941.0;7.0;6.0;17.0;2.0
454.0;867.0;1676.0;3357.0;649.0;1108.0;473.0;914.0;1759.0;3407.0;643.0;1088.0;11.0;1.0;17.0;2.0
537.0;1018.0;1955.0;3871.0;740.0;1237.0;539.0;1035.0;1989.0;3815.0;706.0;1186.0;2.0;1.0;20.0;2.0
588.0;1110.0;2116.0;4143.0;781.0;1290.0;564.0;1081.0;2071.0;3962.0;731.0;1223.0;7.0;1.0;15.0;2.0
608.0;1152.0;2195.0;4262.0;800.0;1317.0;584.0;1113.0;2134.0;4052.0;748.0;1244.0;2.0;10.0;16.0;2.0
635.0;1191.0;2260.0;4385.0;816.0;1334.0;596.0;1139.0;2164.0;4123.0;750.0;1248.0;1.0;12.0;21.0;2.0
639.0;1199.0;2265.0;4343.0;814.0;1334.0;602.0;1147.0;2172.0;4125.0;753.0;1253.0;0.0;10.0;18.0;3.0
635.0;1192.0;2257.0;4382.0;816.0;1340.0;600.0;1141.0;2173.0;4136.0;755.0;1264.0;-1.0;12.0;15.0;3.0
639.0;1202.0;2287.0;4442.0;837.0;1391.0;631.0;1205.0;2282.0;4350.0;793.0;1339.0;-1.0;6.0;15.0;3.0
691.0;1296.0;2452.0;4736.0;885.0;1448.0;664.0;1256.0;2400.0;4536.0;824.0;1376.0;-1.0;7.0;10.0;3.0
725.0;1352.0;2545.0;4884.0;905.0;1477.0;688.0;1304.0;2469.0;4630.0;847.0;1397.0;-1.0;0.0;17.0;6.0
742.0;1388.0;2608.0;4999.0;922.0;1501.0;696.0;1329.0;2512.0;4731.0;857.0;1425.0;-1.0;0.0;8.0;3.0
762.0;1418.0;2676.0;5150.0;962.0;1576.0;759.0;1432.0;2699.0;5083.0;920.0;1531.0;-1.0;0.0;12.0;-1.0
827.0;1548.0;2908.0;5563.0;1023.0;1664.0;798.0;1507.0;2834.0;5313.0;963.0;1581.0;-1.0;0.0;10.0;-1.0
874.0;1624.0;3032.0;5726.0;1034.0;1661.0;797.0;1500.0;2832.0;5308.0;952.0;1553.0;-1.0;4.0;9.0;2.0
849.0;1577.0;2948.0;5547.0;1015.0;1638.0;799.0;1503.0;2824.0;5250.0;942.0;1557.0;1.0;4.0;14.0;3.0
850.0;1580.0;2955.0;5631.0;1035.0;1687.0;825.0;1554.0;2918.0;5458.0;978.0;1617.0;6.0;5.0;21.0;2.0
897.0;1664.0;3088.0;5815.0;1062.0;1713.0;830.0;1561.0;2939.0;5508.0;986.0;1626.0;11.0;5.0;15.0;2.0
894.0;1660.0;3092.0;5850.0;1071.0;1734.0;861.0;1617.0;3005.0;5612.0;1008.0;1659.0;11.0;5.0;18.0;2.0
915.0;1696.0;3167.0;5979.0;1085.0;1755.0;870.0;1638.0;3068.0;5718.0;1021.0;1668.0;12.0;5.0;26.0;6.0
930.0;1729.0;3216.0;6038.0;1099.0;1774.0;880.0;1651.0;3086.0;5777.0;1033.0;1697.0;14.0;7.0;22.0;6.0
962.0;1777.0;3300.0;6163.0;1112.0;1786.0;886.0;1654.0;3101.0;5761.0;1027.0;1681.0;8.0;5.0;22.0;7.0
937.0;1732.0;3205.0;5993.0;1083.0;1737.0;858.0;1608.0;3004.0;5570.0;993.0;1623.0;8.0;6.0;22.0;4.0
910.0;1676.0;3107.0;5842.0;1057.0;1721.0;850.0;1594.0;2974.0;5545.0;988.0;1625.0;11.0;6.0;23.0;4.0
914.0;1699.0;3139.0;5904.0;1073.0;1731.0;880.0;1647.0;3062.0;5675.0;1007.0;1661.0;7.0;6.0;19.0;4.0
943.0;1735.0;3201.0;6008.0;1085.0;1754.0;874.0;1636.0;3054.0;5688.0;1016.0;1656.0;11.0;11.0;22.0;3.0
940.0;1735.0;3204.0;6003.0;1077.0;1733.0;872.0;1634.0;3021.0;5606.0;1002.0;1636.0;11.0;8.0;19.0;3.0
929.0;1716.0;3175.0;5939.0;1075.0;1733.0;873.0;1632.0;3042.0;5647.0;1016.0;1665.0;11.0;8.0;23.0;3.0
948.0;1758.0;3242.0;6083.0;1104.0;1772.0;888.0;1662.0;3105.0;5744.0;1016.0;1666.0;0.0;11.0;14.0;3.0
939.0;1726.0;3187.0;5970.0;1080.0;1738.0;866.0;1619.0;3029.0;5620.0;1000.0;1639.0;0.0;7.0;9.0;3.0
915.0;1695.0;3130.0;5884.0;1065.0;1732.0;876.0;1643.0;3061.0;5669.0;1017.0;1663.0;0.0;7.0;10.0;6.0
