OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
39.0;65.0;115.0;206.0;34.0;48.0;34.0;66.0;139.0;270.0;47.0;76.0;-10.0;4.0;-21.0;18.0;AIR
43.0;78.0;150.0;294.0;54.0;85.0;45.0;90.0;188.0;377.0;72.0;120.0;0.0;-2.0;-25.0;16.0;AIR
58.0;105.0;204.0;398.0;75.0;117.0;56.0;110.0;226.0;449.0;85.0;144.0;-13.0;-2.0;-32.0;17.0;AIR
63.0;116.0;228.0;451.0;84.0;133.0;56.0;112.0;235.0;478.0;92.0;155.0;-13.0;-2.0;-34.0;21.0;AIR
63.0;117.0;233.0;471.0;91.0;145.0;60.0;120.0;252.0;514.0;99.0;168.0;-13.0;-3.0;-34.0;24.0;AIR
67.0;123.0;245.0;498.0;95.0;153.0;60.0;122.0;254.0;528.0;103.0;173.0;-12.0;-3.0;-32.0;20.0;AIR
66.0;125.0;250.0;503.0;96.0;158.0;60.0;120.0;257.0;532.0;104.0;177.0;-12.0;-4.0;-32.0;24.0;AIR
67.0;126.0;252.0;506.0;98.0;158.0;61.0;123.0;259.0;527.0;102.0;174.0;-5.0;-4.0;-28.0;18.0;AIR
62.0;115.0;227.0;463.0;87.0;140.0;51.0;107.0;227.0;475.0;92.0;157.0;-5.0;-5.0;-28.0;19.0;AIR
54.0;105.0;214.0;437.0;85.0;140.0;51.0;106.0;226.0;477.0;94.0;165.0;-5.0;-5.0;-27.0;15.0;AIR
61.0;116.0;236.0;487.0;95.0;156.0;55.0;117.0;253.0;537.0;104.0;180.0;-5.0;-5.0;-25.0;16.0;AIR
69.0;134.0;269.0;543.0;105.0;170.0;63.0;128.0;275.0;576.0;113.0;195.0;-2.0;-3.0;-25.0;17.0;AIR
74.0;141.0;283.0;576.0;111.0;179.0;65.0;138.0;295.0;613.0;119.0;202.0;-5.0;-5.0;-25.0;22.0;AIR
78.0;146.0;293.0;594.0;113.0;185.0;68.0;136.0;289.0;612.0;119.0;203.0;-5.0;-3.0;-25.0;14.0;AIR
75.0;143.0;287.0;587.0;112.0;182.0;63.0;127.0;277.0;585.0;116.0;198.0;-2.0;-3.0;-26.0;17.0;AIR
70.0;134.0;271.0;557.0;106.0;175.0;61.0;124.0;267.0;563.0;110.0;189.0;-9.0;-4.0;-28.0;17.0;AIR
68.0;129.0;262.0;536.0;104.0;170.0;60.0;125.0;272.0;570.0;111.0;188.0;-9.0;-5.0;-28.0;17.0;AIR
67.0;127.0;260.0;533.0;102.0;165.0;54.0;114.0;250.0;530.0;106.0;180.0;-2.0;-4.0;-26.0;19.0;AIR
64.0;123.0;251.0;513.0;98.0;160.0;56.0;116.0;252.0;535.0;105.0;180.0;1.0;-5.0;-26.0;21.0;AIR
65.0;126.0;258.0;525.0;102.0;165.0;55.0;119.0;259.0;552.0;108.0;183.0;1.0;-5.0;-26.0;23.0;AIR
66.0;126.0;261.0;537.0;104.0;169.0;59.0;121.0;266.0;561.0;111.0;190.0;-2.0;-7.0;-26.0;19.0;AIR
