OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
-41.0;-41.0;-70.0;-70.0;-7.0;-24.0;-21.0;-32.0;-53.0;-77.0;-7.0;-24.0;8.0;0.0;-6.0;5.0;AIR
41.0;-12.0;-23.0;-51.0;-8.0;-6.0;-4.0;-12.0;-16.0;-8.0;0.0;-8.0;2.0;-1.0;8.0;0.0;AIR
47.0;-10.0;-19.0;-47.0;-8.0;-6.0;-4.0;-7.0;-16.0;-8.0;0.0;-8.0;2.0;-1.0;8.0;0.0;AIR
33.0;-10.0;-23.0;-51.0;-10.0;-6.0;-5.0;-12.0;-16.0;-23.0;-2.0;-8.0;2.0;-1.0;4.0;1.0;AIR
33.0;-21.0;-47.0;-63.0;-16.0;-6.0;-6.0;-13.0;-21.0;-26.0;-3.0;-11.0;6.0;-1.0;4.0;1.0;AIR
33.0;-21.0;-53.0;-65.0;-20.0;-9.0;-9.0;-15.0;-39.0;-39.0;-5.0;-11.0;14.0;2.0;3.0;-1.0;AIR
35.0;-21.0;-56.0;-65.0;-20.0;-9.0;-9.0;-17.0;-39.0;-60.0;-9.0;-11.0;10.0;4.0;7.0;-1.0;AIR
31.0;-32.0;-56.0;-66.0;-20.0;-10.0;-12.0;-19.0;-41.0;-60.0;-12.0;-12.0;13.0;4.0;7.0;-1.0;AIR
27.0;-33.0;-65.0;-82.0;-22.0;-12.0;-12.0;-21.0;-45.0;-70.0;-16.0;-13.0;-4.0;4.0;7.0;-1.0;AIR
11.0;1.0;11.0;2.0;2.0;0.0;1.0;2.0;5.0;10.0;2.0;4.0;0.0;-11.0;-1.0;-3.0;AIR
16.0;8.0;11.0;2.0;2.0;-4.0;7.0;-3.0;5.0;9.0;2.0;4.0;0.0;-11.0;-8.0;-3.0;AIR
-4.0;7.0;12.0;2.0;0.0;-4.0;7.0;21.0;9.0;9.0;2.0;4.0;5.0;-11.0;28.0;-12.0;AIR
