OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
-2.0;-10.0;-13.0;-23.0;-4.0;-8.0;13.0;12.0;43.0;47.0;-4.0;-9.0;1.0;1.0;-3.0;-3.0;AIR
7.0;6.0;15.0;17.0;0.0;-2.0;13.0;25.0;43.0;47.0;-3.0;-5.0;1.0;1.0;1.0;-5.0;AIR
9.0;16.0;41.0;61.0;9.0;11.0;13.0;25.0;43.0;48.0;8.0;11.0;6.0;-3.0;4.0;-6.0;AIR
46.0;75.0;146.0;244.0;38.0;47.0;8.0;68.0;135.0;216.0;33.0;52.0;12.0;0.0;4.0;-9.0;AIR
54.0;89.0;161.0;285.0;43.0;56.0;5.0;76.0;147.0;239.0;29.0;47.0;6.0;-2.0;2.0;-9.0;AIR
32.0;67.0;127.0;227.0;39.0;57.0;24.0;41.0;73.0;128.0;21.0;38.0;3.0;-1.0;-1.0;6.0;AIR
31.0;62.0;112.0;202.0;33.0;50.0;40.0;66.0;103.0;144.0;20.0;30.0;3.0;0.0;6.0;-3.0;AIR
23.0;46.0;86.0;151.0;26.0;39.0;35.0;52.0;76.0;89.0;11.0;19.0;3.0;2.0;6.0;-3.0;AIR
18.0;39.0;72.0;128.0;22.0;33.0;23.0;50.0;51.0;88.0;15.0;23.0;6.0;2.0;7.0;1.0;AIR
15.0;37.0;72.0;140.0;24.0;35.0;23.0;50.0;76.0;89.0;10.0;21.0;4.0;2.0;8.0;2.0;AIR
25.0;62.0;131.0;258.0;46.0;70.0;23.0;50.0;98.0;195.0;32.0;55.0;4.0;2.0;2.0;2.0;AIR
33.0;72.0;140.0;259.0;46.0;68.0;31.0;59.0;112.0;207.0;32.0;53.0;2.0;2.0;2.0;2.0;AIR
37.0;77.0;146.0;264.0;46.0;67.0;22.0;45.0;88.0;173.0;30.0;48.0;0.0;3.0;1.0;2.0;AIR
31.0;65.0;124.0;231.0;40.0;59.0;31.0;40.0;83.0;179.0;34.0;57.0;0.0;3.0;1.0;2.0;AIR
39.0;88.0;177.0;347.0;61.0;93.0;34.0;73.0;149.0;292.0;51.0;86.0;2.0;2.0;2.0;2.0;AIR
50.0;105.0;200.0;370.0;63.0;94.0;51.0;89.0;166.0;268.0;41.0;71.0;5.0;-3.0;4.0;-2.0;AIR
41.0;86.0;173.0;325.0;55.0;83.0;40.0;71.0;124.0;209.0;35.0;59.0;8.0;-3.0;2.0;0.0;AIR
28.0;65.0;128.0;249.0;46.0;67.0;40.0;74.0;131.0;221.0;37.0;60.0;5.0;-5.0;3.0;5.0;AIR
34.0;78.0;154.0;285.0;50.0;74.0;43.0;74.0;130.0;215.0;34.0;56.0;4.0;-5.0;3.0;5.0;AIR
24.0;55.0;109.0;210.0;38.0;59.0;29.0;50.0;73.0;158.0;28.0;50.0;4.0;-3.0;12.0;5.0;AIR
34.0;78.0;154.0;285.0;50.0;74.0;43.0;74.0;130.0;215.0;34.0;56.0;4.0;-6.0;7.0;5.0;AIR
25.0;58.0;119.0;229.0;41.0;62.0;29.0;50.0;95.0;158.0;25.0;44.0;13.0;-3.0;1.0;5.0;AIR
31.0;72.0;139.0;266.0;46.0;72.0;40.0;75.0;142.0;223.0;35.0;57.0;13.0;-6.0;1.0;2.0;AIR
