OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
8.0;19.0;17.0;53.0;11.0;17.0;3.0;2.0;5.0;28.0;9.0;20.0;116.0;-85.0;348.0;-228.0
7.0;16.0;22.0;71.0;13.0;14.0;-2.0;0.0;-8.0;18.0;8.0;21.0;117.0;-89.0;352.0;-232.0
13.0;26.0;33.0;72.0;13.0;16.0;-2.0;0.0;-8.0;34.0;6.0;12.0;131.0;-89.0;371.0;-232.0
7.0;15.0;22.0;55.0;7.0;8.0;-2.0;0.0;-8.0;18.0;5.0;11.0;120.0;-89.0;368.0;-232.0
12.0;21.0;22.0;54.0;7.0;9.0;2.0;0.0;5.0;25.0;5.0;12.0;131.0;-89.0;351.0;-219.0
12.0;21.0;25.0;54.0;7.0;12.0;4.0;22.0;23.0;30.0;5.0;14.0;114.0;-81.0;328.0;-217.0
13.0;23.0;22.0;52.0;8.0;15.0;4.0;16.0;13.0;25.0;6.0;12.0;113.0;-81.0;344.0;-217.0
18.0;29.0;28.0;68.0;10.0;13.0;15.0;30.0;16.0;50.0;8.0;13.0;113.0;-81.0;233.0;-217.0
27.0;48.0;44.0;112.0;16.0;24.0;6.0;12.0;16.0;54.0;13.0;25.0;112.0;-85.0;356.0;-217.0
25.0;35.0;33.0;88.0;13.0;19.0;8.0;14.0;14.0;40.0;9.0;21.0;124.0;-85.0;350.0;-215.0
28.0;46.0;44.0;100.0;13.0;21.0;9.0;15.0;17.0;56.0;9.0;18.0;118.0;-85.0;345.0;-226.0
25.0;39.0;41.0;102.0;15.0;22.0;23.0;17.0;29.0;107.0;13.0;26.0;124.0;-85.0;313.0;-226.0
40.0;62.0;63.0;138.0;18.0;26.0;22.0;31.0;44.0;71.0;12.0;27.0;132.0;-83.0;377.0;-218.0
