OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
399.0;646.0;1006.0;1542.0;223.0;299.0;289.0;488.0;802.0;1228.0;186.0;267.0;-2.0;2.0;-7.0;-3.0
377.0;608.0;958.0;1470.0;209.0;270.0;287.0;467.0;743.0;1134.0;167.0;244.0;-4.0;3.0;-6.0;-3.0
328.0;530.0;818.0;1257.0;177.0;246.0;274.0;455.0;718.0;1105.0;158.0;232.0;-4.0;1.0;-6.0;-3.0
330.0;542.0;843.0;1334.0;187.0;252.0;271.0;446.0;712.0;1082.0;159.0;228.0;-4.0;0.0;-6.0;-3.0
370.0;589.0;910.0;1378.0;195.0;266.0;290.0;463.0;755.0;1140.0;166.0;242.0;-4.0;0.0;-4.0;1.0
357.0;568.0;862.0;1314.0;183.0;249.0;288.0;451.0;718.0;1058.0;152.0;226.0;-7.0;0.0;-4.0;5.0
454.0;712.0;1077.0;1594.0;221.0;299.0;320.0;526.0;851.0;1319.0;192.0;270.0;7.0;-1.0;0.0;2.0
507.0;811.0;1247.0;1843.0;258.0;342.0;384.0;604.0;963.0;1468.0;215.0;312.0;9.0;4.0;4.0;4.0
438.0;699.0;1084.0;1646.0;228.0;303.0;342.0;546.0;855.0;1310.0;187.0;265.0;1.0;8.0;3.0;1.0
357.0;565.0;872.0;1345.0;193.0;256.0;322.0;498.0;762.0;1131.0;157.0;223.0;1.0;1.0;3.0;1.0
374.0;575.0;856.0;1259.0;172.0;230.0;281.0;466.0;759.0;1139.0;157.0;225.0;-7.0;-1.0;1.0;-6.0
421.0;679.0;1040.0;1527.0;210.0;297.0;354.0;581.0;946.0;1473.0;202.0;292.0;-5.0;3.0;-1.0;-6.0
626.0;956.0;1464.0;2162.0;300.0;414.0;499.0;829.0;1333.0;2089.0;300.0;428.0;-5.0;1.0;-1.0;-6.0
945.0;1441.0;2179.0;3224.0;449.0;628.0;736.0;1224.0;1997.0;3126.0;457.0;644.0;0.0;1.0;1.0;-1.0
1364.0;2076.0;3140.0;4660.0;669.0;917.0;1077.0;1761.0;2860.0;4487.0;656.0;923.0;4.0;1.0;6.0;-1.0
1812.0;2740.0;4103.0;6093.0;860.0;1178.0;1361.0;2194.0;3513.0;5479.0;805.0;1144.0;4.0;1.0;7.0;-1.0
2051.0;3118.0;4669.0;6947.0;985.0;1325.0;1542.0;2494.0;3980.0;6214.0;906.0;1281.0;4.0;1.0;0.0;2.0
2291.0;3471.0;5196.0;7707.0;1098.0;1490.0;1750.0;2824.0;4495.0;7021.0;1033.0;1441.0;-1.0;2.0;-3.0;2.0
2673.0;4007.0;5952.0;8829.0;1253.0;1696.0;2079.0;3322.0;5252.0;8080.0;1179.0;1649.0;-3.0;2.0;-3.0;2.0
3086.0;4606.0;6861.0;10098.0;1450.0;1973.0;2438.0;3889.0;6133.0;9499.0;1387.0;1931.0;-4.0;2.0;-5.0;3.0
3677.0;5471.0;8067.0;11782.0;1685.0;2275.0;2824.0;4484.0;7019.0;10785.0;1568.0;2174.0;-4.0;6.0;-5.0;5.0
3931.0;5849.0;8697.0;12522.0;1780.0;2351.0;2907.0;4566.0;7133.0;10894.0;1573.0;2179.0;-4.0;9.0;-7.0;5.0
3804.0;5689.0;8476.0;12281.0;1765.0;2362.0;3066.0;4809.0;7472.0;11380.0;1645.0;2276.0;-4.0;8.0;-4.0;5.0
4415.0;6527.0;9524.0;13475.0;1969.0;2624.0;3409.0;5340.0;8311.0;12576.0;1812.0;2482.0;-4.0;14.0;-7.0;8.0
4516.0;6668.0;9796.0;13597.0;1969.0;2576.0;3240.0;5075.0;7865.0;11931.0;1710.0;2344.0;-4.0;5.0;-10.0;11.0
3811.0;5746.0;8576.0;12326.0;1743.0;2316.0;2950.0;4622.0;7160.0;10827.0;1557.0;2147.0;-4.0;1.0;-10.0;8.0
3702.0;5563.0;8246.0;11944.0;1696.0;2282.0;3013.0;4708.0;7276.0;11008.0;1584.0;2186.0;-3.0;1.0;-6.0;11.0
4139.0;6119.0;9000.0;12819.0;1849.0;2503.0;3398.0;5269.0;8141.0;12267.0;1755.0;2419.0;-3.0;3.0;-10.0;11.0
4664.0;6854.0;10066.0;13936.0;2060.0;2750.0;3680.0;5744.0;8820.0;13416.0;1929.0;2643.0;-3.0;1.0;-11.0;11.0
5025.0;7435.0;10843.0;14587.0;2223.0;2958.0;3992.0;6221.0;9555.0;14365.0;2057.0;2806.0;-3.0;3.0;-6.0;21.0
5285.0;7767.0;11315.0;15004.0;2299.0;3043.0;4054.0;6314.0;9655.0;14521.0;2069.0;2844.0;-3.0;7.0;-6.0;10.0
5067.0;7535.0;11069.0;14809.0;2234.0;2922.0;3917.0;6065.0;9306.0;14001.0;2002.0;2746.0;-1.0;7.0;-6.0;13.0
4983.0;7394.0;10847.0;14569.0;2179.0;2891.0;3967.0;6124.0;9337.0;13999.0;1991.0;2730.0;-5.0;14.0;-6.0;13.0
5121.0;7561.0;11014.0;14723.0;2235.0;2978.0;4169.0;6426.0;9800.0;14648.0;2077.0;2839.0;0.0;11.0;-6.0;15.0
5601.0;8207.0;11862.0;15364.0;2412.0;3229.0;4600.0;7078.0;10746.0;16019.0;2291.0;3117.0;-5.0;6.0;-9.0;26.0
6213.0;9048.0;13068.0;16171.0;2642.0;3527.0;5042.0;7747.0;11705.0;17429.0;2479.0;3372.0;-8.0;7.0;-9.0;24.0
6676.0;9734.0;14010.0;16739.0;2840.0;3761.0;5339.0;8248.0;12495.0;18572.0;2644.0;3586.0;-11.0;7.0;-15.0;32.0
7040.0;10220.0;14692.0;16996.0;2949.0;3895.0;5521.0;8450.0;12814.0;19037.0;2692.0;3649.0;-11.0;6.0;-15.0;29.0
6903.0;10080.0;14565.0;16993.0;2912.0;3828.0;5437.0;8315.0;12533.0;18700.0;2645.0;3571.0;-11.0;9.0;-23.0;18.0
6731.0;9855.0;14268.0;16738.0;2871.0;3775.0;5409.0;8250.0;12500.0;18623.0;2623.0;3563.0;-10.0;9.0;-23.0;15.0
6938.0;10125.0;14550.0;16992.0;2951.0;3903.0;5647.0;8590.0;12989.0;19253.0;2742.0;3704.0;-10.0;9.0;-23.0;22.0
7400.0;10700.0;15302.0;17252.0;3082.0;4088.0;5991.0;9110.0;13715.0;20268.0;2866.0;3867.0;-8.0;10.0;-23.0;36.0
7736.0;11163.0;15850.0;17529.0;3180.0;4198.0;6102.0;9283.0;13964.0;20663.0;2923.0;3956.0;-8.0;6.0;-23.0;24.0
7782.0;11294.0;16012.0;17508.0;3229.0;4265.0;6244.0;9486.0;14268.0;21076.0;2976.0;3995.0;-8.0;16.0;-23.0;31.0
7853.0;11438.0;16126.0;17764.0;3269.0;4313.0;6360.0;9646.0;14456.0;21384.0;3016.0;4055.0;-8.0;9.0;-23.0;37.0
8009.0;11585.0;16372.0;17762.0;3307.0;4355.0;6515.0;9862.0;14680.0;21567.0;3043.0;4085.0;-5.0;9.0;-23.0;34.0
8053.0;11690.0;16459.0;17798.0;3354.0;4391.0;6561.0;9949.0;14851.0;21871.0;3074.0;4127.0;-5.0;12.0;-28.0;33.0
8293.0;11949.0;16710.0;17899.0;3388.0;4469.0;6680.0;10068.0;15092.0;22141.0;3134.0;4215.0;-5.0;8.0;-28.0;33.0
8510.0;12259.0;17027.0;18141.0;3472.0;4558.0;6913.0;10457.0;15516.0;22667.0;3205.0;4314.0;-5.0;9.0;-27.0;40.0
8754.0;12603.0;17299.0;18273.0;3550.0;4637.0;7016.0;10598.0;15754.0;22936.0;3248.0;4359.0;-5.0;8.0;-26.0;41.0
8688.0;12523.0;17297.0;18275.0;3536.0;4646.0;7010.0;10540.0;15700.0;22823.0;3245.0;4330.0;-11.0;8.0;-27.0;36.0
8745.0;12623.0;17330.0;18275.0;3555.0;4660.0;7130.0;10715.0;15932.0;23058.0;3259.0;4371.0;-9.0;8.0;-27.0;33.0
8746.0;12583.0;17268.0;18223.0;3530.0;4647.0;7151.0;10722.0;15940.0;23046.0;3259.0;4378.0;-9.0;8.0;-27.0;28.0
8717.0;12529.0;17282.0;18217.0;3529.0;4625.0;7074.0;10632.0;15767.0;22896.0;3232.0;4327.0;-7.0;8.0;-26.0;40.0
8534.0;12240.0;17058.0;18077.0;3459.0;4534.0;6874.0;10364.0;15417.0;22528.0;3162.0;4247.0;-9.0;10.0;-27.0;30.0
8289.0;11967.0;16734.0;17926.0;3377.0;4442.0;6766.0;10198.0;15119.0;22087.0;3104.0;4159.0;-9.0;18.0;-26.0;28.0
8101.0;11667.0;16465.0;17887.0;3319.0;4376.0;6612.0;9938.0;14824.0;21670.0;3034.0;4095.0;-9.0;9.0;-26.0;27.0
8032.0;11633.0;16326.0;17771.0;3288.0;4352.0;6610.0;9976.0;14847.0;21708.0;3049.0;4097.0;-9.0;8.0;-23.0;32.0
8187.0;11825.0;16499.0;17924.0;3349.0;4435.0;6748.0;10171.0;15178.0;22179.0;3123.0;4205.0;-12.0;9.0;-23.0;43.0
8522.0;12234.0;16927.0;18122.0;3445.0;4554.0;6963.0;10485.0;15578.0;22654.0;3200.0;4298.0;-9.0;16.0;-22.0;42.0
8684.0;12513.0;17221.0;18145.0;3516.0;4640.0;7094.0;10741.0;15944.0;23115.0;3272.0;4409.0;-10.0;22.0;-23.0;31.0
8951.0;12893.0;17522.0;18272.0;3600.0;4745.0;7279.0;10964.0;16239.0;23386.0;3339.0;4474.0;-9.0;13.0;-30.0;33.0
9061.0;13059.0;17732.0;18271.0;3670.0;4819.0;7385.0;11110.0;16513.0;23606.0;3386.0;4547.0;-9.0;14.0;-30.0;50.0
9236.0;13254.0;17890.0;18438.0;3703.0;4841.0;7429.0;11172.0;16579.0;23632.0;3391.0;4535.0;-8.0;14.0;-23.0;37.0
8955.0;12868.0;17592.0;18275.0;3576.0;4650.0;7116.0;10676.0;15811.0;22843.0;3199.0;4283.0;-8.0;14.0;-23.0;21.0
8188.0;11847.0;16670.0;17772.0;3330.0;4336.0;6622.0;9941.0;14712.0;21508.0;3009.0;4034.0;-4.0;4.0;-15.0;22.0
7788.0;11267.0;15943.0;17507.0;3174.0;4182.0;6407.0;9621.0;14246.0;20765.0;2909.0;3895.0;-8.0;5.0;-15.0;18.0
7404.0;10741.0;15395.0;17251.0;3010.0;3928.0;5937.0;8912.0;13228.0;19358.0;2696.0;3622.0;-10.0;4.0;-11.0;10.0
6753.0;9820.0;14176.0;16739.0;2770.0;3662.0;5610.0;8427.0;12563.0;18368.0;2565.0;3443.0;-10.0;4.0;-10.0;9.0
6634.0;9640.0;13870.0;16481.0;2724.0;3614.0;5494.0;8300.0;12339.0;18062.0;2517.0;3388.0;-2.0;4.0;-8.0;20.0
6486.0;9426.0;13500.0;16315.0;2634.0;3446.0;5223.0;7849.0;11739.0;17164.0;2380.0;3196.0;-10.0;5.0;-8.0;10.0
5991.0;8756.0;12706.0;15829.0;2475.0;3257.0;5000.0;7502.0;11155.0;16354.0;2287.0;3072.0;-2.0;13.0;-8.0;13.0
5983.0;8737.0;12542.0;15683.0;2430.0;3205.0;4907.0;7388.0;10976.0;16053.0;2243.0;2998.0;0.0;7.0;-8.0;16.0
5947.0;8605.0;12346.0;15606.0;2410.0;3190.0;4930.0;7409.0;11007.0;16100.0;2249.0;3021.0;-2.0;7.0;-20.0;17.0
6057.0;8755.0;12502.0;15690.0;2460.0;3260.0;5069.0;7609.0;11270.0;16485.0;2306.0;3114.0;-10.0;13.0;-21.0;15.0
6250.0;9028.0;12938.0;15966.0;2528.0;3336.0;5143.0;7744.0;11492.0;16783.0;2339.0;3148.0;-12.0;9.0;-20.0;15.0
6273.0;9057.0;12969.0;16001.0;2535.0;3339.0;5162.0;7740.0;11524.0;16952.0;2364.0;3161.0;-12.0;9.0;-20.0;19.0
6241.0;9066.0;12940.0;15968.0;2535.0;3329.0;5119.0;7636.0;11385.0;16669.0;2326.0;3112.0;-12.0;10.0;-17.0;25.0
5966.0;8669.0;12495.0;15706.0;2432.0;3168.0;4786.0;7208.0;10752.0;15721.0;2186.0;2934.0;-12.0;9.0;-17.0;18.0
5624.0;8163.0;11792.0;15234.0;2304.0;3042.0;4665.0;7013.0;10437.0;15287.0;2121.0;2860.0;-12.0;14.0;-17.0;18.0
5673.0;8199.0;11779.0;15181.0;2301.0;3056.0;4729.0;7087.0;10534.0;15345.0;2151.0;2894.0;-10.0;9.0;-17.0;21.0
5693.0;8274.0;11831.0;15207.0;2329.0;3081.0;4756.0;7149.0;10631.0;15606.0;2183.0;2943.0;-5.0;9.0;-17.0;12.0
6021.0;8665.0;12358.0;15590.0;2434.0;3265.0;5072.0;7619.0;11408.0;16608.0;2331.0;3143.0;-5.0;7.0;-17.0;17.0
6448.0;9307.0;13306.0;16210.0;2617.0;3479.0;5371.0;8130.0;12065.0;17711.0;2480.0;3340.0;-5.0;12.0;-19.0;18.0
6817.0;9823.0;14005.0;16502.0;2751.0;3647.0;5617.0;8504.0;12667.0;18541.0;2597.0;3486.0;-5.0;11.0;-18.0;30.0
7128.0;10290.0;14619.0;16802.0;2870.0;3795.0;5827.0;8786.0;13098.0;19225.0;2685.0;3603.0;-16.0;9.0;-20.0;30.0
7254.0;10475.0;14893.0;16994.0;2933.0;3858.0;5857.0;8832.0;13193.0;19312.0;2699.0;3635.0;-16.0;14.0;-18.0;30.0
7166.0;10375.0;14737.0;16994.0;2886.0;3781.0;5696.0;8528.0;12728.0;18729.0;2605.0;3480.0;-16.0;10.0;-18.0;21.0
6533.0;9521.0;13668.0;16470.0;2674.0;3475.0;5121.0;7715.0;11545.0;16923.0;2370.0;3179.0;-7.0;4.0;-16.0;26.0
5814.0;8517.0;12330.0;15624.0;2413.0;3155.0;4701.0;7044.0;10562.0;15443.0;2149.0;2889.0;-7.0;4.0;-8.0;13.0
5099.0;7482.0;10937.0;14562.0;2124.0;2771.0;4129.0;6221.0;9313.0;13559.0;1884.0;2529.0;-7.0;4.0;-8.0;10.0
4319.0;6404.0;9419.0;13120.0;1840.0;2408.0;3597.0;5410.0;8061.0;11766.0;1631.0;2204.0;-7.0;3.0;-1.0;8.0
3729.0;5523.0;8145.0;11612.0;1574.0;2089.0;3138.0;4732.0;7065.0;10271.0;1421.0;1920.0;-7.0;7.0;-1.0;3.0
3208.0;4804.0;7055.0;10066.0;1383.0;1834.0;2762.0;4146.0;6250.0;9003.0;1239.0;1682.0;-9.0;6.0;-1.0;1.0
2872.0;4295.0;6307.0;9074.0;1245.0;1665.0;2538.0;3834.0;5780.0;8428.0;1170.0;1580.0;-10.0;6.0;-1.0;1.0
2895.0;4287.0;6281.0;8988.0;1234.0;1667.0;2538.0;3875.0;5832.0;8524.0;1185.0;1604.0;-10.0;7.0;-7.0;1.0
3133.0;4586.0;6715.0;9588.0;1319.0;1782.0;2715.0;4136.0;6223.0;9143.0;1275.0;1734.0;-10.0;6.0;-7.0;3.0
3582.0;5243.0;7543.0;10762.0;1490.0;2014.0;3034.0;4655.0;7040.0;10379.0;1456.0;1977.0;-10.0;7.0;-15.0;17.0
4042.0;5896.0;8498.0;12004.0;1688.0;2270.0;3296.0;5062.0;7660.0;11425.0;1609.0;2199.0;-6.0;11.0;-7.0;14.0
4248.0;6222.0;9001.0;12693.0;1782.0;2351.0;3363.0;5152.0;7819.0;11647.0;1630.0;2217.0;-6.0;15.0;-7.0;15.0
4022.0;5947.0;8690.0;12335.0;1731.0;2307.0;3347.0;5128.0;7780.0;11468.0;1612.0;2181.0;-6.0;13.0;-4.0;5.0
4079.0;6034.0;8784.0;12421.0;1733.0;2282.0;3222.0;4954.0;7483.0;11172.0;1572.0;2131.0;-6.0;12.0;-4.0;5.0
3827.0;5656.0;8282.0;11810.0;1607.0;2154.0;3126.0;4774.0;7211.0;10663.0;1493.0;2026.0;-7.0;12.0;-4.0;5.0
3710.0;5476.0;7987.0;11437.0;1580.0;2118.0;3066.0;4671.0;7078.0;10461.0;1472.0;1994.0;-8.0;3.0;-6.0;5.0
3667.0;5427.0;7886.0;11333.0;1559.0;2075.0;2989.0;4561.0;6903.0;10245.0;1436.0;1940.0;-7.0;3.0;-10.0;5.0
3530.0;5222.0;7662.0;10958.0;1507.0;1997.0;2876.0;4380.0;6637.0;9752.0;1377.0;1865.0;-9.0;3.0;-12.0;5.0
