OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
320.0;555.0;890.0;1362.0;242.0;605.0;422.0;766.0;1358.0;2351.0;392.0;656.0;4.0;-4.0;5.0;-31.0
546.0;958.0;1611.0;2594.0;411.0;734.0;511.0;923.0;1632.0;2783.0;455.0;758.0;5.0;-4.0;9.0;-33.0
771.0;1325.0;2198.0;3433.0;558.0;1101.0;824.0;1465.0;2524.0;4253.0;683.0;1103.0;5.0;-3.0;5.0;-31.0
965.0;1652.0;2743.0;4383.0;698.0;1289.0;983.0;1736.0;3034.0;5133.0;820.0;1331.0;5.0;0.0;5.0;-33.0
1332.0;2265.0;3682.0;5774.0;912.0;1697.0;1374.0;2413.0;4096.0;6797.0;1068.0;1692.0;6.0;0.0;2.0;-31.0
1481.0;2479.0;4013.0;6372.0;978.0;1573.0;1206.0;2078.0;3556.0;5879.0;937.0;1462.0;11.0;0.0;2.0;-33.0
1242.0;2093.0;3420.0;5479.0;846.0;1350.0;1035.0;1793.0;3050.0;5074.0;798.0;1256.0;7.0;0.0;2.0;-33.0
1062.0;1798.0;2950.0;4714.0;730.0;1160.0;873.0;1522.0;2617.0;4381.0;697.0;1109.0;11.0;0.0;9.0;-33.0
1116.0;1915.0;3148.0;4967.0;800.0;1593.0;1381.0;2419.0;4166.0;6862.0;1078.0;1769.0;11.0;0.0;6.0;-27.0
1834.0;3039.0;4855.0;7551.0;1150.0;1912.0;1545.0;2678.0;4493.0;7412.0;1162.0;1797.0;19.0;0.0;6.0;-22.0
1537.0;2559.0;4152.0;6550.0;1008.0;1583.0;1212.0;2080.0;3530.0;5920.0;937.0;1446.0;7.0;8.0;5.0;-11.0
1173.0;1952.0;3169.0;5023.0;777.0;1227.0;970.0;1654.0;2768.0;4552.0;711.0;1115.0;12.0;7.0;5.0;-11.0
1016.0;1688.0;2704.0;4232.0;647.0;1038.0;803.0;1387.0;2347.0;3894.0;616.0;961.0;10.0;5.0;5.0;-11.0
818.0;1369.0;2236.0;3575.0;561.0;925.0;764.0;1321.0;2254.0;3739.0;588.0;930.0;10.0;5.0;12.0;-19.0
952.0;1620.0;2679.0;4282.0;691.0;1380.0;1266.0;2219.0;3803.0;6247.0;977.0;1640.0;16.0;-1.0;11.0;-19.0
1679.0;2775.0;4426.0;6850.0;1038.0;1741.0;1432.0;2461.0;4135.0;6815.0;1062.0;1639.0;10.0;-1.0;5.0;-23.0
1485.0;2478.0;4022.0;6331.0;977.0;1633.0;1391.0;2410.0;4061.0;6648.0;1036.0;1617.0;4.0;-1.0;5.0;-28.0
1401.0;2316.0;3727.0;5823.0;895.0;1480.0;1275.0;2198.0;3702.0;6032.0;940.0;1484.0;4.0;2.0;5.0;-23.0
1666.0;2800.0;4534.0;7043.0;1201.0;2498.0;2352.0;4064.0;6774.0;10942.0;1696.0;2747.0;4.0;-1.0;10.0;-37.0
3023.0;4935.0;7714.0;11698.0;1789.0;3152.0;2820.0;4775.0;7878.0;12695.0;1929.0;2922.0;16.0;-5.0;11.0;-42.0
2716.0;4450.0;7046.0;10802.0;1628.0;2613.0;2408.0;4091.0;6741.0;10846.0;1648.0;2534.0;8.0;-8.0;12.0;-52.0
2626.0;4301.0;6754.0;10213.0;1547.0;2673.0;2535.0;4312.0;7118.0;11391.0;1734.0;2692.0;11.0;-5.0;30.0;-56.0
2942.0;4844.0;7697.0;11721.0;1868.0;3430.0;3306.0;5597.0;9248.0;14693.0;2210.0;3430.0;14.0;-5.0;34.0;-56.0
3640.0;5913.0;9295.0;13997.0;2100.0;3563.0;3399.0;5687.0;9269.0;14661.0;2211.0;3337.0;11.0;-8.0;30.0;-56.0
3371.0;5428.0;8506.0;12844.0;1914.0;3021.0;2789.0;4662.0;7639.0;12231.0;1866.0;2789.0;7.0;-6.0;16.0;-51.0
2714.0;4420.0;6993.0;10705.0;1610.0;2591.0;2500.0;4221.0;6933.0;11132.0;1667.0;2574.0;14.0;-6.0;33.0;-51.0
2921.0;4762.0;7476.0;11274.0;1748.0;3239.0;3312.0;5574.0;9096.0;14303.0;2150.0;3303.0;14.0;-8.0;23.0;-51.0
3802.0;6163.0;9588.0;14445.0;2261.0;4139.0;4254.0;7138.0;11585.0;18240.0;2735.0;4266.0;15.0;-8.0;36.0;-51.0
5043.0;8085.0;12337.0;18321.0;2921.0;5180.0;5351.0;8876.0;14273.0;22170.0;3277.0;4995.0;17.0;-9.0;33.0;-62.0
5996.0;9536.0;14504.0;20567.0;3256.0;5626.0;5921.0;9805.0;15687.0;24216.0;3560.0;5395.0;10.0;-9.0;24.0;-62.0
6119.0;9555.0;14424.0;20517.0;3074.0;4873.0;5109.0;8408.0;13443.0;20850.0;3066.0;4569.0;14.0;-1.0;24.0;-44.0
5645.0;8942.0;13597.0;19538.0;2997.0;5165.0;5550.0;9098.0;14465.0;22258.0;3259.0;4796.0;6.0;-1.0;16.0;-44.0
5362.0;8562.0;13130.0;19194.0;2857.0;4676.0;4976.0;8160.0;12981.0;20089.0;2957.0;4376.0;7.0;-1.0;13.0;-38.0
4806.0;7697.0;11933.0;17869.0;2648.0;4402.0;4945.0;8141.0;12994.0;19986.0;2953.0;4539.0;6.0;-1.0;16.0;-38.0
5681.0;9002.0;13654.0;19660.0;3015.0;5211.0;5728.0;9376.0;14880.0;22821.0;3343.0;4956.0;12.0;-2.0;11.0;-44.0
5762.0;9179.0;14034.0;20247.0;3093.0;5228.0;5847.0;9595.0;15257.0;23386.0;3446.0;5221.0;19.0;-10.0;32.0;-44.0
6741.0;10642.0;16052.0;21911.0;3607.0;6262.0;7113.0;11576.0;18251.0;27686.0;4021.0;5985.0;12.0;-10.0;19.0;-41.0
7583.0;11860.0;17613.0;23007.0;3798.0;6315.0;7154.0;11652.0;18257.0;27752.0;4017.0;5925.0;13.0;-10.0;19.0;-41.0
7235.0;11292.0;16839.0;22441.0;3543.0;5622.0;6173.0;9984.0;15649.0;24091.0;3527.0;5123.0;10.0;-10.0;19.0;-41.0
5828.0;9249.0;14163.0;20336.0;3071.0;4938.0;5663.0;9125.0;14344.0;21798.0;3183.0;4652.0;10.0;-9.0;18.0;-41.0
5732.0;9082.0;13736.0;19804.0;3017.0;5228.0;6103.0;9912.0;15690.0;23992.0;3495.0;5267.0;14.0;-9.0;27.0;-47.0
6775.0;10597.0;15925.0;21740.0;3437.0;5861.0;6829.0;11056.0;17333.0;26286.0;3807.0;5640.0;9.0;-7.0;18.0;-49.0
7376.0;11579.0;17355.0;22837.0;3852.0;6614.0;7765.0;12570.0;19723.0;29404.0;4286.0;6339.0;12.0;-7.0;25.0;-49.0
8079.0;12478.0;18487.0;23297.0;3849.0;6244.0;7220.0;11617.0;18165.0;27450.0;3959.0;5751.0;9.0;-6.0;17.0;-49.0
7328.0;11464.0;17155.0;22684.0;3752.0;6423.0;7590.0;12210.0;19125.0;28833.0;4189.0;6211.0;18.0;-6.0;31.0;-49.0
8334.0;12878.0;19075.0;23768.0;4123.0;6981.0;8228.0;13190.0;20538.0;30145.0;4438.0;6476.0;11.0;-6.0;18.0;-48.0
8333.0;12877.0;19071.0;23702.0;3959.0;6322.0;7388.0;11769.0;18190.0;27532.0;3972.0;5716.0;21.0;-3.0;7.0;-32.0
6642.0;10329.0;15346.0;21269.0;3215.0;4924.0;5618.0;9087.0;14243.0;21575.0;3149.0;4598.0;10.0;-2.0;7.0;-32.0
5482.0;8556.0;12765.0;18367.0;2650.0;4178.0;4922.0;7950.0;12506.0;19015.0;2769.0;4166.0;10.0;-2.0;3.0;-20.0
4806.0;7463.0;11143.0;16228.0;2387.0;3916.0;4569.0;7406.0;11741.0;17879.0;2613.0;3921.0;11.0;-1.0;3.0;-19.0
4891.0;7723.0;11575.0;16737.0;2462.0;4204.0;4916.0;7898.0;12266.0;18707.0;2740.0;4030.0;10.0;-1.0;3.0;-19.0
4488.0;7024.0;10629.0;15797.0;2314.0;3698.0;4225.0;6847.0;10820.0;16497.0;2406.0;3563.0;10.0;-2.0;10.0;-36.0
4311.0;6945.0;10767.0;16072.0;2626.0;4987.0;6144.0;9944.0;15532.0;23567.0;3418.0;5241.0;18.0;-2.0;16.0;-35.0
6532.0;10209.0;15515.0;21317.0;3264.0;5436.0;6304.0;10140.0;15735.0;23722.0;3427.0;4972.0;10.0;-1.0;10.0;-35.0
6514.0;10290.0;15673.0;21758.0;3750.0;6587.0;7697.0;12344.0;19262.0;28897.0;4160.0;6051.0;22.0;-5.0;13.0;-36.0
7118.0;10993.0;16512.0;22245.0;3446.0;5348.0;6103.0;9782.0;15187.0;23026.0;3338.0;4825.0;11.0;-5.0;13.0;-36.0
5259.0;8262.0;12658.0;19038.0;2928.0;5057.0;6616.0;10688.0;16679.0;24972.0;3675.0;5845.0;13.0;-5.0;13.0;-35.0
8165.0;12600.0;18496.0;23292.0;3979.0;6807.0;8074.0;12956.0;20111.0;29710.0;4341.0;6338.0;11.0;-3.0;11.0;-34.0
8547.0;13104.0;19107.0;23694.0;4012.0;6680.0;7915.0;12572.0;19416.0;29103.0;4201.0;6001.0;6.0;-5.0;11.0;-41.0
6998.0;10918.0;16407.0;22224.0;3483.0;5579.0;6786.0;10889.0;16925.0;25463.0;3657.0;5388.0;6.0;-5.0;11.0;-41.0
