OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
18.0;35.0;66.0;122.0;22.0;40.0;12.0;24.0;50.0;97.0;18.0;34.0;-17.0;8.0;-57.0;55.0
18.0;33.0;63.0;117.0;21.0;42.0;14.0;27.0;51.0;103.0;20.0;34.0;-22.0;41.0;-122.0;183.0
-3.0;-6.0;-9.0;-22.0;-4.0;-7.0;-1.0;-3.0;-6.0;-16.0;-4.0;-6.0;21.0;-12.0;74.0;-69.0
-3.0;-6.0;-9.0;-19.0;-3.0;-7.0;-1.0;-3.0;-5.0;-14.0;-3.0;-5.0;27.0;-19.0;122.0;-125.0
-3.0;-6.0;-9.0;-19.0;-3.0;-7.0;0.0;-3.0;-1.0;-4.0;-1.0;0.0;27.0;-23.0;113.0;-126.0
0.0;-1.0;-1.0;-1.0;0.0;-1.0;1.0;2.0;7.0;12.0;2.0;4.0;35.0;-30.0;130.0;-133.0
4.0;7.0;12.0;21.0;3.0;7.0;4.0;7.0;17.0;36.0;5.0;13.0;50.0;-33.0;148.0;-141.0
6.0;9.0;18.0;34.0;5.0;12.0;6.0;10.0;24.0;45.0;9.0;18.0;53.0;-30.0;177.0;-141.0
10.0;17.0;32.0;57.0;9.0;20.0;9.0;18.0;36.0;67.0;13.0;24.0;45.0;-30.0;134.0;-141.0
12.0;22.0;43.0;76.0;13.0;25.0;10.0;20.0;43.0;82.0;16.0;29.0;27.0;-22.0;104.0;-118.0
16.0;30.0;55.0;98.0;17.0;31.0;13.0;24.0;53.0;98.0;17.0;33.0;39.0;-15.0;120.0;-87.0
18.0;32.0;60.0;109.0;19.0;36.0;14.0;28.0;58.0;111.0;21.0;38.0;26.0;-13.0;73.0;-67.0
19.0;34.0;64.0;115.0;20.0;37.0;14.0;26.0;57.0;114.0;19.0;40.0;21.0;-13.0;68.0;-65.0
18.0;32.0;60.0;109.0;19.0;35.0;12.0;24.0;52.0;99.0;19.0;35.0;21.0;1.0;37.0;-31.0
16.0;30.0;55.0;97.0;17.0;32.0;13.0;24.0;50.0;94.0;17.0;32.0;-8.0;23.0;-36.0;52.0
13.0;22.0;42.0;75.0;13.0;22.0;8.0;14.0;33.0;62.0;10.0;20.0;-8.0;30.0;-61.0;94.0
9.0;14.0;28.0;47.0;8.0;13.0;8.0;11.0;28.0;48.0;8.0;14.0;-11.0;37.0;-70.0;109.0
12.0;21.0;41.0;74.0;13.0;28.0;7.0;18.0;34.0;61.0;13.0;24.0;-5.0;27.0;-100.0;108.0
14.0;24.0;45.0;77.0;14.0;26.0;6.0;13.0;25.0;47.0;10.0;15.0;-40.0;63.0;-178.0;273.0
6.0;11.0;19.0;35.0;7.0;13.0;6.0;11.0;19.0;30.0;6.0;7.0;-40.0;66.0;-178.0;270.0
3.0;6.0;10.0;15.0;2.0;3.0;1.0;5.0;5.0;2.0;1.0;-1.0;-40.0;57.0;-178.0;215.0
3.0;5.0;8.0;9.0;2.0;3.0;1.0;5.0;5.0;2.0;1.0;-1.0;-29.0;46.0;-158.0;170.0
2.0;5.0;9.0;13.0;2.0;3.0;1.0;5.0;5.0;2.0;1.0;-1.0;-14.0;21.0;-46.0;51.0
20.0;38.0;69.0;126.0;22.0;48.0;16.0;33.0;63.0;122.0;23.0;42.0;16.0;3.0;16.0;-30.0
25.0;47.0;86.0;157.0;28.0;57.0;17.0;39.0;74.0;141.0;28.0;51.0;12.0;-9.0;36.0;-38.0
27.0;50.0;93.0;167.0;30.0;61.0;22.0;44.0;82.0;159.0;31.0;55.0;20.0;-19.0;76.0;-82.0
28.0;54.0;99.0;179.0;33.0;68.0;24.0;48.0;95.0;182.0;34.0;65.0;17.0;-25.0;98.0;-113.0
35.0;66.0;125.0;221.0;39.0;79.0;26.0;54.0;106.0;206.0;40.0;72.0;41.0;-25.0;135.0;-113.0
39.0;74.0;136.0;245.0;44.0;89.0;29.0;62.0;122.0;238.0;45.0;86.0;30.0;-25.0;143.0;-113.0
46.0;87.0;162.0;291.0;52.0;106.0;36.0;75.0;146.0;292.0;55.0;102.0;24.0;-23.0;86.0;-90.0
57.0;108.0;202.0;366.0;65.0;126.0;42.0;88.0;175.0;342.0;66.0;119.0;23.0;-11.0;40.0;-37.0
79.0;154.0;292.0;542.0;97.0;175.0;57.0;116.0;233.0;469.0;89.0;164.0;18.0;-11.0;36.0;-56.0
83.0;160.0;306.0;564.0;100.0;183.0;58.0;123.0;245.0;491.0;95.0;172.0;20.0;-19.0;74.0;-84.0
87.0;169.0;318.0;594.0;105.0;195.0;61.0;131.0;261.0;524.0;101.0;184.0;30.0;-26.0;122.0;-121.0
96.0;185.0;349.0;644.0;114.0;211.0;70.0;145.0;288.0;580.0;110.0;200.0;20.0;-36.0;121.0;-148.0
104.0;200.0;381.0;698.0;123.0;230.0;77.0;164.0;324.0;637.0;121.0;220.0;45.0;-45.0;153.0;-165.0
116.0;221.0;418.0;764.0;135.0;254.0;87.0;181.0;360.0;707.0;134.0;242.0;57.0;-45.0;181.0;-187.0
126.0;241.0;459.0;835.0;147.0;273.0;94.0;192.0;388.0;761.0;143.0;260.0;40.0;-45.0;173.0;-187.0
135.0;258.0;487.0;893.0;157.0;293.0;102.0;208.0;417.0;829.0;157.0;283.0;40.0;-45.0;171.0;-187.0
147.0;280.0;524.0;958.0;167.0;313.0;110.0;226.0;445.0;873.0;163.0;294.0;50.0;-37.0;161.0;-162.0
148.0;280.0;521.0;943.0;164.0;311.0;110.0;221.0;441.0;857.0;159.0;289.0;37.0;-37.0;106.0;-140.0
139.0;262.0;484.0;875.0;154.0;291.0;108.0;217.0;424.0;813.0;151.0;273.0;33.0;-36.0;133.0;-132.0
131.0;247.0;458.0;824.0;146.0;280.0;105.0;207.0;408.0;791.0;146.0;266.0;30.0;-32.0;117.0;-131.0
134.0;253.0;465.0;831.0;146.0;281.0;103.0;213.0;413.0;793.0;145.0;260.0;32.0;-32.0;113.0;-131.0
127.0;239.0;441.0;803.0;140.0;269.0;98.0;199.0;390.0;751.0;140.0;252.0;30.0;-28.0;108.0;-112.0
122.0;231.0;430.0;779.0;137.0;265.0;98.0;199.0;392.0;751.0;139.0;251.0;20.0;-21.0;76.0;-88.0
124.0;233.0;430.0;769.0;134.0;257.0;99.0;195.0;377.0;726.0;133.0;239.0;7.0;17.0;-28.0;46.0
