OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
191.0;426.0;934.0;1919.0;348.0;578.0;189.0;413.0;887.0;1811.0;332.0;566.0;7.0;2.0;-13.0;-4.0
190.0;432.0;947.0;1953.0;356.0;591.0;190.0;409.0;886.0;1841.0;346.0;588.0;3.0;2.0;-16.0;-4.0
202.0;451.0;988.0;2042.0;372.0;614.0;192.0;422.0;913.0;1894.0;352.0;598.0;3.0;3.0;-16.0;-4.0
205.0;458.0;1004.0;2034.0;371.0;618.0;195.0;425.0;910.0;1912.0;351.0;607.0;3.0;3.0;-16.0;-1.0
210.0;472.0;1036.0;2112.0;384.0;632.0;205.0;445.0;964.0;1995.0;369.0;629.0;-4.0;4.0;-14.0;-1.0
220.0;491.0;1070.0;2192.0;399.0;650.0;212.0;458.0;988.0;2036.0;378.0;646.0;11.0;5.0;-10.0;-1.0
220.0;493.0;1069.0;2189.0;398.0;654.0;212.0;459.0;985.0;2028.0;377.0;639.0;7.0;5.0;-10.0;-1.0
223.0;497.0;1073.0;2174.0;394.0;648.0;228.0;489.0;1031.0;2070.0;378.0;641.0;6.0;5.0;-14.0;-2.0
227.0;508.0;1090.0;2230.0;403.0;654.0;234.0;503.0;1061.0;2106.0;385.0;648.0;3.0;6.0;-17.0;-2.0
224.0;497.0;1075.0;2184.0;398.0;653.0;235.0;498.0;1050.0;2085.0;376.0;637.0;3.0;5.0;-19.0;-2.0
