OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
259.0;464.0;814.0;1444.0;279.0;518.0;411.0;718.0;1235.0;2087.0;346.0;568.0;-4.0;7.0;5.0;3.0
491.0;871.0;1493.0;2586.0;486.0;870.0;677.0;1205.0;2086.0;3500.0;565.0;913.0;-9.0;4.0;5.0;0.0
780.0;1350.0;2314.0;3986.0;724.0;1270.0;954.0;1688.0;2941.0;5027.0;818.0;1282.0;-4.0;1.0;7.0;0.0
1076.0;1872.0;3155.0;5406.0;957.0;1644.0;1331.0;2316.0;3973.0;6558.0;1050.0;1637.0;-3.0;0.0;8.0;9.0
1426.0;2438.0;4099.0;6940.0;1204.0;2016.0;1617.0;2817.0;4803.0;8022.0;1282.0;1978.0;-3.0;-1.0;12.0;9.0
1748.0;2995.0;4962.0;8326.0;1421.0;2355.0;1929.0;3361.0;5710.0;9527.0;1503.0;2286.0;-4.0;-1.0;15.0;6.0
2010.0;3408.0;5680.0;9450.0;1595.0;2618.0;2230.0;3792.0;6374.0;10541.0;1658.0;2519.0;-4.0;-1.0;7.0;10.0
2274.0;3859.0;6324.0;10453.0;1762.0;2867.0;2529.0;4306.0;7183.0;11629.0;1813.0;2742.0;-4.0;-2.0;0.0;3.0
2478.0;4185.0;6887.0;11304.0;1892.0;3024.0;2605.0;4491.0;7503.0;12306.0;1909.0;2845.0;-5.0;-2.0;-6.0;0.0
2573.0;4328.0;7128.0;11565.0;1884.0;2944.0;2652.0;4500.0;7430.0;11956.0;1839.0;2730.0;-4.0;-2.0;0.0;0.0
