OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
490.0;866.0;1483.0;2542.0;456.0;793.0;579.0;1009.0;1806.0;3091.0;503.0;775.0;15.0;-5.0;-3.0;-8.0
628.0;1090.0;1882.0;3240.0;570.0;973.0;700.0;1249.0;2179.0;3733.0;608.0;949.0;12.0;-5.0;-4.0;-7.0
772.0;1338.0;2299.0;3927.0;684.0;1147.0;941.0;1639.0;2754.0;4554.0;714.0;1092.0;9.0;-5.0;-3.0;2.0
894.0;1545.0;2629.0;4483.0;764.0;1275.0;982.0;1717.0;2970.0;4957.0;796.0;1207.0;9.0;-6.0;0.0;3.0
1035.0;1780.0;2981.0;5001.0;838.0;1368.0;1046.0;1838.0;3160.0;5292.0;844.0;1284.0;9.0;-7.0;0.0;-4.0
1047.0;1802.0;3054.0;5110.0;859.0;1387.0;1098.0;1920.0;3287.0;5466.0;865.0;1303.0;17.0;-7.0;-1.0;-4.0
1076.0;1859.0;3129.0;5232.0;866.0;1409.0;1141.0;1953.0;3333.0;5580.0;880.0;1335.0;16.0;-9.0;1.0;-6.0
1121.0;1915.0;3209.0;5373.0;903.0;1480.0;1325.0;2204.0;3667.0;5897.0;933.0;1400.0;10.0;-7.0;-1.0;-9.0
1203.0;2059.0;3448.0;5801.0;982.0;1618.0;1325.0;2279.0;3885.0;6495.0;1029.0;1559.0;10.0;-9.0;-1.0;-10.0
1329.0;2266.0;3813.0;6394.0;1088.0;1800.0;1630.0;2725.0;4475.0;7248.0;1145.0;1727.0;4.0;-6.0;-2.0;-11.0
1505.0;2572.0;4289.0;7163.0;1221.0;2042.0;1720.0;2924.0;4941.0;8197.0;1298.0;1977.0;5.0;-8.0;-4.0;-11.0
1772.0;3007.0;5010.0;8288.0;1418.0;2361.0;1985.0;3421.0;5825.0;9563.0;1501.0;2258.0;8.0;-5.0;-6.0;-11.0
2038.0;3443.0;5713.0;9456.0;1614.0;2664.0;2266.0;3878.0;6562.0;10752.0;1685.0;2535.0;6.0;-8.0;-6.0;-16.0
2275.0;3837.0;6386.0;10525.0;1800.0;2943.0;2628.0;4424.0;7417.0;11965.0;1872.0;2798.0;5.0;-8.0;-6.0;-16.0
2605.0;4364.0;7174.0;11769.0;1996.0;3250.0;2816.0;4812.0;8088.0;13088.0;2060.0;3099.0;9.0;-14.0;-9.0;-16.0
2886.0;4841.0;7913.0;12871.0;2193.0;3549.0;3174.0;5357.0;8953.0;14506.0;2248.0;3328.0;10.0;-14.0;-10.0;-11.0
3126.0;5207.0;8540.0;13928.0;2371.0;3811.0;3452.0;5818.0;9656.0;15625.0;2408.0;3572.0;9.0;-14.0;-10.0;-11.0
3318.0;5512.0;9054.0;14594.0;2480.0;3979.0;3641.0;6143.0;10143.0;16349.0;2530.0;3725.0;5.0;-14.0;-5.0;-11.0
3598.0;5951.0;9668.0;15357.0;2583.0;4110.0;3818.0;6422.0;10565.0;16968.0;2607.0;3817.0;5.0;-10.0;-10.0;-9.0
3553.0;5896.0;9643.0;15349.0;2574.0;4061.0;3980.0;6591.0;10732.0;16919.0;2587.0;3767.0;7.0;-10.0;-5.0;-9.0
3570.0;5883.0;9497.0;15184.0;2542.0;4023.0;3814.0;6384.0;10456.0;16841.0;2569.0;3743.0;7.0;-10.0;-5.0;-9.0
3543.0;5862.0;9514.0;15129.0;2516.0;3961.0;3898.0;6479.0;10543.0;16741.0;2535.0;3699.0;14.0;-10.0;-6.0;-9.0
3553.0;5866.0;9520.0;15012.0;2472.0;3905.0;3805.0;6251.0;10191.0;16169.0;2480.0;3630.0;7.0;-9.0;-6.0;-8.0
3447.0;5675.0;9186.0;14706.0;2434.0;3824.0;3810.0;6219.0;10023.0;15931.0;2437.0;3572.0;5.0;-10.0;-6.0;-9.0
3450.0;5673.0;9225.0;14653.0;2391.0;3769.0;3894.0;6347.0;10189.0;15948.0;2423.0;3529.0;4.0;-10.0;-6.0;-8.0
3421.0;5637.0;9137.0;14493.0;2359.0;3688.0;3588.0;5990.0;9792.0;15602.0;2383.0;3440.0;5.0;-10.0;-2.0;-9.0
3294.0;5427.0;8782.0;14109.0;2302.0;3618.0;3623.0;5904.0;9597.0;15196.0;2333.0;3400.0;16.0;-10.0;-2.0;-8.0
3401.0;5550.0;8979.0;14262.0;2329.0;3707.0;3781.0;6233.0;10017.0;15795.0;2388.0;3495.0;16.0;-10.0;-9.0;-9.0
3427.0;5616.0;9081.0;14513.0;2392.0;3757.0;3828.0;6300.0;10147.0;15935.0;2414.0;3511.0;7.0;-9.0;-9.0;-8.0
3420.0;5595.0;9114.0;14401.0;2337.0;3666.0;3610.0;6023.0;9798.0;15542.0;2357.0;3424.0;6.0;-7.0;-9.0;-15.0
3304.0;5424.0;8762.0;14020.0;2242.0;3486.0;3528.0;5816.0;9440.0;14892.0;2231.0;3225.0;10.0;-7.0;-9.0;-7.0
3077.0;5057.0;8204.0;13158.0;2084.0;3211.0;3240.0;5380.0;8738.0;13780.0;2072.0;2989.0;19.0;-7.0;-4.0;-10.0
2773.0;4561.0;7451.0;11942.0;1900.0;2940.0;2939.0;4883.0;7943.0;12570.0;1900.0;2721.0;14.0;-7.0;-4.0;-10.0
2578.0;4218.0;6886.0;11012.0;1749.0;2702.0;2821.0;4564.0;7309.0;11408.0;1729.0;2510.0;13.0;-8.0;-2.0;-10.0
2326.0;3853.0;6313.0;10155.0;1603.0;2469.0;2508.0;4163.0;6752.0;10631.0;1592.0;2294.0;9.0;-8.0;4.0;-4.0
2142.0;3541.0;5759.0;9238.0;1459.0;2241.0;2351.0;3866.0;6200.0;9647.0;1446.0;2092.0;13.0;-10.0;5.0;-10.0
1957.0;3230.0;5258.0;8462.0;1331.0;2061.0;2131.0;3486.0;5685.0;8920.0;1330.0;1926.0;14.0;-8.0;1.0;-4.0
1806.0;2969.0;4863.0;7854.0;1232.0;1917.0;2000.0;3245.0;5193.0;8123.0;1232.0;1800.0;13.0;-8.0;1.0;-4.0
1739.0;2877.0;4669.0;7551.0;1184.0;1822.0;1789.0;2976.0;4878.0;7750.0;1182.0;1717.0;10.0;-9.0;1.0;-4.0
1591.0;2625.0;4314.0;6958.0;1096.0;1702.0;1837.0;2995.0;4772.0;7411.0;1103.0;1609.0;4.0;-9.0;1.0;-6.0
1491.0;2466.0;4000.0;6477.0;1027.0;1598.0;1584.0;2650.0;4316.0;6888.0;1035.0;1494.0;4.0;-9.0;2.0;-4.0
1379.0;2276.0;3707.0;5991.0;954.0;1492.0;1581.0;2624.0;4223.0;6583.0;980.0;1423.0;4.0;-9.0;5.0;0.0
1329.0;2190.0;3576.0;5785.0;912.0;1418.0;1509.0;2424.0;3882.0;6109.0;929.0;1350.0;4.0;-7.0;5.0;-2.0
1250.0;2042.0;3344.0;5393.0;850.0;1330.0;1421.0;2279.0;3640.0;5660.0;863.0;1267.0;3.0;-6.0;4.0;0.0
1150.0;1889.0;3087.0;4983.0;792.0;1229.0;1360.0;2218.0;3542.0;5448.0;809.0;1177.0;16.0;-6.0;16.0;6.0
1103.0;1820.0;2970.0;4803.0;754.0;1169.0;1196.0;1966.0;3172.0;5085.0;770.0;1121.0;11.0;-6.0;14.0;11.0
1003.0;1667.0;2722.0;4415.0;704.0;1090.0;1097.0;1834.0;2998.0;4747.0;724.0;1059.0;18.0;-5.0;13.0;8.0
976.0;1606.0;2636.0;4262.0;671.0;1040.0;1049.0;1750.0;2865.0;4524.0;689.0;998.0;13.0;-5.0;9.0;5.0
895.0;1477.0;2436.0;3943.0;623.0;982.0;1117.0;1816.0;2848.0;4318.0;647.0;944.0;13.0;-5.0;9.0;5.0
862.0;1421.0;2307.0;3773.0;599.0;923.0;943.0;1551.0;2513.0;4006.0;612.0;900.0;14.0;-6.0;9.0;5.0
834.0;1374.0;2240.0;3642.0;572.0;881.0;873.0;1461.0;2414.0;3841.0;592.0;857.0;18.0;-6.0;11.0;5.0
798.0;1312.0;2146.0;3487.0;553.0;857.0;861.0;1431.0;2374.0;3754.0;568.0;829.0;15.0;-7.0;12.0;8.0
744.0;1236.0;2006.0;3278.0;516.0;799.0;883.0;1450.0;2362.0;3645.0;538.0;779.0;17.0;-7.0;14.0;9.0
718.0;1174.0;1934.0;3148.0;496.0;770.0;869.0;1435.0;2287.0;3517.0;522.0;754.0;15.0;-10.0;12.0;10.0
